报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2013-12-31,
营业总收入(万元),21055800,14170400,26124500,19652300,13240800,22486400,10597300,18960200,18970700,14471400,
营业收入(万元),,,,,,,,,,,
利息收入(万元),28900700,19029700,36016600,,,30528500,14534800,27819800,30056100,24214500,
已赚保费(万元),,,,,,,,,,,
手续费及佣金收入(万元),2453300,1670000,2914100,,,2359100,1156800,2101500,1627200,1168200,
房地产销售收入(万元),,,,,,,,,,,
其他业务收入(万元),,159600,434000,,,-11800,-8800,437500,39000,17800,
营业总成本(万元),15161200,7322200,20775800,11010000,7477000,17375300,6554400,14667400,14910900,11004200,
营业成本(万元),,,,,,,,,,,
利息支出(万元),10982700,7121500,12604400,,,11717000,5783400,12061200,12130200,10317200,
手续费及佣金支出(万元),1108500,736100,1470700,,,1085400,453500,951700,760000,571700,
房地产销售成本(万元),,,,,,,,,,,
研发费用(万元),,,,,,,,,,,
退保金(万元),,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,
分保费用(万元),,,,,,,,,,,
其他业务成本(万元),,-13900,12122700,,,12033600,,10111300,23300,8300,
营业税金及附加(万元),,102800,184300,,,166200,,379400,788600,624000,
销售费用(万元),,762800,2464400,,,2046200,,2017500,11535500,9504500,
管理费用(万元),,,,,,,,,,,
财务费用(万元),,,,,,,,,,,
资产减值损失(万元),,,,,,2673700,1036600,1690200,2563500,867400,
公允价值变动收益(万元),,,,,,,,,3800,-7100,
投资收益(万元),1114300,911500,378000,,,2225500,983500,1547900,118300,-38800,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,
汇兑收益(万元),,,,,,,,,16500,5700,
期货损益(万元),,,,,,,,,,,
托管收益(万元),,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,
营业利润(万元),5894600,4078600,5348700,,3426700,5111100,3006300,4292800,4059800,3467200,
营业外收入(万元),,,,,,,,,92600,52000,
营业外支出(万元),,,,,,,,,13600,9800,
非流动资产处置损失(万元),,,,,,,,,,,
利润总额(万元),5894600,4078600,5348700,5047900,3426700,5111100,3006300,4292800,4138800,3509400,
所得税费用(万元),460200,336400,110300,376200,,340200,347100,315200,653100,542600,
未确认投资损失(万元),,,,,,,,,,,
净利润(万元),5434400,3742200,5238400,4671700,3254700,4770900,2659200,3977600,3485700,2966800,
归属于母公司所有者的净利润(万元),5428800,3738100,5231100,4671000,3252300,4768300,2660000,3980100,3485900,2966800,
被合并方在合并前实现净利润(万元),,,,,,,,,,,
少数股东损益(万元),5600,4100,7300,700,,2600,-800,-2500,-200,,
基本每股收益,0.64,0.43,0.62,0.55,,0.59,0.33,0.55,,,
稀释每股收益,0.64,0.43,0.62,0.55,,0.59,0.33,0.55,,,
