报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),72941,66256,36413,131655,101088,80195,31414,125923,96803,101913,97728,92115,
营业收入(万元),72941,66256,36413,131655,101088,80195,31414,125923,96803,101913,97728,92115,
利息收入(万元),,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,
营业总成本(万元),68826,56838,30492,115853,90119,70567,28206,114133,89790,94736,89984,83910,
营业成本(万元),52946,47634,25630,96211,75045,59398,23192,96396,75744,78761,72690,67648,
利息支出(万元),,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,
研发费用(万元),3071,1961,757,4148,3382,2264,857,3346,2384,3634,3253,,
退保金(万元),,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,
营业税金及附加(万元),361,275,182,522,401,266,100,401,301,381,366,309,
销售费用(万元),4537,3467,1823,7352,6015,4440,1705,7690,6106,7135,6852,6367,
管理费用(万元),8146,3558,1394,7051,4331,2604,1144,4925,3595,4474,5700,8285,
财务费用(万元),-235,-57,122,363,333,524,854,1371,896,164,304,1202,
资产减值损失(万元),,,582,206,612,1071,354,3,763,186,819,100,
公允价值变动收益(万元),-14,-14,-14,14,-6,-20,,,,,,,
投资收益(万元),1062,819,270,174,57,49,3,50,,245,207,15,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,
营业利润(万元),5170,9620,6338,16433,11365,9918,3523,12686,7639,7423,7950,8220,
营业外收入(万元),302,56,54,278,193,193,5,43,72,1116,1478,1568,
营业外支出(万元),75,68,16,419,97,96,8,40,37,352,683,1292,
非流动资产处置损失(万元),,,,,,,,,,,,786,
利润总额(万元),5397,9608,6375,16291,11461,10016,3520,12689,7674,8187,8746,8496,
所得税费用(万元),622,1317,1051,2412,1963,1458,469,1988,1331,995,1264,1455,
未确认投资损失(万元),,,,,,,,,,,,,
净利润(万元),4775,8291,5324,13879,9497,8558,3050,10701,6344,7192,7482,7042,
归属于母公司所有者的净利润(万元),4775,8291,5324,13879,9497,8558,3050,10701,6344,7193,7480,7040,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,-0,2,2,
基本每股收益,0.6,1.04,0.76,2.14,1.58,1.43,0.51,1.78,1.06,1.2,1.25,1.36,
稀释每股收益,0.6,1.04,0.76,2.14,1.58,1.43,0.51,1.78,1.06,1.2,1.25,1.36,
