报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2017-12-31,2016-12-31,
营业总收入(万元),260628,165578,82336,290767,213157,150729,77588,275510,211403,288272,256284,
营业收入(万元),,,,,,,,,,,,
利息收入(万元),109644,78660,35531,168453,127006,87428,40408,163492,121567,139544,114068,
已赚保费(万元),,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,
其他业务收入(万元),78,54,22,215,110,88,55,312,221,123,94,
营业总成本(万元),151611,92299,39831,190870,113644,81255,40254,184342,123950,157603,152772,
营业成本(万元),,,,,,,,,,,,
利息支出(万元),43725,36787,16045,85435,65201,44089,20278,95287,69904,74349,80994,
手续费及佣金支出(万元),,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,
研发费用(万元),,,,,,,,,,,,
退保金(万元),,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,
其他业务成本(万元),178,102,44,206,128,80,39,377,308,,21,
营业税金及附加(万元),1781,1163,568,1721,1249,846,418,1835,1457,2180,7292,
销售费用(万元),159074,91187,42598,182882,115763,76869,32998,162392,109833,154143,144007,
管理费用(万元),,,,,,,,,,,,
财务费用(万元),,,,,,,,,,,,
资产减值损失(万元),,,,,,,,19738,12352,1279,1452,
公允价值变动收益(万元),-666,1528,3367,7766,7962,7681,11242,8703,6382,-6198,-18304,
投资收益(万元),26864,17373,7754,34311,26520,15554,7085,28211,19663,40245,37826,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,
汇兑收益(万元),-162,119,125,164,263,13,-129,323,471,-489,555,
期货损益(万元),,,,,,,,,,,,
托管收益(万元),62929,43244,22202,73134,45114,32183,16058,91722,73233,83814,60159,
补贴收入(万元),,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,
营业利润(万元),109018,73279,42505,99897,99512,69475,37334,91168,87453,130669,103512,
营业外收入(万元),59,50,14,1695,2,3,6,16,15,2899,12319,
营业外支出(万元),609,601,600,51,7,3,2,44,4,33,56,
非流动资产处置损失(万元),,,,,,,,,,,,
利润总额(万元),108468,72729,41919,101541,99507,69475,37339,91140,87464,133534,115774,
所得税费用(万元),23530,15613,9343,21535,21884,15432,8362,20498,20530,32659,29399,
未确认投资损失(万元),,,,,,,,,,,,
净利润(万元),84938,57115,32576,80006,77623,54043,28977,70642,66934,100875,86375,
归属于母公司所有者的净利润(万元),84811,57030,32535,79825,77513,53963,28930,70499,66865,100875,86375,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,
少数股东损益(万元),127,85,41,181,110,80,46,144,69,,,
基本每股收益,0.31,0.21,0.12,0.32,0.31,0.22,0.12,0.28,0.27,,,
稀释每股收益,0.31,0.21,0.12,0.32,0.31,0.22,0.12,0.28,0.27,,,
