报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2013-09-30,2013-06-30,2012-12-31,
财务费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,
资产减值损失(万元),,,,,74,30,318,7589,1728,1358,608,-2701,569,322,110,12763,823,2772,852,794,794,-239,-338,791,
公允价值变动收益(万元),2501,9008,14141,-10641,2198,-2601,-484,-8706,-2016,-6832,73,-6075,793,-2881,-4682,5606,9324,7325,13393,2955,-1097,4347,3350,1908,
投资收益(万元),70280,43540,21149,47646,28143,20072,10096,50197,33512,17549,7442,47794,36943,18222,7281,59902,36585,37644,21138,11980,16960,12566,9900,30228,
对联营企业和合营企业的投资收益(万元),3823,2494,1162,1802,2140,1370,580,657,-52,85,948,1271,1676,1115,,173,126,-32,-11,5000,,,,,
汇兑收益(万元),235,-12,159,-253,-190,309,325,-129,67,60,-11,-344,-250,-259,-5,6206,-90,353,475,125,-153,-199,-543,-2,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),6039,4071,2012,9957,7813,5273,2503,9161,5189,3037,1175,6317,4274,1866,1079,5308,3220,911,751,969,924,817,488,166,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),41314,35310,26674,8085,21882,19742,14842,67332,54940,23587,15154,95897,71173,39899,15856,191112,135247,72954,48553,20843,31227,30647,19575,24951,
营业外收入(万元),491,117,67,2314,1437,1420,1021,2192,824,310,203,3962,3171,2913,1185,2123,1278,3236,2897,2890,2943,2249,2192,1173,
营业外支出(万元),36,12,0,287,193,48,2,1513,1435,1252,69,606,551,166,5,696,1,713,23,14,346,93,91,413,
非流动资产处置损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,
利润总额(万元),41770,35415,26740,10112,23126,21115,15861,68011,54329,22645,15288,97457,71997,41123,16363,189097,136523,75477,51428,23719,33823,32803,21676,25710,
所得税费用(万元),9033,7328,5907,526,5047,5387,3828,15895,13293,5848,3810,22784,15672,9685,3803,48859,35039,20479,13241,6483,9981,9032,5960,7386,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),32736,28087,20834,9586,18079,15728,12032,52116,41036,16797,11479,74672,56325,31438,12560,140238,101485,54998,38187,17236,23843,23771,15716,18325,
归属于母公司所有者的净利润(万元),29044,23993,18200,6579,13584,14573,10180,44198,35576,13337,10005,71865,54976,30616,12681,140550,101225,56229,39480,17955,25293,24644,16309,18278,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),3692,4094,2634,3007,4495,1155,1852,7918,5460,3460,1474,2808,1350,822,-121,-312,260,-1231,-1293,-718,-1451,-872,-593,47,
基本每股收益,0.08,0.06,0.05,0.02,0.03,0.04,0.03,0.11,0.09,0.03,0.03,0.22,0.17,0.1,0.04,0.49,0.38,0.24,0.18,0.09,0.12,0.12,0.08,0.09,
稀释每股收益,0.08,0.06,0.05,0.02,0.03,0.04,0.03,0.11,0.09,0.03,0.03,0.22,0.17,0.1,0.04,0.49,0.38,0.24,0.18,0.09,0.12,0.12,0.08,0.09,
