报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),96015,65352,34214,124010,90167,61673,30139,103118,53666,89048,74201,65072,
营业收入(万元),96015,65352,34214,124010,90167,61673,30139,103118,53666,89048,74201,65072,
利息收入(万元),,,,,,,,,,,,,
已赚保费(万元),,,,,,,,,,,,,
手续费及佣金收入(万元),,,,,,,,,,,,,
房地产销售收入(万元),,,,,,,,,,,,,
其他业务收入(万元),,,,,,,,,,,,,
营业总成本(万元),73028,50697,27330,97787,70233,48062,23951,79837,40456,64333,60624,52581,
营业成本(万元),45968,31583,17147,63137,45398,31318,15388,52720,27281,47005,45822,39786,
利息支出(万元),,,,,,,,,,,,,
手续费及佣金支出(万元),,,,,,,,,,,,,
房地产销售成本(万元),,,,,,,,,,,,,
研发费用(万元),943,566,262,1125,811,,217,851,,953,,,
退保金(万元),,,,,,,,,,,,,
赔付支出净额(万元),,,,,,,,,,,,,
提取保险合同准备金净额(万元),,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,
营业税金及附加(万元),1412,1028,594,1621,1307,822,355,1391,873,1272,738,543,
销售费用(万元),21892,15033,7618,27552,20336,13729,6682,20736,10015,15447,11209,8799,
管理费用(万元),3630,2520,1268,4489,3062,2367,844,3362,1948,2435,3264,3315,
财务费用(万元),-818,-33,422,-482,-681,-175,307,675,303,-1302,-409,138,
资产减值损失(万元),,,,345,,,157,102,35,-1477,,,
公允价值变动收益(万元),1034,450,,,4,,,,,,,,
投资收益(万元),356,12,,11,,,,,,58,,,
对联营企业和合营企业的投资收益(万元),,,,,,,,,,,,,
汇兑收益(万元),,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,
营业利润(万元),26532,17065,7002,27686,21258,13831,6248,24071,13329,24772,13577,12490,
营业外收入(万元),12,12,6,116,3,2,0,83,21,147,112,232,
营业外支出(万元),169,43,,31,24,23,18,269,264,102,,15,
非流动资产处置损失(万元),,,,,,,,,264,,,15,
利润总额(万元),26375,17033,7008,27771,21237,13810,6229,23884,13085,24817,13689,12708,
所得税费用(万元),5020,3321,1362,5338,4130,2680,1212,4393,2339,4182,2140,1884,
未确认投资损失(万元),,,,,,,,,,,,,
净利润(万元),21355,13713,5646,22432,17107,11130,5017,19491,10746,20636,11548,10824,
归属于母公司所有者的净利润(万元),21332,13699,5645,22384,17074,11132,5017,19491,10746,20658,11559,10824,
被合并方在合并前实现净利润(万元),,,,,,,,,,4646,,,
少数股东损益(万元),23,14,1,48,33,-2,,,,-22,-11,,
基本每股收益,1.16,0.78,0.38,1.49,1.14,0.74,0.33,1.3,0.72,1.38,0.77,0.72,
稀释每股收益,1.16,0.78,0.38,,1.14,,0.33,,,,,,
