CODE,ESYMBOL,EXCHANGE,GUSHU,GUSHUBIJIAO,NAME,REPORTDATE,RN,SCSTC27,SHANGQIGUSHU,SHANGQISHIZHI,SHANGQISHULIANG,SHIZHI,SHULIANG,SHULIANGBIJIAO,SNAME,stockid
1002179,002179,CNSESZ,139326956,-92724842,,2019-09-30,34,0.13063514,"23,205",7764453161.07999990471825,534,5737484048.07999998742,86,-448,中航光电,002179
1002035,002035,CNSESZ,106829417,-165007283,,2019-09-30,35,0.12290116,"27,184",3310971005.9999999674634,244,1052269757.4500000514,39,-205,华帝股份,002035
1002036,002036,CNSESZ,112269604,27080761,,2019-09-30,36,0.12116,"8,519",779477913.449999972727,63,1594228376.799999977,12,-51,联创电子,002036
0601933,601933,CNSESH,1147157958,-603067752,,2019-09-30,37,0.12115838,"175,023",17869804499.1000000991599,798,10198234246.619999788,141,-657,永辉超市,601933
0600809,600809,CNSESH,102484057,-30375654,,2019-09-30,38,0.11836261,"13,286",9173963044.5500000020044,555,7923042446.6699998808,160,-395,山西汾酒,600809
1300118,300118,CNSESZ,105660584,-19632048,,2019-09-30,39,0.11722352,"12,529",1275478993.7600000346,126,1281662883.9200000295,21,-105,东方日升,300118
1300326,300326,CNSESZ,84032082,12739365,,2019-09-30,40,0.11719525,"7,129",640288576.84999997828855,80,1238581489.8200000586,43,-37,凯利泰,300326
1300724,300724,CNSESZ,21445214,-10020688,,2019-09-30,41,0.11504467,"3,147",837622311.2399999945502,138,694824933.6000000146,29,-109,捷佳伟创,300724
1000961,000961,CNSESZ,434779103,-376134301,,2019-09-30,42,0.11468721,"81,091",7002197478.63999998069617,485,3371492439.27999996452,67,-418,中南建设,000961
0603589,603589,CNSESH,67763094,-67750363,,2019-09-30,43,0.11293849,"13,551",8729776899.9400000863088,386,3779825383.3199999079,77,-309,口子窖,603589
1300618,300618,CNSESZ,30160593,14128278,,2019-09-30,44,0.11193422,"1,603",961938900,122,1891069181.1000000036,62,-60,寒锐钴业,300618
0603799,603799,CNSESH,123500106,29850048,,2019-09-30,45,0.11154763,"9,365",1995682735.97999998161293,259,3323387852.46000005079,117,-142,华友钴业,603799
1002410,002410,CNSESZ,124722507,-125299548,,2019-09-30,46,0.11052155,"25,002",8210222226.55000002335008,566,4426401773.43000007707,139,-427,广联达,002410
0600482,600482,CNSESH,69555683,-37642525,,2019-09-30,47,0.10973641,"10,720",2532021672.9600000008948,258,1590042913.3800000522,25,-233,中国动力,600482
0600048,600048,CNSESH,1300753458,-559186067,,2019-09-30,48,0.10868944,"185,994",23732828338.96000005793252,1297,18600774449.399999883787,540,-757,保利地产,600048
1002007,002007,CNSESZ,196192518,-94848802,,2019-09-30,49,0.10811283,"29,104",8873849846.799999978148498,513,6729403367.39999975663,132,-381,华兰生物,002007
0600872,600872,CNSESH,85994413,-117225613,,2019-09-30,50,0.10794677,"20,322",8703913713.5800000389902,495,3648742943.58999998688,173,-322,中炬高新,600872
1000651,000651,CNSESZ,635339525,-150007417,,2019-09-30,51,0.10561302,"78,535",43194081810,1738,36404954782.50000007747,990,-748,格力电器,000651
0600030,600030,CNSESH,1033652502,-54603821,,2019-09-30,52,0.10531718,"108,826",25911383050.6300005487396,1387,23236508244.959999826122,831,-556,中信证券,600030
0600009,600009,CNSESH,113973280,-59393534,,2019-09-30,53,0.10423022,"17,337",14524671676.9600001944793,814,9092788278.40000007959,264,-550,上海机场,600009
1300365,300365,CNSESZ,62075538,-61358893,,2019-09-30,54,0.10348416,"12,343",2000872126.5100000139931,118,933616091.520000019,12,-106,恒华科技,300365
0603517,603517,CNSESH,62768960,-49254677,,2019-09-30,55,0.10313144,"11,202",4358839715.6699999781212,378,2545909017.5999999958678,105,-273,绝味食品,603517
1300078,300078,CNSESZ,81856425,-65759956,,2019-09-30,56,0.10208083,"14,762",1507163250.0100000048934,158,964268686.5000000103,35,-123,思创医惠,300078
1000547,000547,CNSESZ,122387684,-216858684,,2019-09-30,57,0.10143865,"33,925",3243195278.0799999788,242,1282622928.319999937,21,-221,航天发展,000547
1000858,000858,CNSESZ,385056038,-72595360,,2019-09-30,58,0.1014382,"45,765",53979982394.149999812147,1504,49980273732.39999983956,874,-630,五粮液,000858
1000768,000768,CNSESZ,276699345,-70892249,,2019-09-30,59,0.09994035,"34,759",5474567605.5,275,4302674814.7500000216,38,-237,中航西飞,000768
0600741,600741,CNSESH,313763846,-146718209,,2019-09-30,60,0.09952151,"46,048",9946412387.99999990269122,689,7373450381,169,-520,华域汽车,600741
1000596,000596,CNSESZ,38175941,-32326987,,2019-09-30,61,0.09952018,"7,050",8355301997.2799999212383,448,4390233215,53,-395,古井贡酒,000596
1300226,300226,CNSESZ,18664646,-21999773,,2019-09-30,62,0.09775617,"4,066",3048204848.24000008058996,207,1373904592.05999999808,27,-180,上海钢联,300226
0600438,600438,CNSESH,415570036,-424140666,,2019-09-30,63,0.09691792,"83,971",11806332470.120000027839422,711,5294362258.64000004052,144,-567,通威股份,600438
1002555,002555,CNSESZ,204694340,5095007,,2019-09-30,64,0.09690812,"19,960",2692237562.1499999922272,491,3681875950.20000002624,104,-387,三七互娱,002555
1002821,002821,CNSESZ,22213362,-36176395,,2019-09-30,65,0.09626189,"5,839",5726867366.559999967190208,379,2617844711.7000000124,117,-262,凯莱英,002821
0601318,601318,CNSESH,1038270250,-87510924,,2019-09-30,66,0.09584625,"112,578",99755469828.2299991797205,2153,90371042559.999999682964,1788,-365,中国平安,601318
1002241,002241,CNSESZ,309135689,105046569,,2019-09-30,67,0.09526218,"20,409",1814352276.79999997765531,325,5434605412.62000009663,248,-77,歌尔股份,002241
