CINDUSTRY2,CODE,COMPANYCODE,COMPANYNAME,EXCHANGE,ITPROFILE21,ITPROFILE26,ITPROFILE38,NAME,NO,SNAME,STYLE,STYLECODE,SYMBOL
电子,0688981,80013237,中芯国际集成电路制造有限公司,CNSESH,3080.0524,"852-25378588,021-38610000",,,1,中芯国际,464,801080,688981
计算机,0688058,80554913,北京宝兰德软件股份有限公司,CNSESH,4000,010-65936966,,,2,宝兰德,464,801750,688058
机械设备,0688215,80528925,浙江瑞晟智能科技股份有限公司,CNSESH,4004,0574-88983667,"www.neeq.com,cn.www.neeq.cc",,3,瑞晟智能,464,801890,688215
电子,1300916,80624380,深圳朗特智能控制股份有限公司,CNSESZ,4258,0755-23501350,,,4,朗特智能,464,801080,300916
计算机,0688229,80577453,北京博睿宏远数据科技股份有限公司,CNSESH,4440,010-65520517,,,5,博睿数据,464,801750,688229
计算机,1300789,80591802,成都唐源电气股份有限公司,CNSESZ,4598.2758999999996,028-85003300,,,6,唐源电气,464,801750,300789
机械设备,1300553,80456363,杭州集智机电股份有限公司,CNSESZ,4800,0571-87203495,,,7,集智股份,464,801890,300553
公用事业,1300864,80673768,南京大学环境规划设计研究院集团股份公司,CNSESZ,4800,025-83685680,,,8,南大环境,464,801160,300864
计算机,0688095,80455061,福建福昕软件开发股份有限公司,CNSESH,4814,0591-38509866,www.neeq.com.cn,,9,福昕软件,464,801750,688095
机械设备,1300836,80570272,昆山佰奥智能装备股份有限公司,CNSESZ,4925.5720000000001,0512-33326888,,,10,佰奥智能,464,801890,300836
电气设备,0605288,80577913,常州市凯迪电器股份有限公司,CNSESH,5000,"0519-67898518,0519-67898510",,,11,凯迪股份,464,801730,605288
食品饮料,1002525,80133709,湖南胜景干黄酒业股份有限公司,CNSESZ,5100,0730-8711039-8307,WWW.CNINFO.COM.CN,,12,胜景山河,464,801120,002525
计算机,0688168,80584160,北京安博通科技股份有限公司,CNSESH,5118,010-57649050,"www.neeq.com.cn,www.neeq.cc",,13,安博通,464,801750,688168
机械设备,1300813,80529976,浙江泰林生物技术股份有限公司,CNSESZ,5197,0571-86589069,,,14,泰林生物,464,801890,300813
机械设备,1300751,80645249,苏州迈为科技股份有限公司,CNSESZ,5200,0512-63920089,,,15,迈为股份,464,801890,300751
通信,0688080,80453465,北京映翰通网络技术股份有限公司,CNSESH,5242.8786,010-84170010,www.neeq.com.cn,,16,映翰通,464,801770,688080
医药生物,0605266,80403551,云南健之佳健康连锁店股份有限公司,CNSESH,5300,0871-65711920,,,17,健之佳,464,801150,605266
电子,0688019,81585851,安集微电子科技(上海)股份有限公司,CNSESH,5310.8379999999997,021-20693201,,,18,安集科技,464,801080,688019
电子,0688286,80413914,苏州敏芯微电子技术股份有限公司,CNSESH,5320,0512-62956055,,,19,敏芯股份,464,801080,688286
机械设备,0688577,80147927,浙江海德曼智能装备股份有限公司,CNSESH,5397.1719999999996,0576-87371818,"www.neeq.com.cn,www.neeq.cc",,20,浙海德曼,464,801890,688577
汽车,1300863,80625352,宁波卡倍亿电气技术股份有限公司,CNSESZ,5523,0574-65106655,,,21,卡倍亿,464,801880,300863
机械设备,1300557,80106421,武汉理工光科股份有限公司,CNSESZ,5566.8540000000003,027-87960139,,,22,理工光科,464,801890,300557
电子,1300852,81112816,四会富仕电子科技股份有限公司,CNSESZ,5662.8199999999997,0758-3106018,,,23,四会富仕,464,801080,300852
计算机,0688004,80165394,北京市博汇科技股份有限公司,CNSESH,5680,010-57682700,"www.neeq.com.cn,www.neeq.cc",,24,博汇科技,464,801750,688004
化工,1300886,80422982,安徽华业香料股份有限公司,CNSESZ,5735,0556-8927299,,,25,华业香料,464,801030,300886
有色金属,1300811,80563341,深圳市铂科新材料股份有限公司,CNSESZ,5760,0755-26654881,,,26,铂科新材,464,801050,300811
有色金属,0688357,80532776,洛阳建龙微纳新材料股份有限公司,CNSESH,5782,0379-67758531,,,27,建龙微纳,464,801050,688357
医药生物,0688399,80667165,江苏硕世生物科技股份有限公司,CNSESH,5862,0523-86201616,,,28,硕世生物,464,801150,688399
公用事业,0688069,81586679,无锡德林海环保科技股份有限公司,CNSESH,5947,0510-85505177,,,29,德林海,464,801160,688069
医药生物,1300841,80187088,成都康华生物制品股份有限公司,CNSESZ,6000,"028-84846555,028-84882755",,,30,康华生物,464,801150,300841
食品饮料,1300915,80555765,上海海融食品科技股份有限公司,CNSESZ,6000,021-37560135,,,31,海融科技,464,801120,300915
计算机,0688060,80555093,江苏云涌电子科技股份有限公司,CNSESH,6000,0523-86658773,,,32,云涌科技,464,801750,688060
化工,1003017,80553902,浙江大洋生物科技集团股份有限公司,CNSESZ,6000,0571-64156868,"www.neeq.com.cn,www.neeq.cc",,33,大洋生物,464,801030,003017
医药生物,0688356,82123935,北京键凯科技股份有限公司,CNSESH,6000,010-82893760,,,34,键凯科技,464,801150,688356
机械设备,1003025,80414692,思进智能成形装备股份有限公司,CNSESZ,6029,0574-87749785,,,35,思进智能,464,801890,003025
医药生物,1200041,10000630,深圳本鲁克斯实业股份有限公司,CNSESZ,6050,0755-26068614,www.cninfo.com.cn,,36,*ST本实B,464,801150,200041
家用电器,1003023,80012732,成都彩虹电器(集团)股份有限公司,CNSESZ,6073.1999999999998,028-85362392,,,37,彩虹集团,464,801110,003023
机械设备,0688200,80955092,北京华峰测控技术股份有限公司,CNSESH,6118.5186000000003,010-63725652,,,38,华峰测控,464,801890,688200
电子,0688368,80365503,上海晶丰明源半导体股份有限公司,CNSESH,6160,021-51870166,,,39,晶丰明源,464,801080,688368
医药生物,0688202,80279560,上海美迪西生物医药股份有限公司,CNSESH,6200,021-58591500,,,40,美迪西,464,801150,688202
医药生物,0688068,80612162,北京热景生物技术股份有限公司,CNSESH,6219.6341000000002,010-50973660,,,41,热景生物,464,801150,688068
传媒,0600455,10001340,西安博通资讯股份有限公司,CNSESH,6245.8000000000002,029-82693206,www.sse.com.cn,,42,博通股份,464,801760,600455
公用事业,1300899,80539597,上海凯鑫分离技术股份有限公司,CNSESZ,6378.3465999999999,021-58988820,"www.neeq.com.cn,www.neeq.cc",,43,上海凯鑫,464,801160,300899
化工,1300644,80099702,南京聚隆科技股份有限公司,CNSESZ,6400,025-58647479,,,44,南京聚隆,464,801030,300644
传媒,1002995,80554920,北京全时天地在线网络信息股份有限公司,CNSESZ,6467,010-52343588,,,45,天地在线,464,801760,002995
机械设备,0688169,81606756,北京石头世纪科技股份有限公司,CNSESH,6666.6666999999998,010-50972025,,,46,石头科技,464,801890,688169
计算机,0688318,80198877,深圳市财富趋势科技股份有限公司,CNSESH,6667,0755-83021794,,,47,财富趋势,464,801750,688318
化工,1300848,80539854,美瑞新材料股份有限公司,CNSESZ,6667,0535-3979898,"www.neeq.com.cn,www.neeq.cc",,48,美瑞新材,464,801030,300848
机械设备,1002890,80416662,山东弘宇农机股份有限公司,CNSESZ,6667,0535-2232378,,,49,弘宇股份,464,801890,002890
汽车,1300695,80189247,浙江兆丰机电股份有限公司,CNSESZ,6667.7700000000004,0571-22803999,,,50,兆丰股份,464,801880,300695
建筑装饰,0603860,80202029,中公高科养护科技股份有限公司,CNSESH,6668,010-82364131,,,51,中公高科,464,801720,603860
电子,1002729,80198757,好利来(中国)电子科技股份有限公司,CNSESZ,6668,0592-7276981,www.cninfo.com.cn,,52,好利来,464,801080,002729
纺织服装,0603908,80499531,牧高笛户外用品股份有限公司,CNSESH,6669,0574-27718107,,,53,牧高笛,464,801130,603908
机械设备,0688056,80400073,北京莱伯泰科仪器股份有限公司,CNSESH,6700,010-80492709,,,54,莱伯泰科,464,801890,688056
计算机,0688228,80595678,开普云信息科技股份有限公司,CNSESH,6713.3440000000001,0769-86115656,"www.neeq.com.cn,www.neeq.cc",,55,开普云,464,801750,688228
机械设备,0688090,80585150,广州瑞松智能科技股份有限公司,CNSESH,6736.0587999999998,020-66309188,,,56,瑞松科技,464,801890,688090
计算机,1300807,80502184,郑州天迈科技股份有限公司,CNSESZ,6785.1000000000004,0371-67989993,www.neeq.cc,,57,天迈科技,464,801750,300807
通信,1300689,80554886,深圳市澄天伟业科技股份有限公司,CNSESZ,6800,0755-36900689,www.cninfo.com.cn,,58,澄天伟业,464,801770,300689
机械设备,1300897,80564347,杭州山科智能科技股份有限公司,CNSESZ,6800,0571-87203681,,,59,山科智能,464,801890,300897
医药生物,0688580,80548521,南京伟思医疗科技股份有限公司,CNSESH,6834.6666999999998,025-69670036,,,60,伟思医疗,464,801150,688580
通信,1300710,80461282,杭州万隆光电设备股份有限公司,CNSESZ,6861.3999999999996,0571-82150729,www.cninfo.com.cn,,61,万隆光电,464,801770,300710
医药生物,1002932,80452358,武汉明德生物科技股份有限公司,CNSESZ,6900.5146999999997,027-87001772,www.neeq.com.cn,,62,明德生物,464,801150,002932
传媒,0605168,80484826,三人行传媒集团股份有限公司,CNSESH,6906.6700000000001,010-57648016,,,63,三人行,464,801760,605168
医药生物,1003020,80407350,合肥立方制药股份有限公司,CNSESZ,6948,0551-65350370,,,64,立方制药,464,801150,003020
汽车,0688386,80506099,江苏泛亚微透科技股份有限公司,CNSESH,7000,0519-85313585,,,65,泛亚微透,464,801880,688386
机械设备,1300818,80378256,江西耐普矿机股份有限公司,CNSESZ,7000,0793-8457210,,,66,耐普矿机,464,801890,300818
化工,0688550,80184206,西安瑞联新材料股份有限公司,CNSESH,7018.1579000000002,029-68669089,"www.neeq.com.cn,www.neeq.cc",,67,瑞联新材,464,801030,688550
电气设备,0688339,80536836,北京亿华通科技股份有限公司,CNSESH,7050,010-62796417,"www.neeq.com.cn,www.neeq.cc",,68,亿华通,464,801730,688339
有色金属,1300835,80198571,安徽龙磁科技股份有限公司,CNSESZ,7067,0551-62865268,www.neeq.cc,,69,龙磁科技,464,801050,300835
计算机,0688078,80200943,北京龙软科技股份有限公司,CNSESH,7075,010-62670727,"www.neeq.com.cn,www.neeq.cc",,70,龙软科技,464,801750,688078
建筑装饰,0605178,80568623,北京新时空科技股份有限公司,CNSESH,7089.3999999999996,010-87227460,,,71,时空科技,464,801720,605178
国防军工,1002977,80961564,成都天箭科技股份有限公司,CNSESZ,7150,028-85331008,,,72,天箭科技,464,801740,002977
传媒,0603444,80288399,厦门吉比特网络技术股份有限公司,CNSESH,7186.4552000000003,0592-3213580,,,73,吉比特,464,801760,603444
医药生物,0688016,81605114,上海微创心脉医疗科技(集团)股份有限公司,CNSESH,7197.8146999999999,021-38139300,,,74,心脉医疗,464,801150,688016
化工,1300905,81154884,苏州宝丽迪材料科技股份有限公司,CNSESZ,7200,0512-65997405,,,75,宝丽迪,464,801030,300905
休闲服务,1300860,80541854,北京锋尚世纪文化传媒股份有限公司,CNSESZ,7207.4057000000003,010-59786056,,,76,锋尚文化,464,801210,300860
公用事业,0688335,80547041,上海复洁环保科技股份有限公司,CNSESH,7252.1508000000003,021-55081682,"www.neeq.com.cn,www.neeq.cc",,77,复洁环保,464,801160,688335
医药生物,0688301,80688642,上海奕瑞光电子科技股份有限公司,CNSESH,7254.7825999999995,021-50720560,,,78,奕瑞科技,464,801150,688301
机械设备,0688557,80202984,兰剑智能科技股份有限公司,CNSESH,7267,0531-88876633-1981,,,79,兰剑智能,464,801890,688557
机械设备,0688378,80614233,吉林奥来德光电材料股份有限公司,CNSESH,7313.6700000000001,0431-85800703,"www.neeq.com.cn,www.neeq.cc",,80,奥来德,464,801890,688378
电气设备,1300827,80564333,上能电气股份有限公司,CNSESZ,7333.3599999999997,0510-83691198,,,81,上能电气,464,801730,300827
轻工制造,1003011,81154795,浙江海象新材料股份有限公司,CNSESZ,7334,0573-80776966,,,82,海象新材,464,801140,003011
化工,0603822,80168123,浙江嘉澳环保科技股份有限公司,CNSESH,7335.6508999999996,0573-88623001,www.sse.com.cn,,83,嘉澳环保,464,801030,603822
国防军工,0688081,80563273,武汉兴图新科电子股份有限公司,CNSESH,7360,027-87179175,,,84,兴图新科,464,801740,688081
计算机,0688023,80425927,杭州安恒信息技术股份有限公司,CNSESH,7407.4075000000003,0571-28898076,,,85,安恒信息,464,801750,688023
计算机,0688500,80441507,北京慧辰资道资讯股份有限公司,CNSESH,7427.451,010-53263048,"www.neeq.com.cn,www.neeq.cc",,86,慧辰资讯,464,801750,688500
机械设备,0603076,80563798,宁波乐惠国际工程装备股份有限公司,CNSESH,7450,0574-65832846,,,87,乐惠国际,464,801890,603076
化工,0603991,80120458,上海至正道化高分子材料股份有限公司,CNSESH,7453.4997999999996,"021-64095566,021-54155612",,,88,至正股份,464,801030,603991
交通运输,1002800,80401592,新疆天顺供应链股份有限公司,CNSESZ,7468,0991-3792613,,,89,天顺股份,464,801170,002800
机械设备,1300619,80396988,佛山市金银河智能装备股份有限公司,CNSESZ,7468.1111000000001,0757-87323386,,,90,金银河,464,801890,300619
机械设备,0688308,81588178,株洲欧科亿数控精密刀具股份有限公司,CNSESH,7500,0731-22673968,,,91,欧科亿,464,801890,688308
国防军工,0688788,80592241,深圳市科思科技股份有限公司,CNSESH,7553.4232000000002,0755-86111131,,,92,科思科技,464,801740,688788
汽车,1300681,80520867,珠海英搏尔电气股份有限公司,CNSESZ,7560,0756-6860880,www.cninfo.com.cn,,93,英搏尔,464,801880,300681
机械设备,0688155,80669491,上海先惠自动化技术股份有限公司,CNSESH,7563.0036,021-57858808,,,94,先惠技术,464,801890,688155
综合,1300887,80198311,谱尼测试集团股份有限公司,CNSESZ,7600,010-83055180,,,95,谱尼测试,464,801230,300887
化工,0688133,80378252,上海泰坦科技股份有限公司,CNSESH,7624.8959999999997,021-51701699,"www.neeq.com.cn,www.neeq.cc",,96,泰坦科技,464,801030,688133
国防军工,1300875,80543593,天津捷强动力装备股份有限公司,CNSESZ,7679.5963000000002,022-86878696,,,97,捷强装备,464,801740,300875
计算机,0688369,80120979,北京致远互联软件股份有限公司,CNSESH,7698.9583000000002,010-88850901,,,98,致远互联,464,801750,688369
电子,1002257,80017662,浙江金瑞泓科技股份有限公司,CNSESZ,7708,0574-86821903,,,99,立立电子,464,801080,002257
化工,0688021,80525466,山东奥福环保科技股份有限公司,CNSESH,7728.3584000000001,0534-4260688,,,100,奥福环保,464,801030,688021
计算机,0688051,81604318,罗克佳华科技集团股份有限公司,CNSESH,7733.3999999999996,010-57230290,,,101,佳华科技,464,801750,688051
机械设备,1300812,80680305,深圳市易天自动化设备股份有限公司,CNSESZ,7751.1683000000003,0755-27850601,,,102,易天股份,464,801890,300812
化工,1300769,80143272,深圳市德方纳米科技股份有限公司,CNSESZ,7785.9993000000004,0755-26918296,,,103,德方纳米,464,801030,300769
汽车,1300742,80555100,南京越博动力系统股份有限公司,CNSESZ,7849.857,025-89635189,,,104,越博动力,464,801880,300742
国防军工,1300810,80577448,北京中科海讯数字科技股份有限公司,CNSESZ,7870,010-82492472,,,105,中科海讯,464,801740,300810
化工,0688157,81586793,湖南松井新材料股份有限公司,CNSESH,7960,0731-87191777,,,106,松井股份,464,801030,688157
机械设备,1300906,80543473,江西日月明测控科技股份有限公司,CNSESZ,8000,0791-88193001,"www.neeq.com.cn,www.neeq.cc",,107,日月明,464,801890,300906
建筑装饰,1300826,80384877,南京市测绘勘察研究院股份有限公司,CNSESZ,8000,025-84780620,,,108,测绘股份,464,801720,300826
汽车,0605128,80624890,上海沿浦金属制品股份有限公司,CNSESH,8000,021-64918973-8101,,,109,上海沿浦,464,801880,605128
医药生物,0605369,80316534,浙江拱东医疗器械股份有限公司,CNSESH,8000,0576-84081101,,,110,拱东医疗,464,801150,605369
机械设备,0688551,82481106,合肥科威尔电源系统股份有限公司,CNSESH,8000,0551-65837957,,,111,科威尔,464,801890,688551
有色金属,0688077,80564313,安徽大地熊新材料股份有限公司,CNSESH,8000,0551-87033302,,,112,大地熊,464,801050,688077
通信,0688027,80658490,科大国盾量子技术股份有限公司,CNSESH,8000,0551-66185117,,,113,国盾量子,464,801770,688027
汽车,1300816,80278090,安徽艾可蓝环保股份有限公司,CNSESZ,8000,0566-5255528,,,114,艾可蓝,464,801880,300816
化工,0688398,80400400,福建赛特新材股份有限公司,CNSESH,8000,0592-6199915,,,115,赛特新材,464,801030,688398
有色金属,0688598,80134434,湖南金博碳素股份有限公司,CNSESH,8000,0737-6202107,,,116,金博股份,464,801050,688598
机械设备,1300885,80116874,扬州海昌新材股份有限公司,CNSESZ,8000,0514-85823222,,,117,海昌新材,464,801890,300885
计算机,1003007,80203790,北京直真科技股份有限公司,CNSESZ,8000,010-62800055,,,118,直真科技,464,801750,003007
医药生物,0688013,82497498,天臣国际医疗科技股份有限公司,CNSESH,8000,0512-68601988,,,119,天臣医疗,464,801150,688013
综合,1003008,80493486,许昌开普检测研究院股份有限公司,CNSESZ,8000,0374-3219525,,,120,开普检测,464,801230,003008
电子,0688536,80559167,思瑞浦微电子科技(苏州)股份有限公司,CNSESH,8000,021-51090810,,,121,思瑞浦,464,801080,688536
医药生物,0688358,80421075,无锡祥生医疗科技股份有限公司,CNSESH,8000,0510-85271380,,,122,祥生医疗,464,801150,688358
计算机,0688039,80566379,杭州当虹科技股份有限公司,CNSESH,8000,0571-87767690,,,123,当虹科技,464,801750,688039
轻工制造,0603709,80563739,中源家居股份有限公司,CNSESH,8000,0572-5825566,www.sse.com.cn,,124,中源家居,464,801140,603709
电子,0688020,80563444,广州方邦电子股份有限公司,CNSESH,8000,020-82512686,,,125,方邦股份,464,801080,688020
机械设备,0688028,80205160,北京沃尔德金刚石工具股份有限公司,CNSESH,8000,0573-83821079,,,126,沃尔德,464,801890,688028
机械设备,0688333,80647224,西安铂力特增材技术股份有限公司,CNSESH,8000,029-88485673,,,127,铂力特,464,801890,688333
机械设备,1002896,80405215,宁波中大力德智能传动股份有限公司,CNSESZ,8000,0574-63537088,,,128,中大力德,464,801890,002896
电子,1300613,80379290,上海富瀚微电子股份有限公司,CNSESZ,8000.0640000000003,021-61121558,,,129,富瀚微,464,801080,300613
机械设备,0688309,80552156,济南恒誉环保科技股份有限公司,CNSESH,8001.0733,0531-86196309,,,130,恒誉环保,464,801890,688309
电子,0688018,80977924,乐鑫信息科技(上海)股份有限公司,CNSESH,8003.0500000000002,021-61065218,,,131,乐鑫科技,464,801080,688018
化工,1300721,80304567,江苏怡达化学股份有限公司,CNSESZ,8034.3999999999996,0510-86600202,,,132,怡达股份,464,801030,300721
医药生物,1300878,80409147,浙江维康药业股份有限公司,CNSESZ,8043.9067999999997,0578-2950088,,,133,维康药业,464,801150,300878
传媒,1300785,80555196,北京值得买科技股份有限公司,CNSESZ,8058.4297999999999,010-56640901,,,134,值得买,464,801760,300785
汽车,1002921,80288549,山东联诚精密制造股份有限公司,CNSESZ,8160,"0537-3956829,0537-3956905",,,135,联诚精密,464,801880,002921
机械设备,1300853,80530013,杭州申昊科技股份有限公司,CNSESZ,8162.8000000000002,0571-88720409,"www.neeq.com.cn,www.neeq.cc",,136,申昊科技,464,801890,300853
医药生物,0688338,80612014,北京赛科希德科技股份有限公司,CNSESH,8164.8000000000002,010-53855568,,,137,赛科希德,464,801150,688338
计算机,1003004,80126294,北京声迅电子股份有限公司,CNSESZ,8184,010-62980022,,,138,声迅股份,464,801750,003004
医药生物,1300573,80070613,沈阳兴齐眼药股份有限公司,CNSESZ,8236.5400000000009,024-82562350,www.cninfo.com.cn,,139,兴齐眼药,464,801150,300573
机械设备,1300700,80348411,长沙岱勒新材料科技股份有限公司,CNSESZ,8240.6237999999994,0731-89862900,,,140,岱勒新材,464,801890,300700
食品饮料,1300858,80771137,北京科拓恒通生物技术股份有限公司,CNSESZ,8251.7692000000006,010-69667381,,,141,科拓生物,464,801120,300858
计算机,0688555,80570257,泽达易盛(天津)科技股份有限公司,CNSESH,8311,0571-87318958,"www.neeq.com.cn,www.neeq.cc",,142,泽达易盛,464,801750,688555
机械设备,0688310,80537330,迈得医疗工业设备股份有限公司,CNSESH,8360,0576-87498999,"www.neeq.com.cn,www.neeq.cc",,143,迈得医疗,464,801890,688310
机械设备,0688160,80459005,上海步科自动化股份有限公司,CNSESH,8400,0755-86336477,,,144,步科股份,464,801890,688160
机械设备,0688037,81623396,沈阳芯源微电子设备股份有限公司,CNSESH,8400,024-23826230,,,145,芯源微,464,801890,688037
机械设备,1300833,80666771,广州市浩洋电子股份有限公司,CNSESZ,8432.7000000000007,020-84853328,,,146,浩洋股份,464,801890,300833
传媒,1300781,80591848,广东因赛品牌营销集团股份有限公司,CNSESZ,8454.1419999999998,020-62606006,,,147,因赛集团,464,801760,300781
公用事业,0688178,80684190,南京万德斯环保科技股份有限公司,CNSESH,8499.7844000000005,025-84913518,,,148,万德斯,464,801160,688178
机械设备,1300786,80201110,青岛国林环保科技股份有限公司,CNSESZ,8544,0532-84992168,,,149,国林科技,464,801890,300786
机械设备,0688360,80471208,浙江德马科技股份有限公司,CNSESH,8567.6599000000006,0572-3826015,,,150,德马科技,464,801890,688360
有色金属,0688300,80028131,江苏联瑞新材料股份有限公司,CNSESH,8597.3400000000001,0518-85703939,"www.neeq.com.cn,www.neeq.cc",,151,联瑞新材,464,801050,688300
医药生物,1002864,80148070,陕西盘龙药业集团股份有限公司,CNSESZ,8667,029-83338888,,,152,盘龙药业,464,801150,002864
机械设备,0605100,80134170,华丰动力股份有限公司,CNSESH,8670,0536-5607621,"www.neeq.com.cn,www.neeq.cc",,153,华丰股份,464,801890,605100
机械设备,1300851,80396675,北京交大思诺科技股份有限公司,CNSESZ,8693.3400000000001,010-62119891,"www.neeq.com.cn,www.neeq.cc",,154,交大思诺,464,801890,300851
计算机,0688258,80293530,江苏卓易信息科技股份有限公司,CNSESH,8695.6591000000008,0510-80322888,,,155,卓易信息,464,801750,688258
化工,0603722,80452222,无锡阿科力科技股份有限公司,CNSESH,8793.75,0510-88263255,"www.neeq.com.cn,www.neeq.cc",,156,阿科力,464,801030,603722
机械设备,1002760,80202122,安徽省凤形耐磨材料股份有限公司,CNSESZ,8800,0563-4150393,www.cninfo.com.cn,,157,凤形股份,464,801890,002760
电气设备,0688390,80541906,江苏固德威电源科技股份有限公司,CNSESH,8800,0512-62397978-8213,"www.neeq.com.cn,www.neeq.cc",,158,固德威,464,801730,688390
机械设备,0688379,80201111,杭州华光焊接新材料股份有限公司,CNSESH,8800,0571-88764399,,,159,华光新材,464,801890,688379
电子,0605258,80592160,江苏协和电子股份有限公司,CNSESH,8800,0519-88506113,"www.neeq.com.cn,www.neeq.cc",,160,协和电子,464,801080,605258
纺织服装,0605003,80421474,众望布艺股份有限公司,CNSESH,8800,0571-86172330,,,161,众望布艺,464,801130,605003
汽车,0603286,80515894,江苏日盈电子股份有限公司,CNSESH,8807.6000000000004,0519-68853200,,,162,日盈电子,464,801880,603286
交通运输,0603813,80400063,广东原尚物流股份有限公司,CNSESH,8878.2000000000007,020-26220769,,,163,原尚股份,464,801170,603813
化工,1300321,80133718,山东同大海岛新材料股份有限公司,CNSESZ,8880,"0536-7191939,0536-7199701",www.cninfo.com.cn,,164,同大股份,464,801030,300321
化工,1002778,80174400,江苏高科石化股份有限公司,CNSESZ,8910.9500000000007,0510-87688832,,,165,高科石化,464,801030,002778
机械设备,1300594,80374186,山东朗进科技股份有限公司,CNSESZ,8998.1700000000001,"0634-8802310,0532-85930296,0532-85930276","www.neeq.com.cn,www.neeq.cc",,166,朗进科技,464,801890,300594
化工,1300646,80277795,四川侨源气体股份有限公司,CNSESZ,9000,028-87229696,,,167,侨源气体,464,801030,300646
电子,0688608,80744096,恒玄科技(上海)股份有限公司,CNSESH,9000,021-68771788,,,168,恒玄科技,464,801080,688608
化工,1300728,80506371,江苏天常复合材料股份有限公司,CNSESZ,9000,0519-83180563,,,169,天常股份,464,801030,300728
医药生物,1300642,80201102,上海透景生命科技股份有限公司,CNSESZ,9081.3374999999996,021-50495115,,,170,透景生命,464,801150,300642
计算机,1300508,80400094,上海维宏电子科技股份有限公司,CNSESZ,9091.2000000000007,021-33587515,www.cninfo.com.cn,,171,维宏股份,464,801750,300508
通信,1300620,80525263,珠海光库科技股份有限公司,CNSESZ,9162.7999999999993,"0756-3898036,0756-3898809",,,172,光库科技,464,801770,300620
通信,0688159,80413837,深圳市有方科技股份有限公司,CNSESH,9167.9495000000006,0755-33692165,"www.neeq.com.cn,www.neeq.cc",,173,有方科技,464,801770,688159
家用电器,0603578,80456332,浙江三星新材股份有限公司,CNSESH,9173.7993000000006,0572-8370557,"www.neeq.com.cn,www.neeq.cc",,174,三星新材,464,801110,603578
公用事业,0688156,80429472,路德环境科技股份有限公司,CNSESH,9184,027-87206873,"www.neeq.com.cn,www.neeq.cc",,175,路德环境,464,801160,688156
计算机,1300845,80452231,郑州捷安高科股份有限公司,CNSESZ,9235.6000000000004,0371-86589303,www.neeq.com.cn,,176,捷安高科,464,801750,300845
电子,0688025,80346837,深圳市杰普特光电股份有限公司,CNSESH,9236.8575999999994,0755-29528181,"www.neeq.com.cn,www.neeq.cc",,177,杰普特,464,801080,688025
食品饮料,1002991,81160013,甘源食品股份有限公司,CNSESZ,9321.5830999999998,0799-7175598,,,178,甘源食品,464,801120,002991
传媒,0603729,80191155,上海龙韵传媒集团股份有限公司,CNSESH,9333.7999999999993,021-58823977,www.sse.com.cn,,179,龙韵股份,464,801760,603729
机械设备,0603029,80318061,山东天鹅棉业机械股份有限公司,CNSESH,9334,0531-58675810,www.sse.com.cn,,180,天鹅股份,464,801890,603029
医药生物,0688393,80167729,广州安必平医药科技股份有限公司,CNSESH,9334,020-32299997,,,181,安必平,464,801150,688393
传媒,1300518,80198439,深圳市盛讯达科技股份有限公司,CNSESZ,9334,0755-82731691,www.cninfo.com.cn,,182,盛讯达,464,801760,300518
机械设备,1300606,80449706,东莞金太阳研磨股份有限公司,CNSESZ,9345.7000000000007,0769-38823020,,,183,金太阳,464,801890,300606
机械设备,1300823,80167876,建科机械(天津)股份有限公司,CNSESZ,9355.9091000000008,022-26990670,,,184,建科机械,464,801890,300823
机械设备,1300554,80525018,南京三超新材料股份有限公司,CNSESZ,9360,0511-87357880,,,185,三超新材,464,801890,300554
汽车,1300652,80506417,杭州雷迪克节能科技股份有限公司,CNSESZ,9383.2363000000005,0571-22806190,www.cninfo.com.cn,,186,雷迪克,464,801880,300652
通信,1300563,80375176,神宇通信科技股份公司,CNSESZ,9457.7258999999995,0510-86279909,www.cninfo.com.cn,,187,神宇股份,464,801770,300563
电子,0603773,80205638,江西沃格光电股份有限公司,CNSESH,9459.5555999999997,0790-7109799,,,188,沃格光电,464,801080,603773
电气设备,1300820,80198800,四川英杰电气股份有限公司,CNSESZ,9501,0838-6928306,,,189,英杰电气,464,801730,300820
综合,1300688,80481441,创业黑马科技集团股份有限公司,CNSESZ,9520,010-62691933,,,190,创业黑马,464,801230,300688
计算机,0688118,80189545,普元信息技术股份有限公司,CNSESH,9540,021-58331900,,,191,普元信息,464,801750,688118
机械设备,1300865,80516165,成都大宏立机器股份有限公司,CNSESZ,9568,028-88266821,,,192,大宏立,464,801890,300865
医药生物,1002940,80041050,浙江昂利康制药股份有限公司,CNSESZ,9594.6818999999996,0575-83100181,,,193,昂利康,464,801150,002940
医药生物,0688198,80423262,北京佰仁医疗科技股份有限公司,CNSESH,9600,010-60735920,,,194,佰仁医疗,464,801150,688198
电气设备,1300907,80707404,康平科技(苏州)股份有限公司,CNSESZ,9600,0512-67215532,,,195,康平科技,464,801730,300907
电子,1002981,80565876,广东朝阳电子科技股份有限公司,CNSESZ,9600,0769-86768336,,,196,朝阳科技,464,801080,002981
化工,1300876,80679780,广东蒙泰高新纤维股份有限公司,CNSESZ,9600,0663-3904196,,,197,蒙泰高新,464,801030,300876
传媒,1000526,10000868,厦门紫光学大股份有限公司,CNSESZ,9619.5107000000007,010-83030712,www.cninfo.com.cn,,198,紫光学大,464,801760,000526
