CINDUSTRY2,CODE,COMPANYCODE,COMPANYNAME,EXCHANGE,ITPROFILE21,ITPROFILE26,ITPROFILE38,NAME,NO,SNAME,STYLE,STYLECODE,SYMBOL
电子,1003015,80539694,江苏日久光电股份有限公司,CNSESZ,28106.666700000002,0512-83639672,"www.neeq.com.cn,www.neeq.cc",,1134,日久光电,464,801080,003015
计算机,1300379,80198451,北京东方通科技股份有限公司,CNSESZ,28156.520799999998,010-82652668,www.cninfo.com.cn,,1135,东方通,464,801750,300379
电子,0600071,10000044,凤凰光学股份有限公司,CNSESH,28157.388900000002,0793-8259547,www.sse.com.cn,,1136,凤凰光学,464,801080,600071
交通运输,0603223,80312072,恒通物流股份有限公司,CNSESH,28224,0535-3453777,www.sse.com.cn,,1137,恒通股份,464,801170,603223
电子,0688299,80576784,宁波长阳科技股份有限公司,CNSESH,28256.8577,0574-56205386,"www.neeq.com.cn,www.neeq.cc",,1138,长阳科技,464,801080,688299
计算机,1002577,80169349,深圳雷柏科技股份有限公司,CNSESZ,28288,0755-28588566,www.cninfo.com.cn,,1139,雷柏科技,464,801750,002577
电子,1000020,10000609,深圳中恒华发股份有限公司,CNSESZ,28316.1227,0755-86360201,www.cninfo.com.cn,,1140,深华发A,464,801080,000020
电子,1200020,10000609,深圳中恒华发股份有限公司,CNSESZ,28316.1227,0755-86360201,www.cninfo.com.cn,,1141,深华发B,464,801080,200020
计算机,1300468,80290402,深圳四方精创资讯股份有限公司,CNSESZ,28329.905500000001,0755-86649962,www.cninfo.com.cn,,1142,四方精创,464,801750,300468
汽车,1002592,80173925,南宁八菱科技股份有限公司,CNSESZ,28333.115699999998,0771-3216598,www.cninfo.com.cn,,1143,ST八菱,464,801880,002592
机械设备,1300503,80198759,广州市昊志机电股份有限公司,CNSESZ,28398.908899999999,020-62868399,www.cninfo.com.cn,,1144,昊志机电,464,801890,300503
交通运输,0600561,10000378,江西长运股份有限公司,CNSESH,28447.68,0791-86298107,www.sse.com.cn,,1145,江西长运,464,801170,600561
建筑装饰,0603388,80490002,元成环境股份有限公司,CNSESH,28514.205999999998,0571-86990358,,,1146,元成股份,464,801720,603388
机械设备,1300112,80149504,深圳万讯自控股份有限公司,CNSESZ,28591.976699999999,0755-86250365,www.cninfo.com.cn,,1147,万讯自控,464,801890,300112
电子,1002866,80515893,江苏传艺科技股份有限公司,CNSESZ,28625.588599999999,0514-84606288,,,1148,传艺科技,464,801080,002866
传媒,0600661,10000468,上海新南洋昂立教育科技股份有限公司,CNSESH,28654.883000000002,"021-62811383,021-62818544",www.sse.com.cn,,1149,昂立教育,464,801760,600661
电气设备,1002823,80390793,深圳市凯中精密技术股份有限公司,CNSESZ,28707.638500000001,0755-86264859,,,1150,凯中精密,464,801730,002823
交通运输,0600772,10000721,中油龙昌股份有限公司,CNSESH,28753.919999999998,021-34975722,www.sse.com.cn,,1151,S*ST龙昌,464,801170,600772
医药生物,0600513,10001265,江苏联环药业股份有限公司,CNSESH,28799.037,0514-87813082,www.sse.com.cn,,1152,联环药业,464,801150,600513
医药生物,1300314,80194813,宁波戴维医疗器械股份有限公司,CNSESZ,28800,0574-65982386,www.cninfo.com.cn,,1153,戴维医疗,464,801150,300314
电子,1300747,80122542,武汉锐科光纤激光技术股份有限公司,CNSESZ,28800,027-81338818,,,1154,锐科激光,464,801080,300747
化工,0600714,10000521,青海金瑞矿业发展股份有限公司,CNSESH,28817.6273,"0971-6321867,0971-6321653",www.sse.com.cn,,1155,金瑞矿业,464,801030,600714
电气设备,0603577,80371865,青岛汇金通电力设备股份有限公司,CNSESH,28826.823499999999,0532-58081688,,,1156,汇金通,464,801730,603577
机械设备,1300097,80144344,大连智云自动化装备股份有限公司,CNSESZ,28854.966899999999,0755-81451722,www.cninfo.com.cn,,1157,智云股份,464,801890,300097
化工,1300305,80149251,江苏裕兴薄膜科技股份有限公司,CNSESZ,28875.299999999999,0519-83905129,www.cninfo.com.cn,,1158,裕兴股份,464,801030,300305
综合,1000412,10000685,长春北方五环实业股份有限公司,CNSESZ,28896.167600000001,0431-86166992,www.cninfo.com.cn,,1159,ST五环,464,801230,000412
农林牧渔,1002852,80320687,道道全粮油股份有限公司,CNSESZ,28900,0731-88966518,,,1160,道道全,464,801010,002852
机械设备,0603278,80345187,山东大业股份有限公司,CNSESH,28993.3835,0536-6528805,www.sse.com.cn,,1161,大业股份,464,801890,603278
化工,1300236,80174395,上海新阳半导体材料股份有限公司,CNSESZ,29064.891599999999,021-57850066,www.cninfo.com.cn,,1162,上海新阳,464,801030,300236
化工,1300387,80198773,湖北富邦科技股份有限公司,CNSESZ,29068.301800000001,027-87002158,www.cninfo.com.cn,,1163,富邦股份,464,801030,300387
电气设备,1300447,80206713,南京全信传输科技股份有限公司,CNSESZ,29106.925500000001,025-83245761,www.cninfo.com.cn,,1164,全信股份,464,801730,300447
建筑装饰,0603466,80335902,上海风语筑文化科技股份有限公司,CNSESH,29155.040000000001,021-56206468,,,1165,风语筑,464,801720,603466
医药生物,1002462,80014507,嘉事堂药业股份有限公司,CNSESZ,29170.712,010-88433464,www.cninfo.com.cn,,1166,嘉事堂,464,801150,002462
纺织服装,1002674,80194342,兴业皮革科技股份有限公司,CNSESZ,29186.294399999999,0595-68580886,www.cninfo.com.cn,,1167,兴业科技,464,801130,002674
机械设备,0603667,80293533,浙江五洲新春集团股份有限公司,CNSESH,29232.849300000002,0575-86339263,,,1168,五洲新春,464,801890,603667
机械设备,0603488,80447820,展鹏科技股份有限公司,CNSESH,29251.740000000002,0510-81003285,,,1169,展鹏科技,464,801890,603488
传媒,1002188,80100687,巴士在线股份有限公司,CNSESZ,29253.857499999998,0573-84252627,www.cninfo.com.cn,,1170,ST巴士,464,801760,002188
农林牧渔,0600371,10000297,万向德农股份有限公司,CNSESH,29257.799999999999,0451-82368448,www.sse.com.cn,,1171,万向德农,464,801010,600371
机械设备,1300007,80133634,汉威科技集团股份有限公司,CNSESZ,29302.280599999998,0371-67169159,www.cninfo.com.cn,,1172,汉威科技,464,801890,300007
建筑装饰,1300536,80386069,武汉农尚环境股份有限公司,CNSESZ,29328.813300000002,027-84701170,,,1173,农尚环境,464,801720,300536
建筑材料,0603616,80288003,北京韩建河山管业股份有限公司,CNSESH,29336,010-56278008,www.sse.com.cn,,1174,韩建河山,464,801710,603616
商业贸易,0600694,10000501,大商股份有限公司,CNSESH,29371.865300000001,0411-83643215,www.sse.com.cn,,1175,大商股份,464,801200,600694
电气设备,1300772,80282806,浙江运达风电股份有限公司,CNSESZ,29396,0571-87397666,,,1176,运达股份,464,801730,300772
电气设备,0600241,10000198,辽宁时代万恒股份有限公司,CNSESH,29430.211500000001,0411-82357777,www.sse.com.cn,,1177,*ST时万,464,801730,600241
电子,1002937,80347358,宁波兴瑞电子科技股份有限公司,CNSESZ,29440,0574-63411656,,,1178,兴瑞科技,464,801080,002937
医药生物,1002365,80133329,潜江永安药业股份有限公司,CNSESZ,29468.25,0728-6204039,www.cninfo.com.cn,,1179,永安药业,464,801150,002365
机械设备,1002757,80200657,南兴装备股份有限公司,CNSESZ,29546.806499999999,0769-88803333,www.cninfo.com.cn,,1180,南兴股份,464,801890,002757
化工,0600367,10000294,贵州红星发展股份有限公司,CNSESH,29565.215,"0851-36780388,0851-36780066",www.sse.com.cn,,1181,红星发展,464,801030,600367
商业贸易,1000151,10000662,中成进出口股份有限公司,CNSESZ,29598,010-84759518,www.cninfo.com.cn,,1182,中成股份,464,801200,000151
轻工制造,0603398,80315780,广东邦宝益智玩具股份有限公司,CNSESH,29638.279999999999,0754-88118320,www.sse.com.cn,,1183,邦宝益智,464,801140,603398
机械设备,1300509,80348922,江苏新美星包装机械股份有限公司,CNSESZ,29640,0512-58693918,,,1184,新美星,464,801890,300509
机械设备,1200770,10001073,武汉锅炉股份有限公司,CNSESZ,29700,"027-81993672,027-81993611",www.cninfo.com.cn,,1185,武锅B退,464,801890,200770
化工,0600389,10000311,南通江山农药化工股份有限公司,CNSESH,29700,"0513-83558270,0513-83530931",www.sse.com.cn,,1186,江山股份,464,801030,600389
传媒,1300192,80169464,苏州科德教育科技股份有限公司,CNSESZ,29702.341499999999,0512-65370257,www.cninfo.com.cn,,1187,科德教育,464,801760,300192
国防军工,1300600,80472713,常熟市国瑞科技股份有限公司,CNSESZ,29705.220000000001,0512-52828917,www.cninfo.com.cn,,1188,国瑞科技,464,801740,300600
交通运输,0600897,10000565,元翔(厦门)国际航空港股份有限公司,CNSESH,29781,0592-5706078,www.sse.com.cn,,1189,厦门空港,464,801170,600897
计算机,1300449,80201121,北京汉邦高科数字技术股份有限公司,CNSESZ,29825.889899999998,010-57985711,www.cninfo.com.cn,,1190,汉邦高科,464,801750,300449
综合,0603183,80537543,苏州市建筑科学研究院集团股份有限公司,CNSESH,29828.0075,0512-68286356,,,1191,建研院,464,801230,603183
轻工制造,0600356,10000284,牡丹江恒丰纸业股份有限公司,CNSESH,29873.1378,0453-6886668,www.sse.com.cn,,1192,恒丰纸业,464,801140,600356
化工,1000819,10001112,岳阳兴长石化股份有限公司,CNSESZ,29915.0255,"0730-8829916,0730-8829751","www.cninfo.com.cn,www.szse.cn",,1193,岳阳兴长,464,801030,000819
机械设备,0688518,80203844,深圳市联赢激光股份有限公司,CNSESH,29920,0755-86001062,,,1194,联赢激光,464,801890,688518
房地产,1000609,10000945,北京中迪投资股份有限公司,CNSESZ,29926.552199999998,010-65278816,www.cninfo.com.cn,,1195,中迪投资,464,801180,000609
房地产,0600463,10001337,北京空港科技园区股份有限公司,CNSESH,30000,010-80489305,www.sse.com.cn,,1196,空港股份,464,801180,600463
休闲服务,0601007,80092271,金陵饭店股份有限公司,CNSESH,30000,025-84711888,www.sse.com.cn,,1197,金陵饭店,464,801210,601007
计算机,1300542,80115801,新晨科技股份有限公司,CNSESZ,30008.347900000001,010-88877301,www.cninfo.com.cn,,1198,新晨科技,464,801750,300542
家用电器,0603996,80178008,中新科技集团股份有限公司,CNSESH,30015,0576-88322505,www.sse.com.cn,,1199,*ST中新,464,801110,603996
计算机,1300167,80054761,深圳市迪威迅股份有限公司,CNSESZ,30024,0755-26727722,www.cninfo.com.cn,,1200,迪威迅,464,801750,300167
交通运输,0603066,80076033,南京音飞储存设备(集团)股份有限公司,CNSESH,30070.290000000001,025-52726394,www.sse.com.cn,,1201,音飞储存,464,801170,603066
国防军工,1300474,80399170,长沙景嘉微电子股份有限公司,CNSESZ,30124.827799999999,0731-82737008,www.cninfo.com.cn,,1202,景嘉微,464,801740,300474
医药生物,0600796,10000745,浙江钱江生物化学股份有限公司,CNSESH,30140.214400000001,"0573-87088718,0573-87038237",www.sse.com.cn,,1203,钱江生化,464,801150,600796
有色金属,0600259,10000211,广晟有色金属股份有限公司,CNSESH,30180.2291,020-87705052,www.sse.com.cn,,1204,广晟有色,464,801050,600259
农林牧渔,1002234,80080284,山东民和牧业股份有限公司,CNSESZ,30204.663199999999,0535-5637723,www.cninfo.com.cn,,1205,民和股份,464,801010,002234
