报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,711,,1160,,374,,110,,-6,,692,,148,956,383,164,850,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,1879,,3336,,1642,,2967,,1453,,1426,,578,1127,1034,977,935,
无形资产摊销(万元),,122,,220,,93,,197,,99,,197,,98,98,86,84,38,
长期待摊费用摊销(万元),,77,,173,,81,,206,,103,,385,,194,423,408,380,299,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,1,,1,,2,,,,4,,38,,,,1,,,
固定资产报废损失(万元),,,,10,,,,10,,,,,,0,0,,,,
公允价值变动损失(万元),,,,,,,,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,
财务费用(万元),,2277,,3830,,1303,,2270,,1495,,2350,,2170,2017,358,51,373,
投资损失(万元),,,,,,,,30,,,,-1,,-1,-12,11,,,
递延所得税资产减少(万元),,-52,,-41,,-18,,45,,44,,944,,978,-498,-58,-6,-403,
递延所得税负债增加(万元),,,,,,,,,,,,,,,,,,,
存货的减少(万元),,-8689,,-14391,,-1910,,-13214,,-7488,,-4566,,-1198,385,-2292,-983,-2943,
经营性应收项目的减少(万元),,-12699,,-9235,,-2357,,-14152,,-4121,,-14059,,-3021,-4071,-8017,-3206,-5993,
经营性应付项目的增加(万元),,9468,,3449,,-3334,,-782,,-4775,,5186,,402,-4168,2236,2570,2801,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,
其他(万元),,,,,,,,,,,,,,,,,,,
经营活动产生现金流量净额(万元),,-6838,,-8761,,-1306,,-14106,,-10149,,-203,,2425,4323,1119,3448,-4202,
债务转为资本(万元),,,,,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,,,,
现金的期末余额(万元),11281,11581,22669,27287,47434,26081,26316,29667,31041,49084,12657,28956,19357,5399,6144,2372,1493,1795,
现金的期初余额(万元),27287,27287,27287,29667,29667,29667,29667,28956,28956,28956,28956,6144,6144,6144,2372,1493,1795,2152,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),-16006,-15706,-4618,-2381,17767,-3587,-3351,711,2085,20128,-16300,22813,13213,-745,3772,878,-302,-358,

