报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2015-03-31,2014-12-31,2014-03-31,2013-12-31,2012-12-31,
货币资金(万元),860406,867135,724096,734754,836958,1088180,944220,712938,808048,1036913,978289,830920,1087924,787646,539658,792544,569479,201433,176380,128341,127598,
结算备付金(万元),293982,206368,175740,168435,226281,231314,180779,123786,190056,207528,147578,127345,154120,121302,180625,250668,60447,91674,23579,16062,13103,
拆出资金(万元),25014,53034,40027,60000,34860,25000,,,,,,,,,,,,,,,,
交易性金融资产(万元),2188784,2245022,2358653,1985295,1733716,1917330,1939780,1846451,2037370,1740602,1481228,1240756,1011359,1067923,874019,699157,383185,291737,205800,99606,154699,
衍生金融资产(万元),260,29110,3899,3337,720,4204,,8,10,,,,131,,200,30,381,405,,,,
应收票据(万元),,,,,,,,,,,,,,,,,,,,,,
应收账款(万元),66310,60134,49376,42909,34431,29395,23315,30158,43241,95334,19892,531,12759,417,2591,479,,697,,,,
预付款项(万元),,,,,,,,,,,,,,,,,,,,,,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,67810,60958,67409,54630,45345,41386,25516,16715,14288,15578,6422,13084,8653,2356,3140,188,641,1185,
应收股利(万元),,,,29,,,,,,,,,,,,,,,,,,
其他应收款(万元),,,,,,,,,,,,,,,,,,,,,,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),166940,149582,139680,96980,80682,95956,86937,66168,83331,91433,121396,170094,164019,192931,98139,90937,75693,52084,39434,33338,40260,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),445987,395175,385439,594034,821636,826338,843880,890566,776032,747155,1040240,1410264,1235948,1201518,862185,1155678,633814,538230,121967,91701,446493,
存货(万元),,,,,,,,,,,,,,,,,,,,,,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),,,,,,,,,,,,,,,,,,,,,,
流动资产合计(万元),,,,,,,,,,,,,,,,,,,,,,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,765853,653339,607426,629803,586188,834295,762713,962703,934769,876219,933438,757102,283779,120369,106114,13278,15142,31573,
持有至到期投资(万元),144840,148080,146698,143859,119946,,,,,,,,,1000,,,6579,,9218,12077,6867,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),65345,64483,63760,62664,61424,61369,60720,59467,117655,119797,116094,135574,116858,120296,114520,7896,8651,5781,7172,7142,140,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),15821,15979,16136,16293,14121,14275,14412,14548,14665,12708,12945,13084,13224,15334,10490,10679,10095,9831,,,,
固定资产原值(万元),,27392,,26650,,,29375,29062,,,30317,,,,25183,,,,,36912,35665,
累计折旧(万元),,15734,,14423,,,13320,12581,,,11410,,,,9806,,,,,9390,7924,
固定资产净值(万元),,11658,,12227,,,16055,16481,,,18906,,,,15377,,,,,27522,27741,
固定资产减值准备(万元),,56,,56,,,56,56,,,56,,,,56,,,,,56,56,
固定资产(万元),11515,11602,11571,12171,14893,15429,15999,16425,17107,19220,18851,17486,17124,15325,15321,9046,10420,9713,27617,27466,27685,
在建工程(万元),36744,32825,29795,24801,21916,19556,16918,14393,11397,8990,3970,1960,1921,1891,6686,4373,,,,,467,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,
无形资产(万元),58764,59115,59296,59468,59738,60531,60787,61429,61590,61105,61707,9528,9047,9020,8015,6079,6097,6027,3471,3657,2013,
开发支出(万元),,,,,,,,,,,,,,,,,,,,,,
商誉(万元),6750,3068,3068,3068,3068,3068,3068,3068,3272,3302,3302,1759,1759,1759,1759,1555,1555,1555,3631,3631,,
长期待摊费用(万元),,,,5610,,,,,,,,,,,,,,,,,,
