报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,
应付债券(万元),215311,213321,140910,,350000,350000,350000,350000,350000,,,,,,
长期应付款(万元),,4509,,53078,61314,58167,6873,5810,54626,54508,8437,5298,,,
专项应付款(万元),,,,,,,,,,,,,,12453,
预计非流动负债(万元),717,609,601,572,179,202,281,228,181,196,194,264,5,57,
长期递延收益(万元),21183,20668,21156,20583,13704,13930,14486,14526,15063,15154,14636,14702,15485,18312,
递延所得税负债(万元),,,1522,,,,,,,,0,,,,
其他非流动负债(万元),272595,278154,283288,288420,298165,308223,318391,328560,338864,349182,371149,369899,392377,413836,
非流动负债合计(万元),824148,824411,829539,628496,990837,985069,961477,986009,1051319,719755,688843,674079,661242,768530,
负债合计(万元),1981199,2149111,2099810,1934626,1997157,2299100,2445192,2280002,2245866,1813394,1592807,1590901,1091928,1126403,
实收资本(或股本)(万元),649110,649110,649110,603672,603672,603672,603672,477820,477820,477820,477820,477820,400000,,
资本公积(万元),1231467,1231467,1230252,1077797,1077970,1077080,1077929,532164,531987,551018,530775,529701,441890,800864,
减:库存股(万元),,,,,,,,,,,,,,,
专项储备(万元),820,745,462,340,1707,1195,770,299,311,290,284,273,254,302,
盈余公积(万元),98697,98697,98697,98697,67399,67399,42986,42986,28700,28700,13893,13893,1151,,
一般风险准备(万元),29828,29828,29828,29828,22636,22636,13412,13412,7767,7767,3311,3311,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,
未分配利润(万元),922303,828596,972095,874261,744196,555098,439485,363194,284543,230964,214994,153830,11245,706704,
拟分配现金股利(万元),,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),2953926,2860527,2992908,2697966,2532019,2355466,2190230,1423572,1310906,1266444,1217057,1161689,854510,1494793,
少数股东权益(万元),266355,256375,252654,243986,190994,150799,141282,124683,118630,88345,85464,80141,2395,2207,
所有者权益(或股东权益)合计(万元),3220281,3116902,3245562,2941952,2723013,2506266,2331512,1548256,1429536,1354790,1302521,1241830,856905,1497000,
负债和所有者权益(或股东权益)总计(万元),5201480,5266013,5345372,4876578,4720170,4805365,4776704,3828257,3675402,3168183,2895328,2832730,1948833,2623403,		
