报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
递延所得税负债(万元),103,104,104,105,148,148,147,148,74,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,848,,,,,,
非流动负债合计(万元),10372,11059,12180,13255,7290,7115,4522,6954,4076,4114,4986,5356,1200,1158,116,156,
负债合计(万元),63045,56763,69874,69098,63565,60530,48755,53556,28089,12477,14087,16056,10993,6868,7851,6464,
实收资本(或股本)(万元),23798,23798,23798,23798,22240,22132,12296,12296,12000,12000,9000,9000,9000,9000,2300,2300,
资本公积(万元),25338,24978,24614,24294,21071,19632,29026,28583,25124,25124,6201,6201,6201,6201,6,,
减:库存股(万元),3602,3602,3602,3602,3601,3601,3601,3601,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,
盈余公积(万元),1310,1310,1310,1310,1310,1310,1310,1310,1065,1065,1065,1065,568,123,1166,822,
一般风险准备(万元),,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,
未分配利润(万元),12808,12813,12513,11957,12345,11874,12766,12190,13382,12596,11424,10582,5799,1470,8997,5740,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),59789,59390,58612,57746,53366,51348,51796,50779,51571,50785,27690,26848,21567,16794,12469,8862,
少数股东权益(万元),1185,1190,1171,1237,6223,5128,4575,4119,3455,1100,1055,1027,847,693,693,633,
所有者权益(或股东权益)合计(万元),60974,60580,59783,58983,59589,56476,56371,54897,55026,51885,28745,27875,22414,17487,13162,9495,
负债和所有者权益(或股东权益)总计(万元),124019,117343,129657,128081,123154,117006,105126,108453,83116,64362,42832,43931,33407,24354,21013,15959,		
