报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,
其他应付款(万元),,,,28447,45436,39235,32988,31586,41535,19215,24840,34185,19943,12842,14146,2177,2278,1122,926,757,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,,,,,,,,,
流动负债合计(万元),,,,,,,,,,,,,,,,,,,,,
长期借款(万元),41943,42743,43531,,,,,,,88182,86525,55000,63275,73528,69580,155905,132818,190329,115865,74011,
应付债券(万元),718729,948168,720989,699317,711964,730628,365790,289113,333962,571981,354065,178067,200792,291025,199395,59874,49877,49846,49815,49788,
长期应付款(万元),,,,384461,385580,377698,372317,364647,356060,357618,374389,342180,299565,246253,188171,126030,63157,51127,8466,,
专项应付款(万元),,,,,,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,,,,,
长期递延收益(万元),,,,81346,86180,86278,75537,68982,63354,,,,,,,,,,,,
递延所得税负债(万元),,,,,,,,,,,11,,,,,,,,,,
其他非流动负债(万元),559057,507095,489535,3814,3447,2892,2579,2076,1876,1669,,,,,,,,,,,
非流动负债合计(万元),,,,,,,,,,,,,,,,,,,,,
负债合计(万元),5483003,5338950,5052210,4801197,4798560,4636704,4351144,4342171,4131058,4189071,3638098,2988865,2810235,2621972,2262056,1865657,1497118,1421485,1152461,967913,
实收资本(或股本)(万元),298665,298665,298665,298665,298665,298665,298665,234665,234665,234665,234665,234665,234665,234665,234665,234665,219412,219412,200000,200000,
资本公积(万元),431591,431591,431591,431591,431591,431591,431591,103792,103792,103792,103782,103792,103792,103792,103792,46175,33210,33210,19621,19621,
减:库存股(万元),,,,,,,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,,,,,
盈余公积(万元),41894,41894,41894,41894,29384,29384,29384,29384,19277,19277,19259,11037,11037,3712,3711,17279,17279,12259,12254,8438,
一般风险准备(万元),87225,87225,87225,87225,74061,74061,74061,74061,62347,62347,62347,48207,48207,39017,39017,27187,27187,21096,21096,9920,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,,,
未分配利润(万元),302677,260562,279688,242394,238532,207226,211323,178805,186223,157903,118167,99685,68297,48603,21567,68123,53562,42586,52833,49175,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),1162052,1119937,1139063,1101769,1072233,1040926,1045023,624745,606882,578563,538961,497386,465999,429790,402751,393430,350650,328563,305805,287154,
少数股东权益(万元),,,,,,,,,,,,,,,,,,,,,
所有者权益(或股东权益)合计(万元),1162052,1119937,1139063,1101769,1072233,1040926,1045023,624745,606882,578563,538961,497386,465999,429790,402751,393430,350650,328563,305805,287154,
负债和所有者权益(或股东权益)总计(万元),6645055,6458887,6191273,5902966,5870793,5677630,5396167,4966917,4737941,4767634,4177058,3486251,3276234,3051762,2664807,2259087,1847767,1750048,1458266,1255067,		
