报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
无形资产(万元),512993,517653,515248,522834,555521,535993,541061,275279,278697,278805,278821,281936,267978,272014,268954,269497,236268,256753,261528,251611,242822,254199,242652,248245,223015,9664,219619,227915,219125,225040,205334,210042,200192,185687,
开发支出(万元),4275,3132,3199,3051,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,
商誉(万元),16967,16967,16967,16967,245396,241348,250858,3939,3939,3939,3939,3939,3939,3939,3939,3939,3939,3939,3939,3939,3939,3939,3939,3939,3939,,3939,3939,3939,3939,3939,3939,3939,3939,
长期待摊费用(万元),15239,15312,21872,26400,26539,26281,22904,5056,5545,5345,3989,3839,3408,3186,3162,3187,2916,2324,2411,2472,2358,2444,1894,2013,2029,,2007,2120,2134,1924,1641,1733,2889,4704,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),20125,19516,19488,21289,37928,36562,32813,14499,15934,16591,16674,16662,14888,13031,12796,12892,15991,11892,15781,14878,12731,12569,9715,10312,9804,8656,8707,9113,8304,7320,7954,8861,6675,4986,
其他非流动资产(万元),11276,11276,3851,3851,23712,27892,28544,23873,23865,23059,22430,24397,22540,24176,26876,26876,26000,25440,31307,25430,27890,25430,24890,22430,22430,2308,22430,22430,24630,28045,27130,26544,25430,26030,
