报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
长期借款(万元),,,,,,,,,,,,,,6000,25000,15000,
应付债券(万元),,,,,,,,,,,,,,,,,
长期应付款(万元),,2768,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,
长期递延收益(万元),1041,1101,1161,1221,1281,1342,1402,1462,1521,1581,1700,500,,,,,
递延所得税负债(万元),,,,,,,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,,,
非流动负债合计(万元),2842,3868,4895,1221,1281,1342,1402,1462,1521,1581,1700,500,0,6000,25000,15000,
负债合计(万元),226752,189794,188900,174409,151897,150236,129906,150515,129749,163197,172582,191013,170387,171218,154673,113698,
实收资本(或股本)(万元),18289,18289,12613,12613,12415,12415,12415,12415,12415,9311,9311,9311,9311,9311,9311,9311,
资本公积(万元),80714,80454,85873,85618,81256,81256,81256,81256,81256,117,117,117,,,,,
减:库存股(万元),4117,4117,4267,4267,,,,,,,,,,,,,
专项储备(万元),1981,1981,1981,1981,673,673,673,673,164,177,384,1197,,721,,,
盈余公积(万元),13141,13141,13141,12836,9718,9718,9718,9718,6847,6847,6847,5591,4254,4254,3222,1790,
一般风险准备(万元),,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,
未分配利润(万元),132274,120903,125504,114006,103745,99132,97448,91769,87158,76309,64488,52478,45334,45946,34093,19473,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),242285,230655,234849,222880,207808,203193,201509,195830,187818,92760,81147,68697,58902,60235,46628,30575,
少数股东权益(万元),838,805,839,,,,,,,,,,,,,,
所有者权益(或股东权益)合计(万元),243123,231461,235688,222880,207808,203193,201509,195830,187818,92760,81147,68697,58902,60235,46628,30575,
负债和所有者权益(或股东权益)总计(万元),469875,421254,424588,397289,359704,353429,331416,346345,317567,255957,253729,259710,229289,231453,201301,144272,		
