报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
长期递延收益(万元),32546,33838,35129,36420,36880,38100,38585,37076,36904,32134,26084,24812,22826,23537,17197,14367,
递延所得税负债(万元),,,,,,,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,,,
非流动负债合计(万元),33013,34305,36015,38306,39770,41999,43491,43584,48289,43753,38803,39731,52734,61361,55710,69935,
负债合计(万元),155474,131564,145795,192949,183027,159033,138052,144748,169177,150264,117169,125936,135909,170711,181046,204087,
实收资本(或股本)(万元),67594,67594,67594,67594,67594,67594,67594,67594,67594,67594,59864,59864,59864,59864,59864,59864,
资本公积(万元),178425,178425,178419,178419,178419,178419,178419,178419,178419,178419,88217,88217,88217,88217,88217,88217,
减:库存股(万元),,,,,,,,,,,,,,,,,
专项储备(万元),1324,1637,1590,1441,1393,1291,1300,1211,1324,1278,1237,1160,1416,1347,1703,1365,
盈余公积(万元),27354,27354,27354,27354,15177,15177,15177,15177,8490,8490,8490,8490,4331,3528,2043,911,
一般风险准备(万元),,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,
未分配利润(万元),271054,251004,226323,211772,205055,165059,148807,123014,121673,98217,82762,61822,35234,28944,17136,6945,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,49,147,84,2,,,,
归属于母公司股东权益合计(万元),545785,526035,501290,486600,467658,427547,411290,385418,377519,354046,240717,219638,189064,181900,168964,157302,
少数股东权益(万元),,,,,,,,,,,,,,,,,
所有者权益(或股东权益)合计(万元),545785,526035,501290,486600,467658,427547,411290,385418,377519,354046,240717,219638,189064,181900,168964,157302,
负债和所有者权益(或股东权益)总计(万元),701259,657598,647085,679550,650685,586580,549342,530167,546696,504310,357886,345573,324973,352612,350011,361388,		
