报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,
应付职工薪酬(万元),21137,14129,8340,7760,13456,10390,6456,3749,13313,8122,4357,3543,10591,6783,4686,3611,10119,7592,75143,2974,14816,11203,5018,2849,9994,,,2245,,
应交税费(万元),10692,11058,9280,10036,13473,13346,8896,10897,8996,9972,7251,13835,8766,10514,6759,8009,-7357,11621,-4758,10669,7166,10932,12312,13010,9582,,,20346,,
应付利息(万元),2961,2182,5044,4274,2387,3085,6689,9478,5969,6156,7739,9002,7491,5834,3334,6522,212,1771,683,1872,9897,4658,2929,1744,4607,,,1760,,
应付股利(万元),10245,8284,6441,6978,1351,34595,12252,13416,10274,26736,9168,10399,8268,22413,6083,7079,5446,23449,8324,3378,4449,21951,6941,2909,4779,,,1509,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,45191,,66502,,86746,90754,96599,102578,96405,76486,76456,27698,34632,29866,41351,42423,47617,28975,62723,229757,272348,83281,48236,81468,,,66103,,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,,1089,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,50150,50150,50150,50150,50000,50000,149989,149920,159946,59960,59971,,,,20657,,15020,,31105,60000,60000,55446,75446,23772,,,,,
其他流动负债(万元),,,,,,,,57,,132540,130887,273359,256514,253987,358050,354344,303693,164228,104671,101483,100962,,51976,51288,53706,,,,,
流动负债合计(万元),463202,527873,456940,471843,512737,489650,501997,640844,669759,623190,544765,585020,467786,475527,560936,556543,424572,410933,424809,428030,646003,623974,448913,426641,385813,,,315563,,
长期借款(万元),261848,225862,198684,180534,176624,213473,140222,53259,48110,89403,129821,121826,171450,171685,133307,125779,107109,97968,168765,184187,45224,35416,55416,36116,111544,,,149684,,
应付债券(万元),119742,119712,119947,119878,119808,119737,119667,119598,119537,119467,219251,219248,279131,279024,159947,159785,161112,162836,161668,59893,60059,,,,,,,,,
长期应付款(万元),,4,,,1362,43,43,43,51,54,54,54,62,67,67,26856,86117,81782,57803,18126,72,72,72,72,,,,,,
专项应付款(万元),,200002,,201564,,1370,,1453,3102,3129,3222,3226,4336,4372,2652,4448,4890,5022,7294,7417,10118,10348,10425,10610,8412,,,4391,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,,,,,52453,53531,53988,,58999,,,63961,,
长期递延收益(万元),17847,18091,7839,8169,7583,7635,8959,6370,6220,6356,6521,6456,5557,5658,7066,6376,4079,37729,18253,5755,,,,3757,,,,,,
递延所得税负债(万元),20132,19711,18026,17363,235,271,813,1099,1333,1542,,2093,2093,3420,1762,3488,2638,2840,2638,2638,1,1,2,558,2,,,22,,
其他非流动负债(万元),,,,,,,,,,,2053,,,,442,,565,,610,,5641,5677,3828,,4769,,,1017,,
非流动负债合计(万元),755211,599267,562515,544613,323521,360279,289378,200843,199712,241082,383683,375250,486708,492636,334948,356835,437836,475530,417032,367571,173568,105045,123731,136573,183726,,,219075,,
负债合计(万元),1218413,1127140,1019455,1016456,836257,849929,791374,841686,869471,864272,928448,960271,954494,968163,895883,913379,862409,886463,841841,795601,819571,729019,572644,563214,569538,,,534637,,
实收资本(或股本)(万元),619318,619318,619318,619318,619318,619318,619318,619318,619318,619318,619318,549450,549450,549450,549450,549450,549450,549450,549450,549450,549450,549450,500000,500000,500000,,,500000,,
资本公积(万元),186106,186106,186106,186106,186106,186106,186195,186195,186195,186195,186195,100513,100513,100513,100513,100513,100497,100513,114104,100513,88225,87281,36842,50058,33804,,,31252,,
减:库存股(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专项储备(万元),4000,3533,3209,2629,3231,3243,2506,2218,2405,2300,2018,1674,1802,1443,1306,1153,1017,772,663,400,780,557,272,214,,,,,,
盈余公积(万元),54431,52224,50236,47969,47250,45126,43159,41620,40010,38637,36906,35775,34075,32698,30768,29997,28599,27562,25627,24129,22254,21261,19377,17327,14281,,,5167,,
一般风险准备(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润(万元),453270,433140,431944,407728,407697,387338,387348,363276,353962,332006,327903,314447,298387,282507,274620,266352,257036,239479,235753,220297,213514,198982,190534,163686,135700,,,55319,,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),1311147,1288408,1284584,1255989,1256477,1234116,1233034,1207990,1197534,1174691,1169996,999633,981617,964636,953390,945935,937843,924102,933507,900603,874223,857531,747026,744674,683785,780700,756700,591738,612100,
少数股东权益(万元),264430,256186,255260,246290,172423,162592,161915,162850,155240,138727,138191,136786,138892,136950,129747,128577,118725,116296,112393,115608,116596,113871,108714,110544,103372,,,90039,,
所有者权益(或股东权益)合计(万元),1575577,1544594,1539844,1502280,1428900,1396709,1394949,1370840,1352774,1313417,1308186,1136419,1120509,1101586,1083137,1074512,1056569,1040398,1045901,1016211,990819,971402,855739,855218,787157,780700,,681777,,
负债和所有者权益(或股东权益)总计(万元),2793990,2671735,2559299,2518736,2265158,2246638,2186324,2212527,2222246,2177690,2236634,2096689,2075003,2069749,1979021,1987891,1918977,1926861,1887742,1811812,1810390,1700421,1428383,1418432,1356695,1340600,1315200,1216415,,		
