报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2012-06-30,
货币资金(万元),14361913,13872012,13209220,14510578,13925585,14315006,15471708,13606365,13845107,13554820,13502214,13703735,13187232,14341200,13198534,14405798,14419019,14711329,13998373,12160900,10580918,9188410,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),13583862,14401610,11505094,11534435,11348717,11761851,10631379,9717841,9013227,9754001,10383697,9773942,10587251,10200060,7639278,7216777,5789879,4419531,3797090,2137656,1521591,2813507,
交易性金融资产(万元),33043128,34700083,35027171,1787436,1491777,1626403,1304327,1155424,1261987,821563,1073401,714534,779052,715726,485795,461420,534374,376391,799084,728128,484866,442952,
衍生金融资产(万元),2311102,1182119,139772,123762,206398,248472,156261,83909,133067,100754,83146,136189,110244,147855,92310,69128,73946,49496,40719,103056,18250,5048,
应收票据(万元),,,,,,,,,,,,,,,,,,,,,,,
应收账款(万元),,,,,,,,,,,,,,,,,,,,,,,
预付款项(万元),,,,,,,,,,,,,,,,,,,,,,,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,976028,923001,874731,911453,768043,775477,758436,799325,735458,662721,716267,690003,605314,584288,582274,692510,538400,481554,342262,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,,,,,,,,,,,,,,,,,,,,,,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),123931,1475772,2078835,3636862,1825300,3583396,2251177,2580885,1344567,1507847,3202686,1925717,2145796,2117994,1266676,5104268,2630124,4394357,6232080,3313650,832397,295542,
存货(万元),,,,,,,,,,,,,,,,,,,,,,,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,
