报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,
其他非流动资产(万元),288545,109581,99555,103944,20460,20299,20324,20323,4533,4533,2115,2115,13,40053,3011,3011,34293,33969,43005,1354,30852,1364,1599,433,17609,548,25060,
非流动资产合计(万元),985733,793473,803391,772331,880488,856753,853875,837757,759565,840835,874706,817304,705115,767931,641902,641464,535560,707604,610398,499533,637497,528843,536312,477607,460244,418529,375082,
资产总计(万元),5228898,5019046,4870323,4903098,4772187,4539973,4447294,4537379,4425154,4305895,4225830,4380840,3785763,3748255,3023741,3152012,3156209,3272701,3210910,3307571,3167578,3070616,2820636,2194975,2008043,1718728,1413460,
短期借款(万元),766001,922383,1066187,904704,954403,924998,886146,788880,814793,773644,703323,615046,510460,509760,486395,511347,494175,458472,412973,737724,485175,717647,759574,347213,215349,180093,130305,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,150,,,
衍生金融负债(万元),,,2,2,,,,,,,,,,,,,,,,,,,,,,,,
应付票据(万元),79824,63921,,75243,,,132479,159099,130184,130679,106032,92513,120919,129654,70999,51147,69443,112680,104965,,37577,,,,28084,,11009,
应付账款(万元),1497904,1457837,,1531106,,,1123912,1319563,1037451,1036406,859301,1118321,885067,880183,699496,791421,850672,836639,790316,30304,844710,54159,72609,55105,577759,14996,427839,
预收账款(万元),,,,,,,230332,194777,363414,286327,263719,218112,336606,338710,207136,217773,287115,278243,357215,,236375,,,,331993,,221253,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),20697,23334,18059,25510,22040,24606,24188,27835,23137,25898,23194,27642,27071,28668,20878,24648,23108,25804,21064,12812,20884,11692,11662,11933,29945,12343,32342,
应交税费(万元),19328,18712,24903,32317,32715,25594,33964,58668,42129,41322,37811,53060,29253,37464,30783,42103,18852,34382,29891,5,24272,3001,50101,,26013,8070,34355,
应付利息(万元),,104,1085,1747,1355,,4565,3598,8386,1276,3812,1378,3971,2202,2294,840,949,1232,1747,,1703,,,,376,,237,
应付股利(万元),,18213,,3000,,,,3000,,23169,5366,5544,5598,21514,5535,5535,5563,32390,5758,5758,6192,40390,5724,58888,5308,5308,8168,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,181258,,164552,,153716,155097,147470,149307,143781,155585,153218,153349,157051,101366,97706,85111,109106,107651,1410879,92407,1138114,1090954,1024730,62798,951983,86054,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),169180,79893,86665,135360,164573,134621,55496,39274,13091,7708,150313,122016,3313,5313,2200,7500,25800,86673,85111,,34337,,,,10875,,,
其他流动负债(万元),237366,125319,119747,134440,181438,165666,217339,205868,274209,284120,305331,254361,335269,286924,236666,233880,172473,204014,202688,,246974,,,,2578,,2794,
流动负债合计(万元),3306996,3203845,3208010,3278741,3196700,3002822,2863519,2948032,2856101,2754330,2613786,2661210,2410877,2397441,1863748,1983900,2033262,2179635,2119380,2197481,2030606,1965002,1990624,1503767,1291229,1172792,954357,
长期借款(万元),542829,427700,243200,222300,159701,196850,179400,187100,195265,178088,141455,106068,187244,188482,126284,121093,137679,117226,86304,116449,122509,119727,29015,26127,19035,10000,,
应付债券(万元),,,,,,,93278,92168,91057,89946,91955,91955,90000,90000,,0,,,,,,,,,,,,
长期应付款(万元),,,,,85920,86396,,,,,,,,,,,,,7362,7399,23839,19571,23944,27684,34374,37144,12353,
专项应付款(万元),,430,,561,,,561,561,156,,,1336,,,,1342,,,,,37,,,,10,,3,
预计非流动负债(万元),,,,,,,,0,,,2195,2195,131,,131,143,36,36,36,,4055,,,,,,2028,
长期递延收益(万元),4279,4594,4591,4081,7048,9243,4305,4401,8485,8018,8526,8622,8409,8601,8791,8971,10261,10661,6909,9921,,10091,9707,8794,,2038,,
递延所得税负债(万元),7116,2989,7482,7482,4262,6506,6554,6625,5230,4819,846,5175,54,2480,123,63,66,86,89,92,4506,1337,1164,1293,1866,3692,3400,
其他非流动负债(万元),,,,,,,,,,,21,,,,,,,,3134,,124175,,,,144620,,144228,
非流动负债合计(万元),624429,503938,328198,305811,256932,298995,367842,376590,387410,368624,342197,319895,388369,393797,242678,240925,249591,229909,206558,237018,279122,266859,175888,198487,199904,194568,162011,
负债合计(万元),3931424,3707783,3536208,3584552,3453632,3301818,3231360,3324622,3243511,3122953,2955983,2981105,2799245,2791239,2106426,2224825,2282853,2409544,2325937,2434499,2309727,2231862,2166511,1702253,1491133,1367361,1116368,
实收资本(或股本)(万元),295907,295907,295907,295907,295907,266316,266316,266316,266316,266316,266316,266316,266316,266316,266316,266316,266316,266316,266316,266316,266316,266316,266316,266316,266316,230000,230000,
资本公积(万元),126910,84955,84974,84974,85774,17406,17406,17406,48161,48186,71120,105851,75252,76541,76811,103343,75649,75649,71508,,94390,,,,83345,,14601,
减:库存股(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
