报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2010-12-31,2010-09-30,2009-12-31,2008-12-31,2007-12-31,
应交税费(万元),30014,31222,70001,55539,54845,58178,57506,66181,59893,77880,76179,70132,74090,53557,60192,44356,35014,13939,200,-22222,-14871,-14732,-5161,-5325,4729,6224,12617,5927,15902,13261,16067,7201,14343,325,3421,3956,2794,
应付利息(万元),7066,13121,,,,,9978,,8759,14339,11900,,564,453,,1145,,,2325,3078,1091,468,1181,1253,238,,236,,,,236,,,,,0,,
应付股利(万元),126940,,,,,,144390,,,54000,57000,,,,,,,,,,,,,,,,,,,,,,,,,0,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
其他应付款(万元),,148041,,,174792,177535,150407,,128532,187649,142065,,169905,186752,190863,229513,182423,220509,225690,232797,152506,150468,153247,163368,207797,98970,189042,113593,151590,156481,302332,192642,76806,68388,46312,42716,36385,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
一年内到期的非流动负债(万元),287076,182156,233392,219402,274871,249315,289497,270492,281022,283374,289592,251633,173987,46776,86974,175766,301550,333970,375465,301765,177263,95463,137763,142328,54446,58046,58046,33200,100,24750,27620,24400,22000,,,0,,
其他流动负债(万元),,,,,,,,,,,,3533,102686,256281,303027,300982,,,,,,,,,,,,-5075,,,,,,500,,0,,
流动负债合计(万元),842284,615905,797261,748033,809063,745899,907621,811445,938231,1039821,1036211,983622,1049428,1044860,1128262,1233800,1196974,1232247,1197101,1237440,889209,708251,722792,719054,693347,486541,596542,572120,547838,536825,507390,609995,351969,279619,243867,212517,114946,
长期借款(万元),267100,173900,198540,239040,249640,201340,186158,205628,291197,279647,319972,341572,372977,507267,447654,366822,348818,315818,326712,403612,493936,594836,579630,494150,282000,273000,273000,341180,374330,352130,351930,302200,308000,271000,269000,140000,83000,
应付债券(万元),4429,307615,307562,307516,321057,343017,342763,253158,279485,279425,279369,278849,198249,98693,99000,98900,90836,60925,60588,58858,92792,91024,83318,75869,81626,114153,112320,69547,69447,42187,38862,39400,,,,0,,
