报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,2008-12-31,2008-06-30,2007-12-31,
应付职工薪酬(万元),15810,9795,19643,16575,6989,6977,16124,7762,20906,7130,5610,22544,14035,11962,11016,9381,5667,9896,6838,5122,6947,5358,3879,5101,
应交税费(万元),10783,6926,7646,5503,2906,5737,8406,5017,10767,6950,10668,21857,15460,10000,10582,8671,7906,9750,2207,7684,8105,12803,948,41269,
应付利息(万元),,,,4883,10161,8376,6631,3555,15818,20497,12491,23916,4289,759,201,73,,96,,86,,41,24,167,
应付股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),914380,967389,1038127,637285,653485,697644,705223,828878,935824,930202,1152539,1433795,893769,484482,531732,548134,630086,741200,841157,1058366,596838,501861,501104,1005995,
代理承销证券款(万元),96,137,176,1988,294,6745,95,173,11,212,3303,579,266,4807,104,368,335,394,39,480,3157,350,183,1840,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,
流动负债合计(万元),,,,,,,,,,,,,,,,,,,,,,,,,
长期借款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
应付债券(万元),255783,183270,184831,178837,249448,249392,169718,70000,420000,536031,536031,557296,70000,,,,37,37,37,37,37,37,,37,
长期应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,
