报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),15752,24996,21795,20994,14448,14822,10982,25044,24357,58340,137733,23427,8490,6227,3507,8150,4821,2995,1019,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,
拆出资金(万元),,,,,,,,,,,,,,,,,,,,
交易性金融资产(万元),,,,,,,,,,,,,,,,,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,
应收票据(万元),32870,34898,44182,34964,34007,32549,41758,40628,42842,36407,15216,15677,12422,14811,18682,14216,8843,5895,3924,
应收账款(万元),59055,67029,63353,73191,64662,51474,41762,36094,57211,46664,37664,35393,35421,36355,20982,15393,15460,15216,13938,
预付款项(万元),1538,1040,924,641,1404,1211,1168,611,1199,1218,1164,511,578,507,517,699,646,433,435,
应收保费(万元),,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,
应收利息(万元),13,19,49,65,,83,138,95,,,,,,,,,,,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,825,,873,1417,1720,1259,1343,1707,1458,1323,851,486,544,476,441,369,345,514,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,
存货(万元),29225,28575,29023,27143,28185,30092,29774,30962,27085,21958,19063,15279,13234,12494,11630,11109,10769,10307,10146,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),13967,15625,17901,19984,24936,27897,36082,31944,35000,33200,,659,485,424,395,270,270,223,158,
流动资产合计(万元),153370,173006,178204,177856,169060,159848,162924,166720,189401,199244,212163,91797,71117,71363,56189,50279,41177,35413,30134,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),120,120,120,,,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),456,,,,,,,,,,,,,,733,762,791,850,908,
固定资产原值(万元),,183682,,157685,,119364,,100369,,78385,,74766,,43375,31375,29236,,24128,19690,
累计折旧(万元),,38578,,32359,,26650,,22505,,19524,,16840,,13380,10482,9432,,6523,4685,
固定资产净值(万元),,145104,,125326,,92713,,77864,,58860,,57926,,29995,20893,19804,,17605,15005,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,,
固定资产(万元),,145104,,125326,107868,92713,80388,77864,60338,58860,57236,57926,35619,29995,20893,19804,20010,17605,15005,
在建工程(万元),,33285,,24486,33155,43685,45664,38974,44669,29295,13243,5323,11989,8058,307,,,,,
工程物资(万元),,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,
无形资产(万元),16750,16877,16516,16803,14417,14310,11320,11400,11412,11225,11275,11259,4876,4900,1018,1045,1006,919,940,
开发支出(万元),,,,,,,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,,,,,,,
长期待摊费用(万元),1263,847,691,544,463,430,520,597,343,404,433,504,187,220,114,38,26,9,12,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),2820,3012,2489,2230,1604,1260,830,729,839,949,772,650,512,475,292,207,202,167,194,
其他非流动资产(万元),2141,1518,8667,6525,4049,5130,12580,6695,4383,5952,9467,4862,2429,2766,2508,1704,887,182,597,
非流动资产合计(万元),209574,200764,188947,175913,161557,157529,151302,136258,121985,106686,92427,80524,55612,46415,25865,23559,22922,19732,17657,
资产总计(万元),362944,373770,367151,353768,330616,317378,314225,302977,311386,305930,304590,172321,126728,117777,82054,73838,64099,55145,47791,
短期借款(万元),25000,22000,20000,20000,16000,13000,10000,1400,6400,16400,23426,22026,16026,12700,8000,8600,7600,7985,12337,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,,
应付票据(万元),23405,31148,,33302,,19888,21643,27341,25167,23122,16305,12354,11099,10907,8202,5890,5668,4990,2053,
应付账款(万元),46264,60366,,40167,,33655,28571,24111,33247,29724,25678,28478,17223,17438,9063,7675,8028,8391,8515,
预收账款(万元),797,151,61,36,21,17,13,131,280,316,263,162,559,582,256,106,32,25,93,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),2408,2262,2550,2522,2375,2275,2264,1770,2342,2257,2730,2264,1952,2371,1658,983,1306,1109,868,
应交税费(万元),6853,6270,8411,10026,5745,4852,5785,7764,3775,4939,4979,4630,4973,5256,2704,2106,2024,1831,1597,
应付利息(万元),,,,,,,,,,,,,,,,,,,,
应付股利(万元),,,,,,,,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,7259,,7821,8644,9350,8159,6560,6214,3528,3647,1161,200,565,364,133,189,164,82,
预提费用(万元),,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,51,126,200,305,425,518,615,669,780,1002,793,814,781,195,,
其他流动负债(万元),,,,,,,,,,,,,,,,,,,,
流动负债合计(万元),111268,129457,125137,113874,94389,83163,76634,69383,77850,80804,77642,71744,52810,50821,31041,26308,25628,24690,25544,
长期借款(万元),,,,,,,,,46,116,185,305,635,972,415,821,1068,103,624,
应付债券(万元),,,,,,,,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,,,,
长期递延收益(万元),3610,3375,2561,2626,2750,2797,2824,1052,771,521,539,557,594,631,693,,731,,,
递延所得税负债(万元),,,,,,,,,,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,,720,,,,
非流动负债合计(万元),3610,3375,2561,2626,2750,2797,2824,1052,818,636,724,863,1229,1603,1108,1540,1799,103,624,
负债合计(万元),114877,132831,127698,116501,97138,85959,79458,70435,78667,81440,78366,72607,54040,52424,32149,27848,27427,24793,26169,
实收资本(或股本)(万元),21000,21000,21000,21000,21000,21000,14000,14000,14000,14000,14000,10500,10500,10500,10500,10500,9700,9700,9000,
资本公积(万元),135199,135199,135199,135199,135199,135199,142199,142199,142199,141615,141615,22797,16317,16317,16317,16317,9197,9011,6102,
减:库存股(万元),,,,,,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,,,,
盈余公积(万元),5790,5790,5790,5790,5297,5297,5297,5297,4340,4340,4340,4340,2489,2489,1399,836,836,510,156,
一般风险准备(万元),,,,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,,
未分配利润(万元),78001,71369,69808,67544,64186,62041,66235,64007,65148,57829,59556,55363,43383,36047,21688,18337,16939,11131,6364,
