报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2013-09-30,2013-06-30,2012-12-31,
货币资金(万元),776700,1005574,1206280,726176,687085,762549,722141,863709,832376,882907,940462,1209042,1279707,1270746,2354157,868242,712411,602035,453317,474331,454148,536742,
结算备付金(万元),263017,186585,215555,234035,203059,222301,265027,235022,202090,230088,280994,309696,215539,445562,326264,262087,117549,94108,110484,87013,101874,66232,
拆出资金(万元),,,,,,,,4000,,,,,,,,,,,,,,,
交易性金融资产(万元),1908898,1549386,1612976,1393176,1392320,1204472,1134734,762250,757547,759154,699384,803710,704280,504513,555666,409928,389253,275527,343899,282935,275850,339954,
衍生金融资产(万元),5222,5692,6236,6299,10878,8585,5994,5994,,,4,,,,,,,,,,,,
应收票据(万元),,,,,,,,,,,,,,,,,,,,,,,
应收账款(万元),16311,21808,22047,9324,7873,12613,15032,10046,6095,5135,5262,4350,10102,2759,7651,1741,1573,2697,1829,,,,
预付款项(万元),,,,,,,,,,,,,,,,,,,,,,,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,,55023,51096,53000,44908,44784,43156,43880,39735,42499,25776,24891,17400,16696,10817,8076,12960,9471,9539,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,,,,,,,,,,,,,,,,,,,,,,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),35543,34933,36709,28271,32423,33611,31478,26083,35180,34516,43171,49008,40922,42291,79399,72740,48795,30760,41299,42684,35553,27274,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),348499,557739,654526,891657,1162609,1387143,1015333,920702,972768,1161242,929521,591170,708741,682669,276254,288971,207887,129316,79309,62889,12779,49835,
存货(万元),,,,,,,,,,,,,,,,,,,,,,,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,
流动资产合计(万元),,,,,,,,,,,,,,,,,,,,,,,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,294707,309026,308955,263242,258194,274680,244360,61328,75124,100415,74192,42977,20075,14631,15010,
持有至到期投资(万元),89983,98687,73465,69389,53492,63123,,,,,,,,,,,,,,,5754,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,,
