报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),4963056,5267291,4459805,6628884,5195522,6128089,5254501,5602615,5028071,5181757,4551445,5313783,5578876,4580561,4024606,
结算备付金(万元),,,,,,,,,,,,,,,,
拆出资金(万元),618750,190399,121578,315007,421223,240665,250856,342107,506591,454035,554559,457974,61476,47438,55152,
交易性金融资产(万元),5797532,5419266,7087292,205016,49903,304758,,185629,136814,77842,124810,110480,190200,84605,2000,
衍生金融资产(万元),,,,,,,,,,,,,,,,
应收票据(万元),,,,,,,,,,,,,,,,
应收账款(万元),,,,,,,,,,,,,,,,
预付款项(万元),,,,,,,,,,,,,,,,
应收保费(万元),,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,
应收利息(万元),,,,277498,261857,258065,260188,241930,220750,200826,174675,107198,110352,96829,85935,
应收股利(万元),,,,,,,,,,,,,,,,
其他应收款(万元),,,,,,,,,,,,,,,,
应收出口退税(万元),,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,
买入返售金融资产(万元),741845,1953303,376174,259310,322561,179975,1984534,3899309,4230558,2323084,1178639,342906,1338443,2351545,1563910,
存货(万元),,,,,,,,,,,,,,,,
待摊费用(万元),,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,
其他流动资产(万元),,,,,,,,,,,,,,,,
流动资产合计(万元),,,,,,,,,,,,,,,,
发放贷款及垫款(万元),21497930,20748264,19133410,17906646,16711676,15671457,14881712,14358867,14088150,13915196,13181172,12935204,12114392,10792226,9179973,
可供出售金融资产(万元),,,,5855382,7892073,5162325,4725922,3671103,4876842,3480699,4006203,1554684,845809,742100,548556,
持有至到期投资(万元),17246731,15573698,14213231,9978915,9793927,10703565,10076516,8451386,6237707,5889613,4521839,2925137,2841347,2469901,2236917,
长期应收款(万元),,,,,,,,,,,,,,,,
长期股权投资(万元),79879,78063,76325,74636,76149,69668,67733,65079,62723,60420,56773,49100,42776,35937,32685,
其他长期投资(万元),,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,
固定资产原值(万元),,224112,,222859,,219345,,216052,213510,213433,213451,205076,199263,181600,164728,
累计折旧(万元),,125228,,120287,,117746,,111728,110995,107788,102190,92772,78043,65044,52648,
固定资产净值(万元),,98884,,102572,,101600,,104323,102515,105644,111261,112305,121220,116557,112080,
固定资产减值准备(万元),,,,,,,,,,,,,,,,
固定资产(万元),94116,98884,97080,102572,99992,101600,102360,104323,102515,105644,111261,112305,121220,116557,112080,
在建工程(万元),10620,10620,,,5,,,,,,,6151,5918,4977,3281,
工程物资(万元),,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,
无形资产(万元),3785,3960,4135,4310,4486,4661,3397,3542,3695,3842,4151,12468,13290,14126,14768,
开发支出(万元),,,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,,,
长期待摊费用(万元),,,,,,,,,,,,,,,,
股权分置流通权(万元),,,,,,,,,,,,,,,,
