报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-03-31,2012-12-31,2011-12-31,2010-12-31,
长期待摊费用(万元),151147,165580,166231,173466,191057,192277,191811,193676,193608,194039,197557,169133,85231,87466,89759,92094,93063,94410,45205,47234,50104,51642,53214,54163,,,62257,,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),178903,180281,175589,177487,151489,155560,153365,153296,140949,140145,137454,166463,16577,15588,16322,13386,15410,13511,10971,10007,11165,9069,9454,9235,,,7389,,
其他非流动资产(万元),632213,615411,647180,624493,678368,679838,779741,799217,765137,774959,779876,701538,552967,604028,597166,586372,617993,627328,1026703,339769,317332,330428,319868,323934,,,189015,,
非流动资产合计(万元),32668057,31806286,31541196,31316775,30877248,30587664,30375009,30134445,29787345,29370298,29021230,24153873,19739892,19441026,19064320,18822662,18527154,18110702,12319803,11476864,11140157,10955020,10752142,10571360,,,8710375,,
资产总计(万元),39627343,36974827,36973156,36855567,36428567,36139048,36099628,35761537,35061277,34501797,34050019,28527771,22153488,22085828,21770889,21501247,20931974,20836787,15379331,15686505,13184114,13165266,12910734,12743955,11520886,12197591,11336901,9279763,
短期借款(万元),1749926,1845486,1384713,1629624,1349497,1340270,1598560,1958282,2237823,2188798,2141137,1702133,330766,290934,409174,569830,446842,610145,251738,414858,513599,596099,979217,1075514,,,959520,,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,,,106,358,246,,,,356,,
衍生金融负债(万元),823,346,4005,272,2086,2884,4859,2993,388,2248,6757,8414,7443,8069,13335,10151,2251,2268,6466,2353,,,,,,,,,
应付票据(万元),178447,122478,,226016,,,67981,99726,30429,55155,76214,75069,205756,137155,60000,148460,117403,89903,48705,48705,,,,,,,,,
应付账款(万元),2216514,1513073,,1598690,,,1473354,1634729,1440214,1478096,1506509,1380733,394965,435663,485829,584531,356149,416477,399524,508600,333424,445648,921816,958502,,,741310,,
预收账款(万元),,,200,206,,,536171,510419,424075,420658,321355,356593,5905,6211,3152,3064,6246,5772,11370,4447,14021,3338,9367,26409,,,6391,,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),8883,10454,5740,4262,9757,10365,6629,3701,7588,8440,6133,5044,7816,9698,6465,3387,10508,9887,5853,3120,8916,10464,5175,9913,,,6454,,
应交税费(万元),153468,99311,139467,143129,111353,82262,89611,117339,102964,84496,118598,90935,78844,59387,93163,100313,76494,54135,76925,73478,65762,45797,69000,52187,,,48607,,
应付利息(万元),,,,62916,,,68722,59709,91513,79911,88573,53252,71273,61442,70681,50044,73536,73379,50327,40760,54172,60805,71739,51763,,,65448,,
应付股利(万元),68413,,,96890,,,229234,201959,102351,364877,248260,173471,19093,234272,124561,124928,14037,49510,469148,468913,208,5385,54781,109277,,,1381067,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,,,290958,374735,733270,161192,242766,543929,505543,703183,772412,97548,66305,41973,103846,82780,60455,43349,124922,100557,302375,717955,136879,111691,183221,697646,757662,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),2201170,2423284,1790639,1829511,1126443,1221187,1199262,1107541,1507655,1699181,1605052,1785651,555939,674822,784676,726639,661465,851016,478221,663670,225936,228774,228972,227322,,,119677,,
其他流动负债(万元),50062,33511,77749,96455,92267,130434,122128,122169,120102,114439,58074,109015,,100000,100000,100000,100000,,,,,,,,,,40,,
流动负债合计(万元),7179773,6531045,5675310,6062509,4819090,5209855,5557704,6061333,6609034,7001842,6879845,6512791,1775348,2083958,2193007,2525194,1947711,2222946,1841626,2353827,1316702,1699042,3058269,2647766,,,4026515,,
长期借款(万元),17361130,17444056,17992591,17963995,18984687,18912364,18635480,18351248,17560378,17037828,16733734,12747202,10400877,10367534,9967619,9806530,9672373,9810962,5874932,5874642,5998041,5756169,5414150,5222133,,,3321163,,
应付债券(万元),898589,748803,998545,848804,748988,729151,599643,699587,749531,749471,799413,799357,1199272,1219216,1209161,1109107,1059057,1059003,848951,848901,848851,848801,848752,848704,,,848263,,
长期应付款(万元),,,,,,,,,,,,,,,,,199435,199265,294456,294311,550935,645841,550059,549628,,,580790,,
专项应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计非流动负债(万元),471175,413786,404869,400153,357496,336952,321016,324487,313497,310017,305702,246743,197571,193672,188233,175573,171906,169169,154586,152600,150356,147772,145179,128649,,,113528,,
