报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
流动负债合计(万元),152014,157842,156042,140739,111659,102423,97880,109464,109065,113099,110166,119776,116238,97906,81052,65420,56066,
长期借款(万元),,,,,,,,,,,,,,5394,9090,11100,8733,
应付债券(万元),,,,,,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,,
长期递延收益(万元),,,,,,,,,,,,,,,,,,
递延所得税负债(万元),4,4,4,4,6,6,6,6,10,10,10,10,12,15,19,22,21,
其他非流动负债(万元),,,,,,,,,,,,,,,,,,
非流动负债合计(万元),4,4,4,4,6,6,6,6,10,10,10,10,12,5409,9109,11122,8754,
负债合计(万元),152018,157846,156046,140743,111665,102429,97885,109470,109074,113109,110175,119786,116251,103314,90161,76541,64820,
实收资本(或股本)(万元),42106,42106,42106,42106,42106,42106,42106,42106,42106,42106,36426,36426,36426,36426,21427,21211,21211,
资本公积(万元),68632,68577,68513,68461,68495,68428,68428,68428,68428,68428,1861,1861,1861,1861,16860,15248,15134,
减:库存股(万元),,,,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,,
盈余公积(万元),17343,17343,17343,17343,16362,16362,16362,16362,14815,14815,14815,14815,12292,12292,9883,8306,7083,
一般风险准备(万元),,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,
未分配利润(万元),124684,119881,123970,119800,116309,112459,124480,120897,115345,110526,108474,102520,91740,88814,74532,66819,55840,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),253561,248233,251778,247852,243554,238969,250269,247334,241271,236198,162145,156193,142621,139610,122462,111375,99136,
少数股东权益(万元),30,41,59,64,7,21,60,75,111,130,149,,,,,1428,1643,
所有者权益(或股东权益)合计(万元),253591,248274,251837,247915,243562,238990,250329,247409,241382,236328,162294,156193,142621,139610,122462,112803,100779,
负债和所有者权益(或股东权益)总计(万元),405609,406120,407883,388658,355227,341419,348214,356879,350456,349437,272470,275979,258871,242925,212623,189344,165599,		
