报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),2367120,2775714,2456584,2614305,2510155,2640490,2424878,2427197,2360044,2336045,2094581,2405881,2366971,2078343,2395306,2145023,2261389,2581592,2264395,,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),20053,41335,42180,100590,141913,146166,121745,144547,136809,115681,117629,144055,109681,114920,126430,30534,95428,46530,21339,,
交易性金融资产(万元),1828840,1537910,1356583,365351,,,,,38,102582,8467,162741,60757,441756,93268,44881,33693,32297,192712,593680,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,
应收票据(万元),,,,,,,,,,,,,,,,,,,,,
应收账款(万元),,,,,,,,,,,,,,,,,,,,,
预付款项(万元),,,,,,,,,,,,,,,,,,,,,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,96890,101893,80715,89677,76769,80881,74493,94327,82722,72219,74383,63235,59947,55677,49199,47838,,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,,,,,,,,,,,,,,,,,,,,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),43935,463952,198817,79460,232060,924963,600441,1521392,1359965,1264712,646331,603586,1119159,139769,1433288,100000,51000,1014456,1012520,,
存货(万元),,,,,,,,,,,,,,,,,,,,,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),,,,,,,,,,,,,,,,,,,,,
流动资产合计(万元),,,,,,,,,,,,,,,,,,,,,
发放贷款及垫款(万元),14357782,13967401,13373596,12924903,12170466,11745607,11420833,10945748,10349011,10348794,9856387,9501586,8688090,8559553,8353583,7976466,7583897,7047575,6008629,,
可供出售金融资产(万元),,,,1994908,2249573,2516735,2069535,2986079,3302779,3318042,4799645,4226109,3512719,3969493,3777011,1483235,1780083,1117125,717164,399268,
