报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2008-12-31,2007-12-31,
货币资金(万元),1143998,1215029,1225537,1123094,1042741,1035533,959197,1019908,929403,975487,861601,907372,1020871,927345,1159934,1149033,1022028,1009163,299665,289303,
结算备付金(万元),,,,,,,,,,,,,,,,,,,,,
拆出资金(万元),61735,78039,84954,42552,26141,85354,82566,108819,72544,100228,99645,111838,52189,26444,,,,32450,,,
交易性金融资产(万元),176678,455847,604007,102955,160109,181260,17422,120163,290348,58589,110464,14670,94591,49837,75357,18977,19915,,,,
衍生金融资产(万元),,,,,,,,,,,,,,,,,,,,,
应收票据(万元),,,,,,,,,,,,,,,,,,,,,
应收账款(万元),,,,,,,,,,,,,,,,,,,,,
预付款项(万元),,,,,,,,,,,,,,,,,,,,,
应收保费(万元),,,,,,,,,,,,,,,,,,,,,
应收分保账款(万元),,,,,,,,,,,,,,,,,,,,,
应收分保合同准备金(万元),,,,,,,,,,,,,,,,,,,,,
应收利息(万元),,,,55436,48374,49077,54365,49451,49258,54216,59207,47417,45608,54273,42853,35806,35851,33156,20257,17916,
应收股利(万元),,,,,,,,,,,,,,,,,,,,,
其他应收款(万元),,,,,,,,,,,,,,,,,,,,,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,89019,30007,,,,104789,205600,,154335,,,,,67338,83755,414760,723033,,59310,
存货(万元),,,,,,,,,,,,,,,,,,,,,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),,,,,,,,,,,,,,,,,,,,,
流动资产合计(万元),,,,,,,,,,,,,,,,,,,,,
发放贷款及垫款(万元),6676402,6385021,6134265,5817955,5547563,5197473,4930228,4749200,4605981,4576128,4444971,4275424,3981092,3850400,3708120,3510283,3043324,2671684,1297630,1107754,
可供出售金融资产(万元),,,,2376110,2637504,2285491,2359090,2642773,2343820,2533064,2153163,2330029,2334583,2163449,564867,358411,129284,35096,22439,110546,
持有至到期投资(万元),2013515,1855473,1742286,803931,393921,297492,275922,275934,283954,317661,322663,323563,576937,495430,791738,772442,1178960,1106381,648693,511603,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),104420,102608,101392,99442,96265,94877,92802,90852,88734,81001,78134,78194,72983,70142,61597,51892,53679,47637,19392,60,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,124723,,123568,,122555,,121746,,98858,,95703,91539,90184,81336,,,,,,
累计折旧(万元),,65823,,63071,,61731,,59184,,57106,,54346,51649,48622,41183,,,,,,
固定资产净值(万元),,58900,,60497,,60824,,62562,,41752,,41357,39891,41561,40153,,,,,,
