报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
递延所得税资产(万元),17510,18471,19588,19930,19347,19441,19519,19572,15445,15512,12548,12630,7391,7391,7709,6638,7869,420,443,373,373,20,20,94,9,13,23,41,53,
其他非流动资产(万元),288372,321475,239137,8548,,1121,,164761,,,1121,1121,,,,,,,,,,,4441,2645,1608,136145,40573,38649,1442,
非流动资产合计(万元),4515612,4286686,3587713,3568464,3306825,3165923,3118193,3275382,2884414,2823658,2730880,2695914,2469346,2425252,2369448,2081034,2169148,1588543,1627908,1417397,1367594,1324517,1178861,1128877,1087978,946445,833811,504821,338329,
资产总计(万元),5349761,5134571,4703404,4596007,4226221,4072372,4043330,3916083,3737338,3648456,3593686,3428801,3220825,3207812,2937424,2779567,2692351,2322557,2161036,2019987,1741399,1596339,1526261,1460864,1405914,1219251,1171424,578688,406667,
短期借款(万元),143806,180569,206886,166516,119915,176735,138055,127225,151577,148100,205300,181400,193800,181300,172550,119050,244031,92800,172994,128600,97800,61857,46000,40000,31642,52142,66500,63100,28100,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,36,,,,,,,,49890,49890,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,
应付票据(万元),5773,5007,5337,5899,8389,8296,8180,,3000,8000,9664,12664,17100,12100,,6876,,12974,,4200,,,,,,,20892,37991,,
应付账款(万元),13265,10109,336017,2150,291463,230871,226854,,169671,162651,156332,44877,107145,137078,46488,112309,55336,70438,43725,63763,22370,19656,52110,65471,55773,40448,49768,19034,10147,
预收账款(万元),,,59720,,55449,,53152,,46407,42419,68072,77843,27717,22467,24797,16867,,13723,,13050,14429,,11489,7206,9942,3199,6761,4437,3726,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),7123,7004,2116,10214,4343,4538,1813,10818,7863,8117,8089,9332,6017,5511,6410,6506,,2377,,4464,3818,,2463,1216,2070,1013,1827,1591,1072,
应交税费(万元),3988,9757,21768,15570,4382,9444,19286,11004,5179,6639,12334,8693,2636,1481,3569,2313,2067,2297,5246,2437,5203,755,2710,3084,2285,2398,3611,2193,1369,
应付利息(万元),12047,11982,11868,,9428,,7727,,11493,11228,7241,4607,14352,8708,7418,11729,,9950,,8507,7294,,7321,7421,6263,1205,4833,84,64,
应付股利(万元),11715,26421,4834,,30208,,3195,,2637,42506,16,16,2769,30793,,6554,,7192,,23215,1121,,271,4500,958,11612,13382,8550,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,480810,17995,,12649,,26234,,108371,98418,94731,206388,90037,90196,185644,71190,154044,42805,131089,39251,81544,112557,33498,27907,39935,25963,24592,14540,30528,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),247665,195310,96838,236819,145776,208527,117101,198192,403816,431610,365927,491089,224997,212589,350903,70523,,37138,,32668,38097,,28878,23220,31966,32027,27876,24800,9600,
其他流动负债(万元),50000,50000,154733,154733,154733,104733,104506,150000,4506,4506,4506,4506,4506,4860,4524,4012,,4012,,4012,4012,,23972,4012,4012,,,,,
流动负债合计(万元),1074507,1023196,918111,1082293,836736,885496,706104,860245,914519,964192,932211,1041415,691074,707082,802302,427929,455479,295743,353090,324167,275690,194825,208713,184038,184846,219897,269932,176320,84606,
长期借款(万元),2207136,1982469,1846896,1663851,1668928,1504996,1628027,1498318,1446825,1387550,1309046,1181749,1423023,1379639,1081213,1218140,1338581,913707,929606,666017,555180,711321,456313,451265,413037,415498,357626,214581,182900,
应付债券(万元),278500,328500,228500,228500,200000,170000,170000,170000,100000,50000,109000,50000,100000,100000,100000,199932,,199770,,199495,199279,,198846,198630,198413,,,,,
长期应付款(万元),,18869,,,,,,,78573,52938,86920,104747,,,,,8240,,2101,,,471,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,120,,120,,120,120,,120,120,120,,,,,
预计非流动负债(万元),4733,4733,,,,,,4506,,,,,,,,,,,,,,,,,,,,,,
长期递延收益(万元),6012,6107,6089,6137,5917,4403,4783,5256,529,349,349,349,197,,,60,,,,,,,,,,,,,,
递延所得税负债(万元),4938,4628,4595,4572,4535,2847,2540,2538,,,,,,,,,,,,,,,,,,,,,,
其他非流动负债(万元),,,138426,348,364,374,384,,403,412,422,431,493,506,495,408,,434,,461,474,,,,,,,,,
非流动负债合计(万元),2629231,2471926,2232978,2038610,1998097,1801209,1920522,1816183,1626330,1491249,1505737,1337276,1523713,1480144,1181708,1418660,1346820,1114031,931706,866092,755052,711792,655279,650015,611570,415498,357626,214581,182900,
负债合计(万元),3703738,3495122,3151089,3120903,2834833,2686704,2626626,2676428,2540849,2455441,2437948,2378691,2214788,2187226,1984010,1846589,1802299,1409775,1284796,1190259,1030742,906617,863992,834053,796416,635395,627558,390900,267506,
实收资本(或股本)(万元),384991,384991,371516,371516,371516,371516,371516,371516,371516,371516,371516,371516,371516,371516,371516,371516,371516,371516,371516,371516,323844,323844,323844,323844,323844,323844,323844,,,
资本公积(万元),240015,239280,214620,214618,213617,213617,213617,213463,213669,213669,213669,213669,213636,213636,213636,213544,,213544,,213544,138289,,137974,137975,137971,137379,137379,125737,90490,
减:库存股(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专项储备(万元),,,0,,,,3,,,,,,,,,,369806,5,352924,4,,259414,,,,,,,,
盈余公积(万元),43106,41775,36197,36197,28435,28435,28435,28435,21072,21072,21072,21072,17435,21570,17435,16486,,13763,,9966,9966,,6178,4041,4041,1541,1541,140,894,
一般风险准备(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润(万元),497385,499284,464932,411202,382780,378690,397654,330808,309928,299872,316186,254255,223194,219780,187285,169071,,164190,11517,126597,124460,,88773,72063,54723,46142,18311,8498,8109,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),1315561,1315379,1237315,1183582,1146593,1142503,1161783,1003636,975093,965273,922586,860656,825954,826676,790016,770718,741322,763074,735957,721627,596558,583257,556769,537923,520579,508906,481075,134375,99494,
少数股东权益(万元),330462,324069,315000,291523,244795,243164,254920,236020,221396,227742,233152,189454,180083,193910,163399,162259,148730,149708,140282,108101,114099,106465,105500,88888,88919,74951,62791,53413,39668,
所有者权益(或股东权益)合计(万元),1646023,1639448,1552315,1475105,1391389,1385668,1416704,1239655,1196489,1193015,1155738,1050110,1006037,1020585,953414,932978,890052,912782,876239,829728,710657,689722,662269,626811,609498,583856,543866,187787,139162,
负债和所有者权益(或股东权益)总计(万元),5349761,5134571,4703404,4596007,4226221,4072372,4043330,3916083,3737338,3648456,3593686,3428801,3220825,3207812,2937424,2779567,2692351,2322557,2161036,2019987,1741399,1596339,1526261,1460864,1405914,1219251,1171424,578688,406667,		
