报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
递延所得税负债(万元),2671,4342,5403,2842,3941,3812,2449,2059,1810,1816,1457,1317,826,,,,
其他非流动负债(万元),2509,4575,4689,4842,3449,3671,4634,4645,4032,3665,5437,4441,3546,2978,673,364,
非流动负债合计(万元),184192,273277,95453,40775,30869,7483,7083,6704,5841,5481,6894,5757,4372,5104,673,364,
负债合计(万元),716103,736463,526305,512754,415627,332678,341775,380248,307763,242955,279343,255885,186419,262393,262923,178556,
实收资本(或股本)(万元),54767,54767,54767,54767,54767,54767,54767,54767,54767,49290,49290,49290,49982,50338,36474,21000,
资本公积(万元),191130,190996,189588,189534,189479,189424,189410,189410,189122,154068,153783,152199,159435,162834,29215,2483,
减:库存股(万元),,,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,
盈余公积(万元),24689,24689,24887,24689,21915,21915,22867,21915,21821,14877,14877,12837,8326,8326,4461,3132,
一般风险准备(万元),,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,
未分配利润(万元),-5396,27257,77847,77071,133412,133070,137998,121536,123824,124969,111582,98379,85266,87833,55578,30226,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),265983,297921,346513,344742,400924,399673,404866,387556,392265,345991,330729,312704,303008,309331,125727,56841,
少数股东权益(万元),-11882,-11370,9387,11454,15181,16279,19609,19367,17532,17398,20293,18284,12565,1383,608,,
所有者权益(或股东权益)合计(万元),254101,286551,355900,356196,416105,415952,424475,406923,409797,363389,351022,330988,315573,310714,126335,56841,
负债和所有者权益(或股东权益)总计(万元),970204,1023014,882205,868950,831732,748630,766250,787171,717560,606344,630364,586873,501993,573107,389258,235397,		
