报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
长期递延收益(万元),1786,1639,1759,1749,1840,1930,2021,2111,2207,2062,2224,2024,2028,1666,1436,
递延所得税负债(万元),,,,,,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,,
非流动负债合计(万元),6786,1639,11759,11749,11840,11930,6721,20411,41007,40862,36524,36724,2028,12866,13436,
负债合计(万元),287423,267454,259922,247825,203032,171949,176727,195658,194381,180891,196662,180358,143655,121356,157141,
实收资本(或股本)(万元),77200,77200,77200,77200,77200,77200,77200,67200,67200,67200,67200,67200,10200,10200,10200,
资本公积(万元),93483,93483,93483,93483,93483,93483,93483,63781,63781,63781,63781,63781,,1,1,
减:库存股(万元),,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,
盈余公积(万元),6344,6344,6344,6344,4099,4099,4099,4099,2095,2095,2095,,5094,5100,5100,
一般风险准备(万元),,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,
未分配利润(万元),55587,51128,49044,48224,35704,33304,30608,30293,20559,18156,12873,1978,130072,112021,93316,
拟分配现金股利(万元),,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),232614,228155,226071,225251,210485,208085,205389,165372,153634,151231,145949,132959,145367,127322,108616,
少数股东权益(万元),,,,,,,,,,,,,-50,187,176,
所有者权益(或股东权益)合计(万元),232614,228155,226071,225251,210485,208085,205389,165372,153634,151231,145949,132959,145317,127509,108792,
负债和所有者权益(或股东权益)总计(万元),520037,495609,485993,473076,413517,380034,382116,361030,348015,332122,342611,313317,288972,248865,265934,		
