报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
应付债券(万元),,,,,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,
长期递延收益(万元),3474,3680,3886,4097,4394,4611,4841,5092,5407,5637,5522,5781,6195,6353,7188,5955,
递延所得税负债(万元),,,,,,,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,,,
非流动负债合计(万元),11474,11680,3886,4097,4394,11611,19841,20092,12407,5637,10522,10781,30808,18915,39131,35415,
负债合计(万元),60193,60573,66923,72272,67888,55713,67910,69842,62769,72221,81498,80180,88103,108579,108949,91432,
实收资本(或股本)(万元),20374,20374,20937,21562,21562,21562,21562,20937,20937,20937,20937,15687,15687,15687,15687,13700,
资本公积(万元),121104,121104,128318,135064,132152,131640,130788,123790,123790,123790,123790,24592,24592,24592,24592,16535,
减:库存股(万元),6655,5715,7526,9525,7623,7623,,,,,,,,,,,
专项储备(万元),275,233,209,188,161,146,129,100,5149,,,,,,,,
盈余公积(万元),7118,7118,7118,7118,6312,6312,6312,6312,,5149,5149,5149,3671,2511,1382,500,
一般风险准备(万元),,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,
未分配利润(万元),70928,65973,63759,59754,59335,55353,60649,60350,58560,54260,48728,53542,39009,27165,18497,8794,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),213145,209088,212816,214160,211899,207390,219438,211489,208436,204136,198603,98970,82958,69954,60157,39529,
少数股东权益(万元),235,235,235,235,236,238,240,241,243,245,246,248,262,272,258,277,
所有者权益(或股东权益)合计(万元),213380,209323,213051,214395,212135,207628,219678,211730,208679,204381,198850,99218,83220,70226,60415,39806,
负债和所有者权益(或股东权益)总计(万元),273574,269895,279974,286667,280023,263341,287588,281571,271448,276602,280348,179398,171322,178805,169363,131238,		
