报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),316805,272814,300023,259152,224146,224345,302703,338960,330813,310432,414240,403681,381598,554380,510511,293267,146875,128772,84302,110484,117025,
应交税费(万元),34297,17606,28302,16495,3037,12196,22118,38767,22015,23652,12852,22103,38550,108073,106483,57749,4772,13022,,10348,5750,
应付利息(万元),,,,,222722,203449,217233,169332,114956,83650,161874,173171,125323,250821,188294,37650,25212,9675,,1029,530,
应付股利(万元),,,,,,,,,,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,,,,,,,,,,,,,,,,,,94198,,,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),7949580,8295904,8359383,5669527,5930247,6743510,6827452,6478713,6685008,7461368,8206815,9040421,10486536,11799221,19952245,7840751,4305941,3645128,4127316,3974563,3980168,
代理承销证券款(万元),,,60000,,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,,,,,,,,,,
流动负债合计(万元),,,,,,,,,,,,,,,,,,,,,,
长期借款(万元),,,,,,,,,,,,,,,,,,,,,,
应付债券(万元),7361080,7694924,8776252,7950142,7334451,7635174,7471695,6288050,5487645,4129357,4611238,4631238,4553394,4242270,4701685,1580000,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,,,,,,,
