报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,
拆入资金(万元),40556,300739,260166,200000,250000,330000,300000,320000,210000,205000,175000,155000,155000,10000,,20000,152700,152700,67700,54600,9700,,9900,,,,
交易性金融负债(万元),90704,128589,91782,101887,110679,117996,149026,109644,120846,198699,241577,307317,352887,469905,603863,545244,468672,11032,191213,,25444,,47750,,59457,,
衍生金融负债(万元),,,198,304,376,376,671,509,,,,,,,,,,14,151,,,,,,,,
应付票据(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
应付账款(万元),2743,2170,12139,813,6945,1841,4763,11040,9374,110,3188,6063,36935,17705,24199,31023,10793,34562,3223,7628,1363,,,,897,,
预收账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
卖出回购金融资产款(万元),892244,689382,1010337,837006,716580,686348,783145,570355,509444,546920,536080,346826,685639,553235,601554,705480,1016454,1243388,469800,622358,232449,,244540,,288067,445793,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),47611,39575,56375,47813,33388,28238,47764,47769,39182,36328,52943,54706,41746,36504,66824,73067,47245,43982,45983,20007,17224,,12577,,17923,10531,
应交税费(万元),3341,4040,6816,4281,4449,3614,6197,4013,6112,5133,7767,6914,7596,6647,13215,12543,14844,19653,21940,3639,5195,,3191,,4098,744,
应付利息(万元),,,,16605,20544,20631,16223,17369,18382,20095,16433,17955,14275,11971,18950,17032,22115,17595,6772,4496,2306,,1151,,991,621,
应付股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
