报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2015-03-31,2014-12-31,2013-12-31,
负债合计(万元),329095,310814,320185,327887,308888,302307,312914,321183,339640,365157,265090,259905,280893,248740,233759,235313,
实收资本(或股本)(万元),61800,61800,61800,61800,61800,61800,50000,50000,50000,50000,50000,50000,50000,42857,30000,29000,
资本公积(万元),314986,314986,314986,314986,314986,314986,227642,227642,227642,227642,227642,227642,227642,217827,137484,59614,
减:库存股(万元),,,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,
盈余公积(万元),6231,6231,6231,6231,3377,3377,3377,3377,1242,1242,946,583,56,9432,9432,8093,
一般风险准备(万元),,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,
未分配利润(万元),69881,64644,68714,63054,75176,64080,57143,46805,38080,27763,14642,-804,-6444,-3451,-5697,-15204,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),453098,447771,451831,446203,455475,444307,338143,327867,317072,306796,293301,277469,271235,266655,171205,81502,
少数股东权益(万元),45748,48071,46804,45712,48871,47437,46311,40086,33744,30332,29442,25479,21414,20445,19935,18691,
所有者权益(或股东权益)合计(万元),498846,495842,498634,491915,504346,491745,384454,367952,350816,337129,322742,302948,292649,287099,191140,100193,
负债和所有者权益(或股东权益)总计(万元),827941,806655,818819,819803,813234,794051,697368,689135,690456,702286,587833,562853,573542,535840,424900,335506,		
