报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,4000,2500,1000,,,,,
其他流动负债(万元),702,1012,759,955,717,775,885,872,10637,10715,10564,11116,,,,,,,
流动负债合计(万元),155648,163162,151963,171751,144657,117280,89162,110220,72529,62279,43046,81089,61774,51881,54855,42361,28872,32122,
长期借款(万元),8062,4608,2088,2088,,,,,,,,4997,6281,6759,3491,,,,
应付债券(万元),,,,,,,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,,,
长期递延收益(万元),2000,2000,1000,1000,1,2,3,4,5,6,7,8,10,12,16,20,,,
递延所得税负债(万元),,,,,,,8,15,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,,,100,,
非流动负债合计(万元),10062,6608,3088,3088,1,2,11,19,5,6,7,5005,6291,6771,3507,20,100,0,
负债合计(万元),165711,169770,155051,174839,144658,117282,89173,110239,72534,62285,43053,86094,68064,58652,58362,42381,28972,32122,
实收资本(或股本)(万元),48001,48001,48001,48001,48001,48001,40001,40001,40001,40001,40001,40001,33750,33750,33750,22500,22500,2275,
资本公积(万元),38800,38800,38800,38800,38800,38800,46801,46801,46801,46801,46801,46801,1601,1601,1601,1601,1601,11,
减:库存股(万元),,,,,,,,,,,,,,,,,,,
专项储备(万元),4849,5058,4710,4432,3652,3311,2997,2688,2030,1963,1840,1956,1597,1450,1175,763,295,,
盈余公积(万元),14391,14391,14391,14391,12149,12149,12149,12149,10143,10143,10143,10143,8063,8063,6315,3735,1364,2010,
一般风险准备(万元),,,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,
未分配利润(万元),94442,88215,83918,79891,75876,70250,69689,66523,62597,57431,62809,60489,50757,52005,36433,31246,12226,17316,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),200484,194465,189821,185515,178490,172518,171635,168162,161571,156339,161594,159389,95767,96868,79274,59845,37986,21612,
少数股东权益(万元),30,37,49,75,65,,,,,,,,,,,,,398,
所有者权益(或股东权益)合计(万元),200514,194502,189870,185590,178555,172518,171635,168162,161571,156339,161594,159389,95767,96868,79274,59845,37986,22011,
负债和所有者权益(或股东权益)总计(万元),366224,364272,344921,360429,323213,289799,260809,278400,234105,218623,204647,245484,163831,155521,137636,102226,66958,54133,		
