date,volume,open,high,low,close,ma5,ma10,ma20,ma30,pe,market_capital,chg,percent,turnoverrate,amount,volume_post,amount_post,timestamp
20180223,21085,9.6712,11.601,9.6712,11.601,,,,,28.6748,1996064000.0,3.5436,43.98,0.09,447449.8,,,1519315200000
20180226,14206,12.7622,12.7622,12.7622,12.7622,,,,,31.545,2195858000.0,1.1613,10.01,0.06,332562.46,,,1519574400000
20180227,24575,14.0379,14.0379,14.0379,14.0379,,,,,34.6982,2415350000.0,1.2762,10.0,0.1,632806.25,,,1519660800000
20180228,28199,15.4444,15.4444,15.4444,15.4444,,,,,38.1747,2657354000.0,1.4066,10.02,0.12,798877.67,,,1519747200000
20180301,510155,16.9872,16.9872,16.9872,16.9872,14.1665,,,,41.9881,2922808000.0,1.5429,9.99,2.16,15896429.8,,,1519833600000
20180302,1471927,18.6881,18.6881,18.6881,18.6881,15.584,,,,46.1924,3215464000.0,1.7005,10.01,6.23,50457657.56,,,1519920000000
20180305,15332235,19.5713,20.558,18.8353,20.558,17.1431,,,,50.8143,3537198000.0,1.8706,10.01,65.35,563416647.54,,,1520179200000
20180306,3780633,22.4334,22.6133,22.4334,22.6133,18.8582,,,,55.8944,3890824000.0,2.0558,10.0,16.11,156425471.33,,,1520265600000
20180307,16321576,22.6133,24.8757,20.3509,24.8757,20.7445,,,,61.4865,4280094000.0,2.2614,10.0,69.35,664656815.18,,,1520352000000
20180308,12147963,24.8757,27.3617,23.9871,27.3617,22.8194,18.493,,,67.6311,4707822000.0,2.4852,9.99,51.75,585764681.37,,,1520438400000
20180313,15828767,28.899,30.0984,27.6397,30.0984,25.1014,20.3427,,,74.3956,5178698000.0,2.7362,10.0,67.39,861380953.74,,,1520870400000
20180314,18276132,30.5127,32.6443,28.8936,30.3055,27.0509,22.097,,,74.9076,5214342000.0,0.2077,0.69,76.22,1021319351.51,,,1520956800000
20180315,14421516,27.5307,31.892,27.5307,30.2401,28.5763,23.7172,,,74.7459,5203086000.0,-0.0667,-0.22,60.42,774227393.94,,,1521043200000
20180316,15504313,30.8016,33.0041,29.5478,29.5532,29.5118,25.1281,,,73.0481,5084898000.0,-0.6864,-2.27,64.81,890859102.15,,,1521129600000
20180319,11862177,28.0813,30.1529,26.9801,28.4574,29.7309,26.2751,,,70.3396,4896360000.0,-1.0964,-3.71,49.7,615776474.58,,,1521388800000
20180320,12461510,27.6397,31.3032,27.3181,31.3032,29.9719,27.5367,,,77.3735,5385996000.0,2.8457,10.0,53.06,672081808.05,,,1521475200000
20180321,11927873,33.3312,34.4324,32.0991,32.9278,30.4963,28.7736,,,81.3891,5665520000.0,1.6246,5.19,47.41,741324364.92,,,1521561600000
20180322,17667335,33.2549,36.2205,32.4262,36.2205,31.6924,30.1344,,,89.528,6232072000.0,3.2928,10.0,75.3,1138240718.09,,,1521648000000
20180323,14703764,32.7642,35.7354,32.6007,32.6007,32.3019,30.9069,,,80.5806,5609240000.0,-3.6183,-9.99,62.08,916031800.95,,,1521734400000
20180326,11699865,30.5291,34.4978,29.3406,33.7019,33.3508,31.5409,25.0169,,83.3025,5798716000.0,1.1019,3.38,48.98,681815360.35,,,1521993600000
20180327,12835235,32.7533,35.4301,32.2027,33.0804,33.7063,31.8391,26.0909,,81.7664,5691784000.0,-0.6201,-1.84,53.96,799420177.31,,,1522080000000
20180328,15185163,31.5376,36.3895,31.5267,36.3895,34.3986,32.4475,27.2722,,89.9457,6261150000.0,3.3081,10.0,64.66,956514096.43,,,1522166400000
20180329,13150427,35.6536,37.3981,32.906,34.1925,33.993,32.8427,28.28,,84.5153,5883136000.0,-2.198,-6.04,54.89,848924345.68,,,1522252800000
20180330,9712897,34.5633,34.8631,33.1622,33.6365,34.2002,33.251,29.1896,,83.1408,5787460000.0,-0.5574,-1.63,39.94,604836991.52,,,1522339200000
20180402,10998022,33.6801,35.212,32.2681,33.7455,34.2089,33.7798,30.0275,,81.1424,5806220000.0,0.1076,0.32,45.95,677788365.96,,,1522598400000
20180403,11137281,32.4426,35.1357,32.1645,33.8327,34.3593,34.0328,30.7847,,81.3521,5821228000.0,0.0877,0.26,46.69,693911018.53,,,1522684800000
20180404,10744319,34.0617,34.8249,30.4745,31.3468,33.3508,33.8747,31.3242,,75.3746,5393500000.0,-2.4868,-7.35,44.97,643575723.39,,,1522771200000
20180409,6846669,30.5291,31.4831,29.7658,30.5454,32.6214,33.3072,31.7208,,73.4476,5255614000.0,-0.8025,-2.56,28.67,386254782.45,,,1523203200000
20180410,11641715,31.0143,33.5983,30.5999,33.5983,32.6137,33.4069,32.1569,,80.7885,5780894000.0,3.0516,9.99,49.59,689369344.32,,,1523289600000
20180411,15048929,34.8904,36.9565,33.8109,36.9565,33.2559,33.7324,32.6366,27.9221,88.8634,6358702000.0,3.3597,10.0,64.05,992973347.12,,,1523376000000
20180412,16111374,35.9807,40.342,34.3452,37.1691,33.9232,34.1413,32.9902,28.7743,89.3746,6395284000.0,0.2143,0.58,67.36,1127338251.41,,,1523462400000
20180413,10732206,35.5882,37.0655,33.4511,33.4566,34.3452,33.848,33.1477,29.4642,80.4476,5756506000.0,-3.7133,-9.99,45.12,683574364.63,,,1523548800000
20180416,5821940,32.2354,33.4239,31.6139,32.9114,34.8184,33.7199,33.2813,30.0933,79.1368,5662706000.0,-0.5453,-1.63,24.21,347944448.69,,,1523808000000
20180417,7172840,32.6879,33.3094,29.6186,29.8312,34.065,33.3394,33.2952,30.5728,71.7304,5132736000.0,-3.0805,-9.36,30.01,412044318.67,,,1523894400000
20180418,7365536,29.8422,32.4753,27.9232,31.5758,32.9888,33.1224,33.4511,31.0591,75.9252,5432896000.0,1.7451,5.85,30.9,405637850.45,,,1523980800000
20180419,6355022,30.6054,32.5789,30.2619,30.649,31.6848,32.804,33.4184,31.4578,73.6967,5273436000.0,-0.9284,-2.94,26.58,364157483.11,,,1524067200000
20180420,5697133,30.0439,31.1669,27.6179,28.1085,30.6152,32.4802,33.1774,31.7095,67.5881,4836328000.0,-2.5408,-8.29,23.93,306998227.21,,,1524153600000
20180423,3608255,28.3321,28.8391,27.5797,28.6373,29.7604,32.2894,32.7983,31.9103,68.8596,4927314000.0,0.5284,1.88,14.92,188105178.31,,,1524412800000
20180424,5267337,28.512,30.5236,28.4683,29.8258,29.7593,31.9121,32.6595,32.0753,71.7173,5131798000.0,1.1885,4.15,21.87,286859939.23,,,1524499200000
20180425,4885580,29.2588,29.7113,28.621,29.3406,29.3122,31.1505,32.4415,32.1413,70.5506,5048316000.0,-0.4862,-1.63,20.51,261389156.34,,,1524585600000
20180426,5560199,29.7113,30.4473,28.6319,28.6919,28.9208,30.3028,32.222,32.0944,68.9907,4936694000.0,-0.6484,-2.21,23.27,303322113.2,,,1524672000000
20180427,4419516,27.9123,28.7028,27.4107,27.4434,28.7878,29.7015,31.7747,31.999,65.9888,4721892000.0,-1.2481,-4.35,18.33,227078320.09,,,1524758400000
20180502,3523338,26.9201,27.667,25.9933,26.593,28.3789,29.0697,31.3948,31.8774,63.9439,4575564000.0,-0.8508,-3.1,14.61,172752219.04,,,1525190400000
20180503,3711405,26.6639,27.9559,26.6639,27.4816,27.9101,28.8347,31.087,31.8084,66.0806,4728458000.0,0.8882,3.34,15.51,185503355.59,,,1525276800000
20180504,3667689,27.3072,27.3072,25.9006,25.9442,27.2308,28.2715,30.697,31.7246,62.384,4463942000.0,-1.5362,-5.59,14.93,178803903.08,,,1525363200000
20180507,6107027,26.1078,28.5392,25.9497,28.5392,27.2003,28.0605,30.4323,31.6325,68.6237,4910430000.0,2.5945,10.0,25.97,311646123.04,,,1525622400000
20180508,6857281,29.526,29.6459,27.8578,28.3484,27.3813,28.0845,30.2824,31.4798,68.1649,4877600000.0,-0.1912,-0.67,28.53,358559896.44,,,1525708800000
20180509,4032461,27.885,28.4465,27.885,28.3484,27.7324,28.0557,30.1725,31.2174,68.1649,4877600000.0,0.0,0.0,16.54,208100504.32,,,1525795200000
20180510,4044099,28.512,29.1607,27.9177,28.174,27.8708,27.8905,29.9013,31.0698,67.7454,4847584000.0,-0.1758,-0.62,16.84,211442131.11,,,1525881600000
20180511,5906234,28.2939,29.0026,27.3181,28.85,28.452,27.8414,29.496,30.9081,69.3709,4963896000.0,0.6762,2.4,24.46,307429855.05,,,1525968000000
20180514,7641414,28.5665,30.7199,28.2394,29.4714,28.6384,27.9194,29.1111,30.7878,70.8652,5070828000.0,0.6203,2.15,31.74,413794238.33,,,1526227200000
20180515,5270015,28.9808,29.973,28.9535,29.8749,28.9437,28.1625,28.932,30.5707,71.8353,5140240000.0,0.4038,1.37,21.78,284911596.53,,,1526313600000
20180516,4105246,29.4387,29.6841,28.7082,28.73,29.0201,28.3762,28.7229,30.3886,69.0825,4943260000.0,-1.1442,-3.83,17.01,218893120.76,,,1526400000000
20180517,4822215,29.1662,30.3492,28.899,29.2752,29.2403,28.5556,28.6951,30.2432,70.3933,5037060000.0,0.5459,1.9,20.19,261529603.68,,,1526486400000
