date,volume,open,high,low,close,ma5,ma10,ma20,ma30,pe,market_capital,chg,percent,turnoverrate,amount,volume_post,amount_post,timestamp
20190531,40346,13.9,16.68,13.9,16.68,,,,,30.4513,2446455600.0,5.1,44.04,0.11,671998.0,,,1559232000000
20190603,18665,18.35,18.35,18.35,18.35,,,,,33.5001,2691394500.0,1.67,10.01,0.05,342502.0,,,1559491200000
20190604,21707,20.19,20.19,20.19,20.19,,,,,36.8592,2961267300.0,1.84,10.03,0.06,438264.0,,,1559577600000
20190605,60164,22.21,22.21,22.21,22.21,,,,,40.5469,3257540700.0,2.02,10.0,0.16,1336242.0,,,1559664000000
20190606,190985,24.43,24.43,24.43,24.43,20.372,,,,44.5998,3583148100.0,2.22,10.0,0.51,4665763.0,,,1559750400000
20190610,211005,26.87,26.87,26.87,26.87,22.41,,,,49.0543,3941022900.0,2.44,9.99,0.57,5669704.0,,,1560096000000
20190611,256112,29.56,29.56,29.56,29.56,24.652,,,,53.9652,4335565200.0,2.69,10.01,0.69,7570670.0,,,1560182400000
20190612,217531,32.52,32.52,32.52,32.52,27.118,,,,59.3691,4769708400.0,2.96,10.01,0.59,7074108.0,,,1560268800000
20190613,432656,35.77,35.77,35.77,35.77,29.83,,,,65.3023,5246385900.0,3.25,9.99,1.17,15476105.0,,,1560355200000
20190614,24496075,37.02,37.1,33.21,34.0,31.744,26.058,,,62.071,4986780000.0,-1.77,-4.95,66.18,846067073.0,,,1560441600000
20190617,14526043,32.02,33.18,31.4,32.19,32.808,27.609,,,58.7666,4721307300.0,-1.81,-5.32,38.92,469126423.0,,,1560700800000
20190618,15436742,33.01,34.14,32.08,32.7,33.436,29.044,,,59.6977,4796109000.0,0.51,1.58,41.56,511469230.0,,,1560787200000
20190619,18869012,33.37,35.38,32.1,34.86,33.904,30.511,,,63.641,5112916200.0,2.16,6.61,50.51,640346478.0,,,1560873600000
20190620,15092300,33.5,34.5,32.68,33.24,33.398,31.614,,,60.6835,4875310800.0,-1.62,-4.65,40.26,504424373.0,,,1560960000000
20190621,17380079,32.11,35.0,32.1,34.42,33.482,32.613,,,62.8377,5048381400.0,1.18,3.55,46.26,591800289.0,,,1561046400000
20190624,18425744,34.99,37.86,34.34,37.86,34.616,33.712,,,69.1178,5552926200.0,3.44,9.99,50.25,677117348.0,,,1561305600000
20190625,18093868,36.0,36.63,34.07,34.07,34.89,34.163,,,62.1988,4997046900.0,-3.79,-10.01,49.13,630632573.0,,,1561392000000
20190626,12890306,33.01,33.48,31.9,32.37,34.392,34.148,,,59.0952,4747707900.0,-1.7,-4.99,35.15,419684680.0,,,1561478400000
20190627,12483262,32.38,32.56,30.03,30.44,33.832,33.615,,,55.5718,4464634800.0,-1.93,-5.96,33.43,387308724.0,,,1561564800000
20190628,9284311,30.56,30.87,29.18,29.6,32.868,33.175,29.6165,,54.0383,4341432000.0,-0.84,-2.76,24.83,278530233.0,,,1561651200000
20190701,7339811,30.16,30.64,29.96,30.37,31.37,32.993,30.301,,56.4445,4454367900.0,0.77,2.6,19.54,222599331.0,,,1561910400000
20190702,9090307,30.28,30.7,29.3,30.54,30.664,32.777,30.9105,,56.7605,4479301800.0,0.17,0.56,23.79,273348431.0,,,1561996800000
20190703,6173185,30.27,30.27,29.03,29.07,30.004,32.198,31.3545,,54.0284,4263696900.0,-1.47,-4.81,16.83,182087759.0,,,1562083200000
20190704,6265998,29.25,29.35,28.1,28.6,29.636,31.734,31.674,,53.1549,4194762000.0,-0.47,-1.62,16.68,178955083.0,,,1562169600000
20190705,5158466,28.5,29.27,28.28,29.0,29.516,31.192,31.9025,,53.8983,4253430000.0,0.4,1.4,14.07,148804032.0,,,1562256000000
20190708,7499661,28.8,28.8,26.27,26.41,28.724,30.047,31.8795,,49.0846,3873554700.0,-2.59,-8.93,20.45,203946152.0,,,1562515200000
20190709,4627151,26.37,26.88,25.85,26.66,27.948,29.306,31.7345,,49.5493,3910222200.0,0.25,0.95,12.62,122527848.0,,,1562601600000
20190710,4648116,26.64,26.65,25.32,25.75,27.284,28.644,31.396,,47.858,3776752500.0,-0.91,-3.41,12.68,120993755.0,,,1562688000000
20190711,4980921,25.76,26.06,24.75,25.22,26.608,28.122,30.8685,,46.8729,3699017400.0,-0.53,-2.06,13.17,126813616.0,,,1562774400000
20190712,3591472,25.34,25.48,24.91,25.34,25.876,27.696,30.4355,28.9763,47.096,3716617800.0,0.12,0.48,9.79,90799066.0,,,1562860800000
20190715,4169438,25.01,25.75,24.41,25.51,25.696,27.21,30.1015,29.2707,47.4119,3741551700.0,0.17,0.67,11.03,104898503.0,,,1563120000000
20190716,6942110,25.65,26.98,25.52,26.47,25.658,26.803,29.79,29.5413,49.1961,3882354900.0,0.96,3.76,18.93,183064848.0,,,1563206400000
20190717,5076159,25.88,26.25,25.42,25.79,25.666,26.475,29.3365,29.728,47.9323,3782619300.0,-0.68,-2.57,13.84,130817468.0,,,1563292800000
