date,volume,open,high,low,close,ma5,ma10,ma20,ma30,pe,market_capital,chg,percent,turnoverrate,amount,volume_post,amount_post,timestamp
20180115,8464640,8.4183,8.4183,8.0344,8.1093,8.4258,8.5026,8.3822,8.329,17.6272,13648677339.74,-0.3089,-3.67,1.21,74403433.73,,,1515945600000
20180116,5774514,8.1374,8.1842,8.0624,8.128,8.3284,8.4707,8.3789,8.3221,17.6679,13680198534.52,0.0187,0.23,0.83,50056999.86,,,1516032000000
20180117,6831948,8.128,8.1842,7.9782,8.1561,8.2666,8.4314,8.3705,8.3265,17.729,13727480326.69,0.0284,0.35,0.98,58973323.9,,,1516118400000
20180118,3876202,8.1374,8.1748,8.0999,8.1561,8.1936,8.3855,8.3743,8.3262,17.729,13727480326.69,0.0,0.0,0.55,33710990.29,,,1516204800000
20180119,4700500,8.1186,8.2123,8.0905,8.1093,8.1318,8.3396,8.3663,8.3274,17.6272,13648677339.74,-0.0465,-0.57,0.66,40883533.96,,,1516291200000
20180122,5419404,8.128,8.2872,8.0531,8.231,8.1561,8.2909,8.3677,8.3299,17.8918,13853565105.81,0.1216,1.5,0.78,47352712.32,,,1516550400000
20180123,4425586,8.231,8.2872,8.1748,8.2778,8.1861,8.2572,8.3743,8.329,17.9936,13932368092.76,0.0469,0.57,0.63,38900412.07,,,1516636800000
20180124,5002620,8.2778,8.2872,8.1093,8.2404,8.2029,8.2348,8.3752,8.3281,17.9126,13869685535.2,-0.0372,-0.45,0.71,43920276.69,,,1516723200000
20180125,5203002,8.2591,8.3527,8.2029,8.2778,8.2273,8.2104,8.3696,8.3287,17.9941,13932729560.36,0.0371,0.45,0.75,46118516.55,,,1516809600000
20180126,7002873,8.2497,8.3621,8.2404,8.2497,8.2553,8.1936,8.3626,8.3271,17.933,13885446541.49,-0.0281,-0.34,1.0,62039391.4,,,1516896000000
20180129,11430357,8.2497,8.4838,8.1467,8.437,8.2965,8.2263,8.3644,8.3303,18.3401,14200666667.29,0.1873,2.27,1.62,101968802.56,,,1517155200000
