date,volume,open,high,low,close,ma5,ma10,ma20,ma30,pe,market_capital,chg,percent,turnoverrate,amount,volume_post,amount_post,timestamp
20180115,18061382,9.2861,9.3157,9.1085,9.2762,9.5269,9.7943,9.971,10.1664,24.9314,29406120354.4,-0.0102,-0.11,0.86,168384176.37,,,1515945600000
20180116,28266044,9.2072,9.2466,8.7039,8.8618,9.3137,9.6976,9.9137,10.1108,23.8174,28092229870.48,-0.4147,-4.47,1.39,255798005.2,,,1516032000000
20180117,31727028,8.8716,9.217,8.2993,9.0887,9.2328,9.592,9.8476,10.0746,24.4274,28811741325.96,0.2269,2.56,1.56,281194160.82,,,1516118400000
20180118,11297863,8.9802,9.2368,8.9309,8.9999,9.1025,9.4716,9.7889,10.0351,24.1887,28530193365.12,-0.0891,-0.98,0.55,104117081.96,,,1516204800000
20180119,8589809,8.9407,9.0591,8.9012,8.9901,9.0433,9.367,9.7085,9.9855,24.1622,28498910258.36,-0.0099,-0.11,0.42,78211011.96,,,1516291200000
20180122,17964614,8.9901,9.444,8.8815,9.3157,9.0512,9.2891,9.6438,9.9348,25.0374,29531252781.44,0.3254,3.62,0.88,168352584.7,,,1516550400000
20180123,11316745,9.2072,9.3848,9.1578,9.2762,9.1341,9.2239,9.6088,9.8743,24.9314,29406120354.4,-0.0391,-0.42,0.55,106565212.07,,,1516636800000
20180124,9021160,9.3256,9.3651,9.1677,9.2565,9.1677,9.2002,9.5733,9.817,24.8783,29343554140.88,-0.0195,-0.21,0.44,84478044.02,,,1516723200000
20180125,11848007,9.217,9.5131,9.1874,9.3749,9.2427,9.1726,9.5466,9.7739,25.1966,29718951422.0,0.1185,1.28,0.58,112872686.33,,,1516809600000
20180126,14185148,9.3552,9.592,9.2368,9.2762,9.2999,9.1716,9.5126,9.7387,24.9314,29406120354.4,-0.0984,-1.05,0.7,134887604.61,,,1516896000000
20180129,10542060,9.2664,9.2664,8.9506,8.9999,9.2367,9.144,9.4692,9.6953,24.1887,28530193365.12,-0.2764,-2.98,0.52,96768893.4,,,1517155200000
20180130,9922070,9.0789,9.1677,8.8223,8.9309,9.1677,9.1509,9.4243,9.6595,24.0031,28311211617.8,-0.0693,-0.77,0.48,89840867.29,,,1517241600000
20180131,13574079,8.7236,9.069,8.5756,8.9605,9.1085,9.1381,9.365,9.6111,24.0826,28405060938.08,0.0295,0.33,0.67,121059525.22,,,1517328000000
20180201,9965068,8.9309,9.0591,8.7631,8.8223,8.998,9.1203,9.296,9.566,23.7113,27967097443.44,-0.138,-1.54,0.49,89918840.52,,,1517414400000
20180202,55744241,8.9506,9.592,8.842,9.4045,9.0236,9.1618,9.2644,9.5262,25.2762,29812800742.28,0.5823,6.6,2.73,530190476.39,,,1517500800000
20180205,33727295,9.3157,9.6512,9.217,9.4539,9.1144,9.1756,9.2323,9.4877,25.4088,29969216276.08,0.0489,0.52,1.66,321604855.77,,,1517760000000
20180206,12318282,9.2368,9.3651,8.8914,8.9703,9.1223,9.145,9.1845,9.4542,24.1092,28436344044.84,-0.4831,-5.11,0.6,113795351.91,,,1517846400000
20180207,18622677,9.0789,9.2466,8.694,8.9802,9.1262,9.1174,9.1588,9.4213,24.1357,28467627151.6,0.0099,0.11,0.91,167846039.89,,,1517932800000
20180208,15833127,8.8815,9.1677,8.7927,9.1677,9.1953,9.0966,9.1346,9.3966,24.6396,29062006180.04,0.1877,2.09,0.77,144927786.0,,,1518019200000
