date,volume,open,high,low,close,ma5,ma10,ma20,ma30,pe,market_capital,chg,percent,turnoverrate,amount,volume_post,amount_post,timestamp
20180115,896600,13.7101,13.759,13.3974,13.417,13.7492,13.803,13.7047,13.7459,25.1373,2426949509.44,-0.4107,-2.97,0.64,12422946.4,,,1515945600000
20180116,632368,13.4561,13.544,13.3974,13.4658,13.6574,13.7746,13.692,13.7202,25.2289,2435787635.84,0.0483,0.36,0.45,8695883.9,,,1516032000000
20180117,741151,13.4072,13.5538,13.2606,13.5342,13.6144,13.7434,13.6803,13.7153,25.357,2448161012.8,0.0687,0.51,0.53,10169117.12,,,1516118400000
20180118,524600,13.5147,13.6906,13.5049,13.6026,13.5694,13.717,13.6803,13.7078,25.4852,2460534389.76,0.069,0.51,0.37,7301377.4,,,1516204800000
20180119,531479,13.5929,13.7492,13.5342,13.6124,13.5264,13.6857,13.6842,13.7036,25.5035,2462302015.04,0.0095,0.07,0.38,7423623.84,,,1516291200000
20180122,566880,13.6613,13.759,13.4365,13.7199,13.587,13.6681,13.692,13.6981,25.7049,2481745893.12,0.1075,0.79,0.4,7906655.02,,,1516550400000
20180123,909879,13.7199,13.9251,13.6906,13.8665,13.6671,13.6622,13.7209,13.6951,25.9795,2508260272.32,0.1468,1.07,0.64,12895895.64,,,1516636800000
20180124,878479,13.9153,13.9447,13.7785,13.8665,13.7336,13.674,13.7306,13.7016,25.9795,2508260272.32,0.0,0.0,0.63,12444087.9,,,1516723200000
20180125,762800,13.8567,13.9642,13.7883,13.8176,13.7766,13.673,13.7409,13.7036,25.888,2499422145.92,-0.0485,-0.35,0.55,10833819.0,,,1516809600000
20180126,885201,13.7981,13.8567,13.632,13.671,13.7883,13.6573,13.7438,13.701,25.6134,2472907766.72,-0.1465,-1.06,0.63,12448961.14,,,1516896000000
20180129,639800,13.6124,13.7492,13.5147,13.5635,13.757,13.672,13.7375,13.6938,25.412,2453463888.64,-0.108,-0.79,0.46,8922957.0,,,1517155200000
20180130,687864,13.5831,13.8274,13.5245,13.7394,13.7316,13.6994,13.737,13.6945,25.7415,2485281143.68,0.1763,1.3,0.49,9631543.68,,,1517241600000
20180131,1643828,13.671,13.6906,12.9772,13.0749,13.5733,13.6534,13.6984,13.6713,24.4966,2365082624.64,-0.665,-4.84,1.18,22315740.77,,,1517328000000
20180201,1498733,12.987,13.0847,12.3616,12.43,13.2958,13.5362,13.6266,13.6323,23.2882,2248419356.16,-0.6446,-4.93,1.08,19433862.7,,,1517414400000
20180202,719582,12.3518,12.4398,12.0293,12.3518,13.0319,13.4101,13.5479,13.5929,23.1417,2234278353.92,-0.0783,-0.63,0.52,9056447.98,,,1517500800000
20180205,572500,12.1271,12.3225,12.1271,12.2346,12.7661,13.2616,13.4648,13.5486,22.922,2213066850.56,-0.1173,-0.95,0.41,7156454.51,,,1517760000000
20180206,1307000,12.1271,12.1271,11.4528,11.4528,12.3088,13.0202,13.3412,13.4873,21.4574,2071656828.16,-0.7818,-6.39,0.93,15808810.0,,,1517846400000
20180207,1015583,11.6091,11.7753,11.3355,11.6678,12.0274,12.8003,13.2372,13.4205,21.8602,2110544584.32,0.2153,1.88,0.73,12020436.35,,,1517932800000
20180208,947787,11.6678,12.0489,11.5603,12.0,11.9414,12.6186,13.1458,13.3668,22.4826,2170643843.84,0.3325,2.85,0.68,11551389.84,,,1518019200000
20180209,781911,11.785,11.873,11.5407,11.7264,11.8163,12.4241,13.0407,13.3039,21.97,2121150336.0,-0.2736,-2.28,0.56,9401236.61,,,1518105600000
20180212,589800,11.8144,12.0977,11.746,11.9805,11.7655,12.2658,12.9689,13.2469,22.446,2167108593.28,0.2545,2.17,0.42,7198669.0,,,1518364800000
20180213,529440,11.9707,12.0977,11.9121,11.9414,11.8632,12.086,12.8927,13.1867,22.3728,2160038092.16,-0.0395,-0.33,0.38,6506685.8,,,1518451200000
20180214,355453,12.0098,12.0293,11.8828,11.9316,11.916,11.9717,12.8126,13.1228,22.3545,2158270466.88,-0.0096,-0.08,0.26,4344226.31,,,1518537600000
20180222,580400,11.9707,12.1564,11.9707,12.0684,11.9297,11.9355,12.7359,13.0629,22.6108,2183017220.8,0.1372,1.15,0.39,7176205.36,,,1519228800000
20180223,367985,12.0684,12.1271,12.0293,12.0782,12.0,11.9082,12.6591,13.0013,22.6291,2184784846.08,0.0097,0.08,0.26,4546298.75,,,1519315200000
20180226,739965,12.0782,12.4691,12.0782,12.4398,12.0919,11.9287,12.5951,12.9528,23.3065,2250186981.44,0.3612,2.99,0.53,9346835.08,,,1519574400000
20180227,785811,12.3909,12.4984,12.342,12.3909,12.1818,12.0225,12.5214,12.9016,23.215,2241348855.04,-0.0485,-0.39,0.56,9975206.24,,,1519660800000
20180228,368811,12.2443,12.43,12.2248,12.3714,12.2697,12.0929,12.4466,12.8557,23.1784,2237813604.48,-0.0198,-0.16,0.26,4660686.05,,,1519747200000
20180301,659185,12.3323,12.5473,12.2639,12.5277,12.3616,12.1456,12.3821,12.8124,23.4713,2266095608.96,0.1559,1.26,0.47,8380511.27,,,1519833600000
20180302,518894,12.4398,12.557,12.3616,12.3909,12.4241,12.2121,12.3181,12.7645,23.215,2241348855.04,-0.1365,-1.09,0.37,6615824.86,,,1519920000000
20180305,531300,12.3616,12.4789,12.3616,12.4105,12.4183,12.2551,12.2604,12.731,23.2516,2244884105.6,0.0198,0.16,0.38,6746587.77,,,1520179200000
20180306,903000,12.4007,12.6352,12.4007,12.6254,12.4652,12.3235,12.2048,12.703,23.6544,2283771861.76,0.2147,1.73,0.64,11603036.6,,,1520265600000
20180307,605900,12.557,12.6059,12.4691,12.4691,12.4847,12.3772,12.1745,12.6674,23.3614,2255489857.28,-0.1566,-1.24,0.43,7767293.0,,,1520352000000
20180308,648680,12.5277,12.5766,12.4593,12.557,12.4906,12.4261,12.1808,12.6326,23.5262,2271398484.8,0.0885,0.71,0.44,8308479.0,,,1520438400000
20180309,1085905,12.5473,12.7818,12.5473,12.772,12.5668,12.4955,12.2018,12.6046,23.929,2310286240.96,0.2147,1.71,0.77,14096066.55,,,1520524800000
20180312,1181201,12.9284,12.9772,12.8013,12.8991,12.6645,12.5414,12.235,12.5772,24.167,2333265369.6,0.1264,0.99,0.83,15585502.1,,,1520784000000
20180313,923880,12.8893,12.9186,12.7622,12.7818,12.6958,12.5805,12.3015,12.5411,23.9473,2312053866.24,-0.1174,-0.91,0.66,12137005.6,,,1520870400000
20180314,1014325,12.7622,12.8502,12.6938,12.7525,12.7525,12.6186,12.3557,12.5039,23.8924,2306750990.4,-0.0294,-0.23,0.72,13264329.45,,,1520956800000
20180315,1417900,12.7134,12.7525,12.4789,12.7134,12.7838,12.6372,12.3914,12.4671,23.8191,2299680489.28,-0.0395,-0.31,1.01,18262229.0,,,1521043200000
20180316,1050493,12.7036,12.8893,12.6352,12.7232,12.774,12.6704,12.4412,12.4355,23.8375,2301448114.56,0.0102,0.08,0.75,13711959.14,,,1521129600000
20180319,802883,12.7134,12.86,12.5863,12.7525,12.7447,12.7046,12.4798,12.4085,23.8924,2306750990.4,0.0293,0.23,0.58,10454166.98,,,1521388800000
20180320,1271729,12.7036,13.0945,12.5668,12.9577,12.7799,12.7378,12.5307,12.3824,24.2769,2343871121.28,0.2053,1.61,0.91,16749131.75,,,1521475200000
20180321,860499,12.9675,13.0847,12.7036,12.7916,12.7877,12.7701,12.5737,12.373,23.9656,2313821491.52,-0.1659,-1.28,0.61,11409033.74,,,1521561600000
20180322,1397129,12.7525,13.1629,12.7036,13.1043,12.8659,12.8248,12.6254,12.3955,24.5515,2370385500.48,0.3121,2.44,0.99,18581970.13,,,1521648000000
20180323,1998099,12.8795,13.0163,12.0293,12.2052,12.7623,12.7681,12.6318,12.3906,22.8671,2207763974.72,-0.8989,-6.86,1.41,25801167.73,,,1521734400000
20180326,925421,11.9707,12.342,11.7557,12.2834,12.6684,12.7066,12.624,12.3922,23.0136,2221904976.96,0.0781,0.64,0.66,11402794.0,,,1521993600000
20180327,853415,12.3714,12.6059,12.3518,12.557,12.5883,12.6841,12.6323,12.429,23.5262,2271398484.8,0.2739,2.23,0.6,10921111.36,,,1522080000000
20180328,1048408,12.4202,12.8013,12.3127,12.7036,12.5707,12.6792,12.6489,12.4635,23.8008,2297912864.0,0.1469,1.17,0.74,13512831.25,,,1522166400000
20180329,912922,12.7329,12.8893,12.6548,12.8697,12.5238,12.6948,12.666,12.4925,24.1121,2327962493.76,0.1664,1.31,0.65,11926225.68,,,1522252800000
20180330,849412,12.8795,12.9479,12.7818,12.9186,12.6665,12.7144,12.6924,12.5323,24.2036,2336800620.16,0.0489,0.38,0.61,11199400.97,,,1522339200000
20180402,859195,12.8795,13.0749,12.8502,12.9186,12.7935,12.731,12.7178,12.5636,24.0321,2336800620.16,0.0,0.0,0.61,11382502.19,,,1522598400000
20180403,672000,12.8013,12.8013,12.6645,12.7622,12.8345,12.7114,12.7246,12.5909,23.7412,2308518615.68,-0.1563,-1.21,0.48,8748349.05,,,1522684800000
20180404,1239000,12.7916,13.1434,12.7134,12.8795,12.8697,12.7202,12.7451,12.6225,23.9594,2329730119.04,0.1174,0.92,0.88,16450109.0,,,1522771200000
20180409,694522,12.7134,12.9088,12.6157,12.7525,12.8463,12.685,12.7549,12.6453,23.723,2306750990.4,-0.1275,-0.99,0.49,9058382.51,,,1523203200000
20180410,2825624,12.7134,14.0326,12.557,14.0326,13.0691,12.8678,12.8179,12.7105,26.1044,2538309902.08,1.2803,10.04,1.89,39279456.97,,,1523289600000
20180411,10117756,14.658,14.9121,14.0717,14.0717,13.2997,13.0466,12.8766,12.7649,26.1771,2545380403.2,0.0393,0.28,7.22,150924287.06,,,1523376000000
20180412,4661401,13.9056,14.0424,13.5635,13.9056,13.5284,13.1815,12.9328,12.8153,25.8681,2515330773.44,-0.166,-1.18,3.27,65681839.08,,,1523462400000
20180413,2588942,13.7199,13.886,13.3974,13.3974,13.632,13.2508,12.965,12.8495,24.9228,2423414258.88,-0.5075,-3.65,1.77,36178643.24,,,1523548800000
20180416,2256600,13.3877,13.4756,13.1238,13.2215,13.7258,13.286,12.9904,12.8727,24.5956,2391597003.84,-0.1755,-1.31,1.61,30635663.0,,,1523808000000
20180417,2834300,13.2215,13.3877,12.7525,12.7916,13.4776,13.2733,12.9938,12.886,23.7958,2313821491.52,-0.4297,-3.25,2.01,37669192.1,,,1523894400000
20180418,2624631,12.8013,12.9675,12.4495,12.9186,13.2469,13.2733,13.0021,12.903,24.0321,2336800620.16,0.1266,0.99,1.87,34142344.41,,,1523980800000
20180419,1118621,12.7036,12.987,12.7036,12.8209,13.03,13.2792,12.9953,12.9095,23.8503,2319124367.36,-0.0982,-0.76,0.79,14727711.4,,,1524067200000
20180420,1311600,12.7036,12.8404,12.4202,12.43,12.8365,13.2342,12.9772,12.9082,23.1231,2248419356.16,-0.391,-3.05,0.93,16928046.0,,,1524153600000
20180423,963128,12.4691,12.6059,12.1173,12.3323,12.6587,13.1922,12.9386,12.9007,22.9414,2230743103.36,-0.0982,-0.79,0.67,12201981.69,,,1524412800000
20180424,1315830,12.2541,12.6743,12.2541,12.6254,12.6254,13.0515,12.9596,12.8958,23.4867,2283771861.76,0.2935,2.38,0.96,16866070.74,,,1524499200000
20180425,1042918,12.5668,12.7036,12.5082,12.645,12.5707,12.9088,12.9777,12.8873,23.5231,2287307112.32,0.0189,0.15,0.73,13493026.41,,,1524585600000
20180426,932100,12.6352,12.7036,12.2639,12.2639,12.4593,12.7447,12.9631,12.8701,22.8141,2218369726.4,-0.3806,-3.01,0.66,11860676.0,,,1524672000000
20180427,3035591,12.3225,13.4951,12.2736,12.7329,12.5199,12.6782,12.9645,12.8694,23.6867,2303215739.84,0.4685,3.82,2.19,39849437.84,,,1524758400000
