date,volume,open,high,low,close,ma5,ma10,ma20,ma30,pe,market_capital,chg,percent,turnoverrate,amount,volume_post,amount_post,timestamp
20181207,1528070,7.7677,7.8471,7.6785,7.7181,7.7796,7.6457,7.7261,7.6169,19.2471,2318790100.0,-0.01,-0.13,0.52,11907634.0,,,1544112000000
20181210,1744918,7.6884,7.6983,7.5693,7.6388,7.7578,7.6636,7.7251,7.6351,19.0491,2294946500.0,-0.0795,-1.03,0.59,13434885.0,,,1544371200000
20181211,4831172,7.7082,8.0257,7.6388,7.8669,7.7618,7.6993,7.728,7.6583,19.6181,2363496850.0,0.2284,2.99,1.62,38212701.0,,,1544457600000
20181212,3257247,7.8074,7.8669,7.7281,7.7777,7.7459,7.7162,7.729,7.6735,19.3955,2336672800.0,-0.0889,-1.13,1.1,25577689.0,,,1544544000000
20181213,2768600,7.7876,7.8471,7.7082,7.7777,7.7558,7.7519,7.7251,7.689,19.3955,2336672800.0,0.0,0.0,0.93,21738107.0,,,1544630400000
20181214,2845300,7.7876,7.7876,7.5296,7.5594,7.7241,7.7519,7.7082,7.6907,18.8512,2271102900.0,-0.2186,-2.81,0.97,21943832.0,,,1544716800000
20181217,1680200,7.5296,7.5693,7.4404,7.5197,7.7003,7.7291,7.6839,7.6917,18.7523,2259181100.0,-0.0393,-0.52,0.57,12729289.0,,,1544976000000
20181218,1596502,7.4701,7.5197,7.3808,7.4999,7.6269,7.6943,7.67,7.691,18.7028,2253220200.0,-0.0196,-0.26,0.54,11985584.0,,,1545062400000
20181219,1790157,7.4602,7.4999,7.3213,7.3312,7.5376,7.6418,7.6442,7.6824,18.2822,2202552550.0,-0.1687,-2.25,0.61,13334125.0,,,1545148800000
20181220,1125899,7.3412,7.3908,7.2916,7.3709,7.4562,7.606,7.6194,7.6781,18.3812,2214474350.0,0.0396,0.54,0.38,8334139.0,,,1545235200000
20181221,1211882,7.3908,7.3908,7.2419,7.3114,7.4066,7.5654,7.6055,7.6725,18.2328,2196591650.0,-0.0597,-0.81,0.41,8902160.0,,,1545321600000
20181224,1864974,7.2221,7.4602,7.0733,7.3709,7.3769,7.5386,7.6011,7.6629,18.3812,2214474350.0,0.0592,0.81,0.63,13745879.0,,,1545580800000
20181225,1853400,7.2519,7.2717,7.0336,7.2122,7.3193,7.4731,7.5862,7.6431,17.9854,2166787150.0,-0.1585,-2.15,0.63,13355282.0,,,1545667200000
20181226,782800,7.1824,7.2618,7.1527,7.1824,7.2896,7.4136,7.5649,7.6239,17.9111,2157845800.0,-0.0296,-0.41,0.27,5688048.0,,,1545753600000
