date,volume,open,high,low,close,ma5,ma10,ma20,ma30,pe,market_capital,chg,percent,turnoverrate,amount,volume_post,amount_post,timestamp
20181207,22467036,4.5865,4.8148,4.5865,4.7056,4.6957,4.6162,4.5597,4.463,155.961,5726824799.64,0.1291,2.82,1.84,106540875.0,,,1544112000000
20181210,12495787,4.6162,4.7453,4.5964,4.6262,4.6877,4.6182,4.574,4.4796,153.3288,5630169528.76,-0.0795,-1.69,1.02,58566353.0,,,1544371200000
20181211,9582105,4.6162,4.6659,4.5765,4.6361,4.654,4.6321,4.5845,4.4951,153.6578,5642251437.62,0.0097,0.21,0.78,44472371.0,,,1544457600000
20181212,10010707,4.656,4.7155,4.5865,4.6262,4.6341,4.6411,4.5964,4.5054,153.3288,5630169528.76,-0.0097,-0.21,0.82,46735168.0,,,1544544000000
20181213,44400824,4.6262,4.8942,4.6063,4.7751,4.6738,4.6699,4.6098,4.5226,158.2643,5811398161.66,0.149,3.22,3.65,214055555.0,,,1544630400000
20181214,25987018,4.7453,4.7552,4.5865,4.5865,4.65,4.6728,4.6138,4.5305,152.0127,5581841893.32,-0.1886,-3.95,2.12,122537841.0,,,1544716800000
20181217,16862959,4.5567,4.656,4.4773,4.517,4.6282,4.658,4.6103,4.5375,149.7094,5497268531.3,-0.0697,-1.52,1.37,77437358.0,,,1544976000000
20181218,11120237,4.4673,4.5567,4.4177,4.4673,4.5944,4.6242,4.6113,4.5431,148.0643,5436858987.0,-0.0497,-1.1,0.91,50106100.0,,,1545062400000
20181219,6969800,4.4574,4.4971,4.3978,4.4078,4.5507,4.5924,4.5984,4.5484,146.0901,5364367533.84,-0.0594,-1.33,0.57,31190854.0,,,1545148800000
20181220,12503568,4.3681,4.4276,4.2688,4.3184,4.4594,4.5666,4.584,4.5471,143.1288,5255630354.1,-0.0895,-2.03,1.02,54717169.0,,,1545235200000
20181221,6116100,4.3482,4.3482,4.2688,4.2886,4.3998,4.5249,4.5706,4.5481,142.1417,5219384627.52,-0.0298,-0.69,0.49,26463724.0,,,1545321600000
20181224,5495406,4.2787,4.3581,4.2688,4.3184,4.3601,4.4941,4.5562,4.5474,143.1288,5255630354.1,0.0296,0.69,0.45,23979350.0,,,1545580800000
20181225,13700386,4.2886,4.2986,3.9809,4.1894,4.3045,4.4495,4.5408,4.5395,138.8514,5098565538.92,-0.1291,-2.99,1.13,57032077.0,,,1545667200000
20181226,6197500,4.1894,4.2489,4.1695,4.1695,4.2569,4.4038,4.5224,4.5322,138.1933,5074401721.2,-0.0197,-0.47,0.5,26245447.0,,,1545753600000
20181227,8117687,4.2688,4.2886,4.0702,4.0802,4.2092,4.3343,4.5021,4.518,135.232,4965664541.46,-0.0892,-2.14,0.66,34061734.0,,,1545840000000
20181228,5509695,4.0901,4.1497,4.0603,4.0802,4.1675,4.2837,4.4783,4.5037,135.232,4965664541.46,0.0,0.0,0.45,22784775.0,,,1545926400000
