date,volume,open,high,low,close,ma5,ma10,ma20,ma30,pe,market_capital,chg,percent,turnoverrate,amount,volume_post,amount_post,timestamp
20180115,5064900,8.4964,8.4964,7.9872,8.117,8.4844,8.6182,8.9362,9.0515,549.7789,4081260000.0,-0.3896,-4.58,0.98,41696167.0,,,1515945600000
20180116,5777248,8.107,8.127,7.6378,7.9373,8.3486,8.5294,8.8543,9.0116,537.6067,3990900000.0,-0.1794,-2.21,1.14,45643178.52,,,1516032000000
20180117,2771600,7.9373,7.9673,7.8275,7.8774,8.1969,8.4305,8.7715,8.9706,533.5492,3960780000.0,-0.0595,-0.75,0.54,21855001.0,,,1516118400000
20180118,5126600,7.8774,8.2368,7.8774,8.117,8.111,8.3706,8.7041,8.935,549.7789,4081260000.0,0.2395,3.04,1.02,41515742.0,,,1516204800000
20180119,3144000,8.127,8.2368,8.0671,8.1569,8.0411,8.3257,8.6362,8.8951,552.4838,4101340000.0,0.0398,0.49,0.61,25668990.0,,,1516291200000
20180122,8313018,8.1769,8.2368,7.3582,8.0771,8.0331,8.2588,8.5688,8.8518,547.0739,4061180000.0,-0.0799,-0.98,1.6,64536054.82,,,1516550400000
20180123,4681789,7.9273,7.9772,7.7875,7.9273,8.0311,8.1899,8.4934,8.8086,536.9304,3985880000.0,-0.1494,-1.85,0.89,36942165.88,,,1516636800000
20180124,4673718,7.8974,8.0371,7.7875,8.0272,8.0611,8.129,8.4355,8.768,543.6928,4036080000.0,0.0999,1.26,0.88,36945906.06,,,1516723200000
20180125,2818501,8.0272,8.0871,7.9273,8.0871,8.0551,8.0831,8.3996,8.7294,547.7502,4066200000.0,0.0602,0.75,0.48,22680645.0,,,1516809600000
20180126,10997583,8.0871,8.4165,7.9573,8.3666,8.0971,8.0691,8.3781,8.6911,566.6847,4206760000.0,0.2798,3.46,2.1,89231911.25,,,1516896000000
20180129,10600748,8.2368,9.0455,8.2069,8.736,8.2288,8.131,8.3746,8.6678,591.7054,4392500000.0,0.3698,4.42,2.09,91008576.0,,,1517155200000
20180130,5888731,8.766,8.9657,8.4764,8.776,8.3986,8.2149,8.3721,8.6412,594.4104,4412580000.0,0.0402,0.46,1.13,51355581.79,,,1517241600000
20180131,3540653,8.8359,8.8858,8.5663,8.7859,8.5503,8.3057,8.3681,8.6162,595.0866,4417600000.0,0.0097,0.11,0.58,30939073.74,,,1517328000000
20180201,10607800,8.776,8.8758,8.2867,8.2867,8.5902,8.3227,8.3466,8.5769,561.2749,4166600000.0,-0.499,-5.68,2.08,90470861.0,,,1517414400000
20180202,11367703,8.3367,8.5863,7.4581,8.3466,8.5862,8.3416,8.3337,8.538,565.3323,4196720000.0,0.0597,0.72,2.24,89137822.41,,,1517500800000
20180205,3837900,8.3367,8.4764,7.9972,8.3566,8.5104,8.3696,8.3142,8.5024,566.0085,4201740000.0,0.01,0.12,0.72,31738064.0,,,1517760000000
20180206,2751200,8.3367,8.3367,7.9872,7.9872,8.3526,8.3756,8.2827,8.4541,540.9878,4016000000.0,-0.3694,-4.42,0.52,22420664.0,,,1517846400000
20180207,21778878,8.137,8.736,8.117,8.5563,8.3067,8.4285,8.2787,8.4332,579.5332,4302140000.0,0.5687,7.12,4.28,181955166.48,,,1517932800000
20180208,9535010,8.5264,9.0156,8.4365,8.6562,8.3806,8.4854,8.2842,8.4282,586.2956,4352340000.0,0.1001,1.17,1.83,83207127.8,,,1518019200000
20180209,3339700,8.4665,8.4665,8.2468,8.3267,8.3766,8.4814,8.2753,8.4125,563.9798,4186680000.0,-0.3298,-3.81,0.64,27952869.0,,,1518105600000
20180212,3173591,8.3566,8.5563,8.2867,8.3167,8.3686,8.4395,8.2852,8.3962,563.3036,4181660000.0,-0.01,-0.12,0.61,26582380.47,,,1518364800000
20180213,3466705,8.4065,8.4065,8.0871,8.0871,8.3886,8.3706,8.2927,8.3716,547.7502,4066200000.0,-0.2295,-2.76,0.67,28493114.83,,,1518451200000
20180214,6514270,8.0571,8.6761,7.9872,8.2468,8.3267,8.3167,8.3112,8.351,558.5699,4146520000.0,0.1601,1.98,1.22,53631570.0,,,1518537600000
20180222,25214224,8.2468,9.0755,8.1569,8.2867,8.2528,8.3167,8.3197,8.3367,561.2749,4166600000.0,0.0396,0.48,4.97,208204653.65,,,1519228800000
20180223,9473170,8.2668,8.4365,8.0771,8.0871,8.2049,8.2907,8.3162,8.3194,547.7502,4066200000.0,-0.1997,-2.41,1.8,77376229.6,,,1519315200000
20180226,12751701,8.137,8.3367,7.9872,8.0371,8.149,8.2588,8.3142,8.2957,544.369,4041100000.0,-0.0501,-0.62,2.51,103229354.0,,,1519574400000
20180227,9012706,7.9972,8.0671,7.7875,7.7875,8.089,8.2388,8.3072,8.2681,527.4631,3915600000.0,-0.25,-3.11,1.64,71163350.04,,,1519660800000
20180228,15674200,7.7476,7.8275,7.5479,7.6877,7.9772,8.152,8.2902,8.2365,520.7008,3865400000.0,-0.0997,-1.28,3.04,120104624.0,,,1519747200000
20180301,8141307,7.6278,7.6777,7.5779,7.6078,7.8414,8.0471,8.2663,8.2052,515.2909,3825240000.0,-0.08,-1.04,1.59,62069875.61,,,1519833600000
20180302,8756273,7.5479,7.8075,7.5379,7.8075,7.7855,7.9952,8.2383,8.1819,528.8156,3925640000.0,0.1993,2.62,1.62,67592851.51,,,1519920000000
20180305,4032801,7.7776,7.8075,7.6877,7.7376,7.7256,7.9373,8.1884,8.1693,524.082,3890500000.0,-0.0703,-0.9,0.79,31195332.74,,,1520179200000
20180306,4651339,7.7376,7.7776,7.6777,7.7676,7.7216,7.9053,8.138,8.1636,526.1107,3905560000.0,0.0302,0.39,0.88,35997796.44,,,1520265600000
20180307,4270920,7.7676,7.8375,7.7177,7.7576,7.7356,7.8564,8.0866,8.1596,525.4344,3900540000.0,-0.0101,-0.13,0.81,33190520.6,,,1520352000000
20180308,4214800,7.7576,7.7875,7.6378,7.6577,7.7456,7.7935,8.0551,8.1443,518.6721,3850340000.0,-0.1001,-1.29,0.81,32424034.0,,,1520438400000
20180309,4746800,7.6577,7.6877,7.5779,7.6278,7.7097,7.7476,8.0192,8.1267,516.6434,3835280000.0,-0.0299,-0.39,0.92,36175861.78,,,1520524800000
