date,volume,open,high,low,close,ma5,ma10,ma20,ma30,pe,market_capital,chg,percent,turnoverrate,amount,volume_post,amount_post,timestamp
20180115,700000,18.5989,18.5989,17.8428,17.861,18.5975,18.88,18.8234,18.9221,20.2059,3806101100.0,-0.7461,-4.01,3.55,34926121.0,,,1515945600000
20180116,470832,17.8173,18.2863,17.8173,18.0973,18.3925,18.7742,18.794,18.8694,20.4732,3856456600.0,0.2358,1.32,2.41,23454592.12,,,1516032000000
20180117,808832,18.0973,18.6462,17.9155,18.5008,18.3714,18.7076,18.772,18.8682,20.9297,3942448300.0,0.4036,2.23,4.14,40874668.72,,,1516118400000
20180118,656332,18.4644,18.8316,18.3699,18.7044,18.3539,18.6706,18.786,18.8566,21.16,3985831500.0,0.2035,1.1,3.35,33728186.52,,,1516204800000
20180119,596800,18.7444,18.9225,18.1881,18.6862,18.3699,18.6117,18.7875,18.8463,21.1395,3981958000.0,-0.0187,-0.1,3.03,30723201.0,,,1516291200000
20180122,676132,18.6862,18.8571,18.2536,18.8353,18.5648,18.5812,18.7967,18.8252,21.3081,4013720700.0,0.1495,0.8,3.44,34604765.48,,,1516550400000
20180123,479700,18.8171,18.8389,18.5044,18.7516,18.6957,18.5441,18.8149,18.799,21.2135,3995902600.0,-0.0829,-0.44,2.41,24654943.0,,,1516636800000
20180124,700000,18.7516,18.908,18.5408,18.7916,18.7538,18.5626,18.8073,18.7945,21.2588,4004424300.0,0.0394,0.21,3.56,36147238.0,,,1516723200000
20180125,687832,18.8207,19.0388,18.6498,18.6498,18.7429,18.5484,18.8,18.7774,21.0984,3974211000.0,-0.1409,-0.75,3.41,35651501.36,,,1516809600000
20180126,535285,18.559,18.8643,18.4717,18.4972,18.7051,18.5375,18.7758,18.7605,20.9256,3941673600.0,-0.1529,-0.82,2.74,27423362.64,,,1516896000000
20180129,486900,18.3808,18.6789,18.3808,18.588,18.6556,18.6102,18.7451,18.7524,21.0284,3961041100.0,0.0906,0.49,2.49,24848371.94,,,1517155200000
20180130,1143653,18.7771,19.2606,18.7771,19.0316,18.7116,18.7036,18.7389,18.7639,21.5302,4055554500.0,0.4442,2.39,5.82,60001211.57,,,1517241600000
20180131,852100,18.9516,19.0279,18.4354,18.6789,18.6891,18.7215,18.7146,18.7552,21.1313,3980408600.0,-0.3521,-1.85,4.32,43893988.0,,,1517328000000
20180201,695400,18.5771,18.788,17.9591,18.1627,18.5917,18.6673,18.6689,18.7464,20.5472,3870401200.0,-0.5155,-2.76,3.53,35223150.0,,,1517414400000
20180202,876968,18.1736,18.4354,17.5883,18.1554,18.5233,18.6142,18.6129,18.7297,20.539,3868851800.0,-0.0073,-0.04,4.48,43071256.76,,,1517500800000
20180205,402900,17.8064,18.0318,17.661,17.7373,18.3532,18.5044,18.5428,18.6993,20.0661,3779761300.0,-0.4176,-2.3,2.06,19761086.0,,,1517760000000
20180206,920723,17.6137,17.6137,16.5049,16.7231,17.8915,18.3016,18.4228,18.6438,18.9186,3563620000.0,-1.0146,-5.72,4.74,42901532.77,,,1517846400000
20180207,513411,17.1957,17.1957,16.2541,16.7449,17.5047,18.0969,18.3297,18.5705,18.9433,3568268200.0,0.0217,0.13,2.6,23681311.18,,,1517932800000
20180208,345011,16.7158,17.0139,16.6358,16.9048,17.2531,17.9224,18.2354,18.5075,19.1242,3602355000.0,0.1607,0.96,1.77,16020533.55,,,1518019200000
20180209,542500,16.4322,16.8139,16.2068,16.7412,16.9703,17.7468,18.1422,18.4328,18.9392,3567493500.0,-0.164,-0.97,2.74,24621446.96,,,1518105600000
20180212,550700,17.003,17.1484,16.7412,17.0757,16.8379,17.5956,18.1029,18.3619,19.3175,3638765900.0,0.3348,2.0,2.81,25834987.0,,,1518364800000
20180213,416700,17.0939,17.1484,16.9266,16.9339,16.8801,17.3858,18.0447,18.2879,19.1571,3608552600.0,-0.1417,-0.83,2.13,19491054.0,,,1518451200000
20180214,239200,16.9375,17.0139,16.8321,16.963,16.9237,17.2142,17.9678,18.2144,19.19,3614750200.0,0.0288,0.17,1.21,11144325.0,,,1518537600000
20180222,319600,17.0902,17.152,16.843,17.1411,16.971,17.112,17.8897,18.15,19.3916,3652710500.0,0.1781,1.05,1.62,15001653.0,,,1519228800000
20180223,427500,17.0902,17.4029,17.0684,17.3156,17.0859,17.0281,17.8211,18.0847,19.589,3689896100.0,0.1748,1.02,2.16,20217903.0,,,1519315200000
20180226,676653,17.4501,17.7592,17.4102,17.7592,17.2226,17.0302,17.7673,18.0386,20.0907,3784409500.0,0.4433,2.56,3.45,32785964.0,,,1519574400000
20180227,1082412,17.7955,18.5917,17.5883,18.2499,17.4858,17.1829,17.7422,18.0095,20.646,3888994000.0,0.4902,2.76,5.55,53998717.88,,,1519660800000
20180228,632100,18.0718,18.3954,17.9518,18.1336,17.7199,17.3218,17.7093,17.9938,20.5143,3864203600.0,-0.1168,-0.64,3.25,31679063.0,,,1519747200000
20180301,595812,18.1772,18.5699,18.0245,18.439,17.9795,17.4752,17.6988,17.982,20.8598,3929278400.0,0.3047,1.68,3.04,30207544.04,,,1519833600000
20180302,517400,18.2972,18.3917,18.0136,18.2027,18.1569,17.6214,17.6841,17.9686,20.5925,3878922900.0,-0.236,-1.28,2.65,25884433.88,,,1519920000000
20180305,292100,18.2499,18.3845,18.1372,18.3481,18.2747,17.7486,17.6721,17.9848,20.757,3909910900.0,0.1456,0.8,1.47,14665108.0,,,1520179200000
20180306,592012,18.3408,18.7589,18.2572,18.5335,18.3314,17.9086,17.6472,17.9993,20.9667,3949420600.0,0.1853,1.01,3.0,30264340.68,,,1520265600000
20180307,569100,18.5335,18.8316,18.4681,18.7116,18.447,18.0834,17.6488,18.0064,21.1683,3987380900.0,0.1779,0.96,2.85,29293317.0,,,1520352000000
20180308,930782,18.7116,19.2461,18.6353,19.2315,18.6055,18.2925,17.7023,18.0239,21.7564,4098163000.0,0.5202,2.78,4.75,48761939.58,,,1520438400000
20180309,792900,19.2424,19.3624,19.0061,19.257,18.8163,18.4866,17.7573,18.043,21.7852,4103585900.0,0.025,0.13,4.04,41859621.0,,,1520524800000
20180312,786053,19.286,19.5551,19.1588,19.217,18.9901,18.6324,17.8313,18.0557,21.7399,4095064200.0,-0.0404,-0.21,4.03,41818180.14,,,1520784000000
20180313,629100,19.1879,19.326,18.8353,18.8498,19.0534,18.6924,17.9377,18.059,21.3246,4016819500.0,-0.367,-1.91,3.22,32907006.93,,,1520870400000
20180314,654339,18.8534,19.3188,18.8534,18.937,19.0985,18.7727,18.0473,18.0638,21.4233,4035412300.0,0.0867,0.46,3.35,34458289.51,,,1520956800000
20180315,871112,18.8607,18.9698,17.9591,18.2209,18.8963,18.7509,18.1131,18.0495,20.6131,3882796400.0,-0.7158,-3.78,4.47,44055818.88,,,1521043200000
20180316,367957,18.2681,18.6208,18.2245,18.3445,18.7138,18.7651,18.1932,18.0444,20.7529,3909136200.0,0.1239,0.68,1.87,18629033.5,,,1521129600000
20180319,362000,18.3154,18.7516,18.3154,18.5917,18.5888,18.7895,18.269,18.0445,21.0326,3961815800.0,0.2476,1.35,1.86,18556597.0,,,1521388800000
20180320,443500,18.5335,18.8934,18.21,18.7734,18.5735,18.8134,18.361,18.0359,21.2382,4000550800.0,0.1822,0.98,2.25,22651598.0,,,1521475200000
20180321,438612,18.8607,18.9407,18.4681,18.5371,18.4935,18.796,18.4397,18.0312,20.9709,3950195300.0,-0.2365,-1.26,2.21,22668852.6,,,1521561600000
20180322,473312,18.7444,18.8825,18.5153,18.7516,18.5997,18.748,18.5202,18.0508,21.2135,3995902600.0,0.215,1.16,2.42,24391047.64,,,1521648000000
