date,volume,open,high,low,close,ma5,ma10,ma20,ma30,pe,market_capital,chg,percent,turnoverrate,amount,volume_post,amount_post,timestamp
20181207,553900,6.7587,6.8084,6.6891,6.7587,6.8442,6.8104,6.9138,6.8028,258.806,3246196954.0,-0.0197,-0.29,0.11,3763841.0,,,1544112000000
20181210,408200,6.6891,6.7388,6.6593,6.6792,6.8024,6.7984,6.9073,6.8144,255.7613,3208006401.6,-0.0798,-1.18,0.09,2746549.0,,,1544371200000
20181211,382343,6.6792,6.7686,6.6693,6.7686,6.7706,6.7935,6.9033,6.8279,259.1866,3250970773.05,0.0895,1.34,0.08,2581500.0,,,1544457600000
20181212,569600,6.7686,6.8283,6.7388,6.7786,6.7527,6.7845,6.9008,6.8392,259.5672,3255744592.1,0.0102,0.15,0.12,3889900.0,,,1544544000000
20181213,676613,6.7587,6.868,6.7488,6.8283,6.7627,6.7965,6.8899,6.8508,261.4702,3279613687.35,0.0495,0.73,0.14,4649323.0,,,1544630400000
20181214,1096000,6.8084,6.8283,6.6295,6.6394,6.7388,6.7915,6.8631,6.8518,254.2389,3188911125.4,-0.1892,-2.77,0.22,7397527.0,,,1544716800000
20181217,558800,6.6394,6.6991,6.5599,6.6593,6.7348,6.7686,6.8342,6.8521,255.0001,3198458763.5,0.0199,0.3,0.12,3723582.0,,,1544976000000
20181218,348300,6.6096,6.6593,6.5699,6.6394,6.709,6.7398,6.8149,6.8429,254.2389,3188911125.4,-0.02,-0.3,0.07,2317527.0,,,1545062400000
20181219,1318700,6.6593,6.9476,6.6394,6.6891,6.6911,6.7219,6.789,6.8422,256.1419,3212780220.65,0.0498,0.75,0.27,9022685.0,,,1545148800000
20181220,899000,6.7289,6.7488,6.5897,6.6494,6.6553,6.709,6.7642,6.8415,254.6195,3193684944.45,-0.0395,-0.59,0.19,6012222.0,,,1545235200000
20181221,613200,6.6096,6.6295,6.5202,6.55,6.6374,6.6881,6.7493,6.8386,250.8135,3145946753.95,-0.0991,-1.49,0.13,4054172.0,,,1545321600000
20181224,495491,6.54,6.6196,6.5102,6.6196,6.6295,6.6822,6.7403,6.8323,253.4777,3179363487.3,0.0694,1.06,0.1,3285706.0,,,1545580800000
20181225,800590,6.5699,6.6693,6.4605,6.6494,6.6315,6.6702,6.7319,6.8256,254.6195,3193684944.45,0.0298,0.45,0.17,5292200.0,,,1545667200000
20181226,738500,6.6494,6.7289,6.6096,6.6991,6.6335,6.6623,6.7234,6.8213,256.5225,3217554039.7,0.0499,0.75,0.15,4960692.0,,,1545753600000
