date,volume,open,high,low,close,ma5,ma10,ma20,ma30,pe,market_capital,chg,percent,turnoverrate,amount,volume_post,amount_post,timestamp
20180115,561607,35.5541,35.5541,33.8425,34.5913,35.0134,34.8889,34.2821,34.5903,39.134,4209531650.0,-0.7095,-2.01,1.87,19873190.95,,,1515945600000
20180116,303793,34.0856,34.9609,34.0856,34.5719,34.9317,34.9521,34.266,34.4341,39.112,4207164750.0,-0.0208,-0.06,0.97,10797306.5,,,1516032000000
20180117,590900,34.5233,35.2623,34.2315,34.8734,34.9084,34.9317,34.2689,34.3929,39.4531,4243851700.0,0.3008,0.87,1.98,21085156.0,,,1516118400000
20180118,435460,34.3774,35.3499,34.3774,35.204,34.9084,34.9735,34.3229,34.3858,39.8271,4284089000.0,0.3313,0.95,1.38,15604955.2,,,1516204800000
20180119,1172446,35.2234,35.4957,34.7664,34.7664,34.8014,34.9784,34.3516,34.3897,39.3321,4230833750.0,-0.4365,-1.24,3.88,42528243.94,,,1516291200000
20180122,890835,34.1245,34.2704,32.6561,33.541,34.5913,34.8023,34.3302,34.3498,37.9458,4081719050.0,-1.2237,-3.52,3.01,30592902.3,,,1516550400000
20180123,599000,33.4341,33.7258,33.0159,33.0645,34.2899,34.6108,34.3467,34.2947,37.4067,4023730000.0,-0.4763,-1.42,2.01,20495420.0,,,1516636800000
20180124,425974,33.0645,33.3465,32.8798,33.259,33.967,34.4377,34.3531,34.2613,37.6267,4047399000.0,0.1951,0.59,1.43,14528198.1,,,1516723200000
20180125,424914,33.3076,33.541,33.0937,33.0937,33.5449,34.2266,34.3735,34.2218,37.4397,4027280350.0,-0.1663,-0.5,1.43,14545616.64,,,1516809600000
20180126,292710,33.1618,33.4049,32.9867,33.1229,33.2162,34.0088,34.3827,34.1871,37.4727,4030830700.0,0.0298,0.09,0.98,9978863.24,,,1516896000000
20180129,400322,33.2007,33.2007,32.695,32.7922,33.0665,33.8289,34.3589,34.131,37.0987,3990593400.0,-0.3312,-1.0,1.33,13535303.5,,,1517155200000
20180130,308708,32.7922,33.0062,32.306,32.5102,32.9556,33.6227,34.2874,34.0516,36.7796,3956273350.0,-0.282,-0.86,1.03,10372473.88,,,1517241600000
20180131,639518,32.5491,32.6755,30.7306,30.75,32.4538,33.2104,34.071,33.9161,34.7882,3742068900.0,-1.7587,-5.41,2.14,20642112.24,,,1517328000000
20180201,556782,31.1293,31.1293,28.6883,28.7856,31.5922,32.5686,33.771,33.7381,32.5658,3503012000.0,-1.965,-6.39,1.87,16909408.64,,,1517414400000
20180202,316200,28.9898,29.3691,27.7256,28.737,30.715,31.9656,33.472,33.5563,32.5108,3497094750.0,-0.0489,-0.17,1.07,9322304.0,,,1517500800000
20180205,179800,28.2215,29.0579,27.9979,28.737,29.904,31.4852,33.1438,33.3819,32.5108,3497094750.0,0.0,0.0,0.61,5306288.0,,,1517760000000
20180206,524100,27.7256,28.5522,25.8681,26.0626,28.6144,30.785,32.6979,33.1595,29.4853,3171646000.0,-2.6755,-9.31,1.71,14751559.0,,,1517846400000
20180207,409063,26.4516,27.1129,25.7806,26.2571,27.7159,30.0848,32.2613,32.9303,29.7053,3195315000.0,0.1955,0.75,1.37,11113875.06,,,1517932800000
20180208,218202,26.3544,26.9281,26.2571,26.7142,27.3016,29.4469,31.8368,32.7313,30.2224,3250937150.0,0.4569,1.74,0.72,5982165.86,,,1518019200000
20180209,304996,26.2571,26.4419,25.3819,25.6639,26.687,28.701,31.3549,32.4888,29.0342,3123124550.0,-1.0499,-3.93,1.02,8117876.56,,,1518105600000
20180212,326013,26.0626,26.6461,25.8098,26.0918,26.1579,28.0309,30.9299,32.2496,29.5183,3175196350.0,0.4286,1.67,1.1,8800093.31,,,1518364800000
20180213,202700,26.296,26.5586,26.1696,26.2279,26.191,27.4027,30.5127,31.9925,29.6723,3191764650.0,0.1357,0.52,0.68,5483739.0,,,1518451200000
20180214,207400,26.1307,26.4808,25.7709,25.9848,26.1365,26.9262,30.0683,31.6894,29.3973,3162178400.0,-0.2439,-0.93,0.69,5553222.0,,,1518537600000
20180222,206959,26.6461,26.6461,25.9848,26.5002,26.0937,26.6977,29.6331,31.4132,29.9804,3224901250.0,0.5145,1.98,0.69,5618765.1,,,1519228800000
20180223,209342,26.4808,26.7142,26.296,26.7142,26.3038,26.4954,29.2305,31.1464,30.2224,3250937150.0,0.2146,0.81,0.68,5716544.54,,,1519315200000
20180226,398726,26.8406,27.8034,26.8406,27.6672,26.6189,26.3884,28.9368,30.892,31.3006,3366915250.0,0.9537,3.57,1.3,11266734.02,,,1519574400000
20180227,331400,27.7159,28.0465,27.5311,27.57,26.8873,26.5391,28.6621,30.645,31.1906,3355080750.0,-0.0968,-0.35,1.07,9453129.0,,,1519660800000
20180228,253300,27.2588,27.7742,27.0935,27.5214,27.1946,26.6656,28.3752,30.396,31.1356,3349163500.0,-0.0496,-0.18,0.85,7158023.0,,,1519747200000
20180301,416444,27.5214,28.0854,27.2977,28.027,27.5,26.7968,28.1219,30.1568,31.7077,3410702900.0,0.5064,1.84,1.39,11887897.08,,,1519833600000
20180302,289989,27.6867,28.0076,27.6381,27.7256,27.7022,27.003,27.852,29.9043,31.3666,3374015950.0,-0.3027,-1.08,0.96,8287369.94,,,1519920000000
20180305,231454,27.5603,28.0659,27.5603,28.0173,27.7723,27.1956,27.6133,29.6851,31.6967,3409519450.0,0.2911,1.05,0.74,6644560.36,,,1520179200000
20180306,2009861,28.1729,30.8181,28.1535,30.8181,28.4219,27.6546,27.5286,29.56,34.8653,3750353050.0,2.8016,10.0,6.76,62800475.7,,,1520265600000
20180307,1762993,30.6722,30.6722,29.6122,29.8164,28.8809,28.0377,27.482,29.3914,33.732,3628457700.0,-1.0016,-3.25,5.87,54455003.78,,,1520352000000
20180308,872795,29.7095,30.0012,29.5344,29.9915,29.2738,28.3869,27.5423,29.2177,33.9301,3649759800.0,0.1759,0.59,2.88,26719804.6,,,1520438400000
20180309,2387256,30.0109,32.9867,29.9526,31.6058,30.0498,28.876,27.6857,29.1123,35.7564,3846212500.0,1.6136,5.38,8.02,78482165.86,,,1520524800000
20180312,1417884,31.5961,31.9462,30.8473,31.6058,30.7675,29.2699,27.8291,29.0478,35.7564,3846212500.0,0.0,0.0,4.74,45637738.42,,,1520784000000
20180313,775952,31.4696,31.7711,31.2071,31.4113,30.8862,29.654,28.0966,28.9927,35.5364,3822543500.0,-0.196,-0.62,2.48,25128766.44,,,1520870400000
20180314,1284238,31.0418,32.6561,31.032,31.8295,31.2888,30.0848,28.3752,28.9451,36.0095,3873431850.0,0.4178,1.33,4.28,42349450.8,,,1520956800000
20180315,862750,31.6544,31.6544,30.1568,30.6528,31.421,30.3474,28.5721,28.8637,34.6782,3730234400.0,-1.1777,-3.7,2.92,27322744.38,,,1521043200000
20180316,753338,30.1471,30.7306,29.1746,30.3318,31.1662,30.608,28.8055,28.7707,34.3152,3691180550.0,-0.3219,-1.05,2.52,23362656.2,,,1521129600000
20180319,465501,30.1276,30.6139,29.4858,30.5555,30.9562,30.8618,29.0287,28.6961,34.5682,3718399900.0,0.2244,0.74,1.5,14463359.28,,,1521388800000
20180320,469743,30.0984,30.5166,29.8456,30.2151,30.7169,30.8015,29.2281,28.6196,34.1831,3676979150.0,-0.3392,-1.11,1.53,14565224.83,,,1521475200000
20180321,1447812,30.2151,33.2396,30.0595,31.0223,30.5555,30.9221,29.4799,28.6287,35.0963,3775205500.0,0.8068,2.67,4.84,47562706.04,,,1521561600000
20180322,757900,30.5361,31.4696,30.4388,30.9251,30.61,31.0155,29.7012,28.7,34.9863,3763371000.0,-0.0962,-0.31,2.53,24048975.4,,,1521648000000
20180323,928312,29.301,30.3416,28.2021,28.3869,30.221,30.6936,29.7848,28.6883,32.1148,3454490550.0,-2.539,-8.21,3.13,27907984.6,,,1521734400000
20180326,556043,28.0076,29.0287,27.463,28.8342,29.8767,30.4165,29.8432,28.6916,32.6208,3508929250.0,0.4485,1.58,1.87,16068475.38,,,1521993600000
20180327,748840,29.194,29.8067,28.2021,29.5636,29.7464,30.2317,29.9428,28.8083,33.446,3597688000.0,0.7295,2.53,2.45,22641410.39,,,1522080000000
20180328,638055,28.7564,29.7872,28.63,29.6997,29.4819,30.0187,30.0518,28.923,33.6,3614256300.0,0.136,0.46,2.13,19321536.11,,,1522166400000
20180329,506900,30.6722,30.6722,29.7095,29.7581,29.2485,29.9292,30.1383,29.0245,33.666,3621357000.0,0.0594,0.2,1.7,15623564.0,,,1522252800000
20180330,775900,29.9039,31.0515,29.9039,30.8084,29.7328,29.9769,30.2925,29.196,34.8542,3749169600.0,1.0505,3.53,2.57,24418876.0,,,1522339200000
20180402,923400,30.7986,31.6836,30.5361,30.8278,30.1315,30.0041,30.433,29.3538,36.2817,3751536500.0,0.0185,0.06,3.1,29637505.0,,,1522598400000
20180403,571540,30.3513,31.1098,30.2151,30.9931,30.4174,30.0819,30.4417,29.5127,36.4762,3771655150.0,0.1665,0.54,1.86,17953946.0,,,1522684800000
20180404,591874,30.9251,31.3432,30.3999,30.5069,30.5789,30.0304,30.4763,29.6634,35.904,3712482650.0,-0.4866,-1.57,1.97,18765558.95,,,1522771200000
20180409,437900,30.254,30.7014,29.8359,30.4583,30.7189,29.9837,30.4996,29.7954,35.8468,3706565400.0,-0.0488,-0.16,1.47,13626842.0,,,1523203200000
20180410,575400,30.4388,30.6333,29.2718,29.8942,30.5361,30.1344,30.414,29.9014,35.1829,3637925300.0,-0.5635,-1.85,1.92,17756615.0,,,1523289600000
20180411,3868179,29.9234,32.8798,29.9234,32.8798,30.9465,30.539,30.4777,30.0751,38.6966,4001244450.0,2.9864,9.99,13.13,130086690.77,,,1523376000000
20180412,2952508,32.6755,32.8117,31.3627,31.528,31.0534,30.7354,30.4836,30.207,37.1057,3836744900.0,-1.3513,-4.11,9.95,97023725.0,,,1523462400000
20180413,1378100,31.6058,32.0434,31.1098,31.4016,31.2324,30.9056,30.4622,30.3364,36.957,3821360050.0,-0.1261,-0.4,4.62,44664164.0,,,1523548800000
20180416,981318,31.1293,31.3919,30.643,31.1196,31.3646,31.0418,30.4855,30.4395,36.625,3787040000.0,-0.2826,-0.9,3.25,31222113.1,,,1523808000000
