date,volume,open,high,low,close,ma5,ma10,ma20,ma30,pe,market_capital,chg,percent,turnoverrate,amount,volume_post,amount_post,timestamp
20181207,3571700,5.7217,5.7711,5.5834,5.613,5.8008,5.8482,6.1328,5.8828,27.8248,1544960000.0,-0.1581,-2.74,1.29,20424421.0,,,1544112000000
20181210,2793102,5.5834,5.7415,5.5142,5.6328,5.7435,5.8126,6.0794,5.9095,27.9228,1550400000.0,0.0196,0.35,1.02,15924841.0,,,1544371200000
20181211,6592202,5.6427,6.0281,5.6229,6.0182,5.7553,5.8156,6.0537,5.9424,29.8333,1656480000.0,0.3853,6.84,2.28,38898318.0,,,1544457600000
20181212,9910132,6.0281,6.3048,5.9292,6.1763,5.8423,5.8363,6.0424,5.976,30.6171,1700000000.0,0.1583,2.63,3.61,61443913.0,,,1544544000000
20181213,6617001,6.1763,6.3838,6.0775,6.1269,5.9134,5.8769,6.0261,6.0113,30.3722,1686400000.0,-0.0494,-0.8,2.36,41408556.0,,,1544630400000
20181214,6767907,6.1565,6.3245,6.0083,6.2553,6.0419,5.9213,6.0014,6.0449,31.009,1721760000.0,0.1287,2.1,2.42,42250554.0,,,1544716800000
20181217,14155899,6.1763,6.868,6.1466,6.7198,6.2593,6.0014,6.0078,6.0814,33.3114,1849600000.0,0.4642,7.42,5.1,93388020.0,,,1544976000000
20181218,8440450,6.7099,6.7494,6.4925,6.5617,6.368,6.0617,6.0256,6.1163,32.5276,1806080000.0,-0.1579,-2.35,3.06,56341948.0,,,1545062400000
20181219,7284701,6.5814,6.6309,6.2455,6.364,6.4055,6.1239,6.0266,6.1489,31.5479,1751680000.0,-0.1975,-3.01,2.64,47086988.0,,,1545148800000
20181220,5747899,6.5222,6.5222,6.2059,6.285,6.4372,6.1753,6.0256,6.1687,31.156,1729920000.0,-0.0789,-1.24,2.06,36886124.0,,,1545235200000
20181221,6252801,6.196,6.453,6.1071,6.3048,6.4471,6.2445,6.0463,6.17,31.2539,1735360000.0,0.0195,0.31,2.25,39893002.0,,,1545321600000
20181224,4448981,6.2553,6.5716,6.196,6.3739,6.3779,6.3186,6.0656,6.1592,31.5968,1754400000.0,0.0694,1.1,1.61,28651310.0,,,1545580800000
20181225,6078200,6.3048,6.5617,6.2059,6.4925,6.364,6.366,6.0908,6.1578,32.1847,1787040000.0,0.1186,1.86,2.2,39234001.0,,,1545667200000
20181226,7499172,6.4727,6.6506,6.4431,6.5518,6.4016,6.4036,6.12,6.1628,32.4786,1803360000.0,0.0591,0.91,2.73,49781781.0,,,1545753600000
20181227,6977700,6.5814,6.6111,6.2652,6.3937,6.4233,6.4302,6.1536,6.1608,31.6948,1759840000.0,-0.1579,-2.41,2.53,45077680.0,,,1545840000000
20181228,3984710,6.4233,6.5617,6.1763,6.1862,6.3996,6.4233,6.1723,6.142,30.6661,1702720000.0,-0.2078,-3.25,1.44,25349307.0,,,1545926400000
20190102,3943700,6.3146,6.3146,5.9688,5.9688,6.3186,6.3482,6.1748,6.1213,53.6831,1642880000.0,-0.2171,-3.51,1.38,24284217.0,,,1546358400000
20190103,4482900,6.0478,6.0478,5.7316,5.8304,6.1862,6.2751,6.1684,6.1088,52.4388,1604800000.0,-0.1385,-2.32,1.63,26675668.0,,,1546444800000
20190104,3795500,5.7514,5.9688,5.6921,5.9095,6.0577,6.2297,6.1768,6.0943,53.1498,1626560000.0,0.0793,1.36,1.37,22543588.0,,,1546531200000
20190107,5522202,5.9292,6.0281,5.8798,5.9786,5.9747,6.199,6.1872,6.0834,53.772,1645600000.0,0.0691,1.17,1.99,33364536.0,,,1546790400000
20190108,2886000,5.8798,6.0083,5.8304,5.9292,5.9233,6.1615,6.203,6.0847,53.3276,1632000000.0,-0.0496,-0.83,1.04,17313259.0,,,1546876800000
