date,volume,open,high,low,close,ma5,ma10,ma20,ma30,pe,market_capital,chg,percent,turnoverrate,amount,volume_post,amount_post,timestamp
20190311,27016,13.1623,15.7869,13.1623,15.7869,,,,,29.4325,6704169775.44,4.8215,43.97,0.06,428598.0,,,1552233600000
20190312,8799,17.3675,17.3675,17.3675,17.3675,,,,,32.3795,7375431106.86,1.5803,10.01,0.02,153718.0,,,1552320000000
20190313,7835,19.1073,19.1073,19.1073,19.1073,,,,,35.623,8114240748.36,1.7402,10.02,0.02,150588.0,,,1552406400000
20190314,43402,21.016,21.016,21.016,21.016,,,,,39.1816,8924820469.32,1.9088,9.99,0.09,917518.0,,,1552492800000
20190315,69361,23.1136,23.1136,23.1136,23.1136,19.2783,,,,43.0923,9815613808.5,2.0974,9.98,0.14,1612643.0,,,1552579200000
20190318,112629,25.43,25.43,25.43,25.43,21.2069,,,,47.4108,10799286074.04,2.316,10.02,0.23,2881049.0,,,1552838400000
20190319,158738,27.9749,27.9749,27.9749,27.9749,23.3284,,,,52.1556,11880059035.32,2.5455,10.01,0.33,4466887.0,,,1552924800000
20190320,554128,30.7685,30.7685,30.7685,30.7685,25.6606,,,,57.3638,13066376231.1,2.7946,9.99,1.15,17150261.0,,,1553011200000
20190321,344548,33.8503,33.8503,33.8503,33.8503,28.2275,,,,63.1094,14375124738.9,3.0829,10.02,0.71,11731859.0,,,1553097600000
20190322,30401553,37.2403,37.2403,35.1427,37.2403,31.0528,25.1655,,,69.4296,15814748097.48,3.3886,10.01,63.31,1117904306.0,,,1553184000000
20190325,19739079,35.7888,36.7532,34.9041,36.2859,33.224,27.2154,,,67.6503,15409458237.0,-0.9533,-2.56,39.33,710999514.0,,,1553443200000
20190326,23476472,36.1865,38.1549,35.9976,37.0017,35.0293,29.1789,,,68.9848,15713425632.36,0.7149,1.97,48.26,881774580.0,,,1553529600000
20190327,17232230,35.769,35.769,33.9596,34.6754,35.8107,30.7357,,,64.6478,14725531597.44,-2.3275,-6.29,35.02,602778676.0,,,1553616000000
20190328,14325995,33.8006,34.2778,32.8661,33.1246,35.6656,31.9465,,,61.7564,14066935574.16,-1.55,-4.47,29.4,481670969.0,,,1553702400000
20190329,14764304,33.0947,33.9696,32.0111,33.8403,34.9856,33.0192,,,63.0909,14370902969.52,0.7155,2.16,30.12,492047560.0,,,1553788800000
20190401,14561085,33.3035,34.4666,33.1643,34.3175,34.5919,33.9079,,,60.2004,14573547899.76,0.4771,1.41,29.7,497819946.0,,,1554048000000
20190402,15208025,34.2778,34.745,33.3234,34.4965,34.0909,34.5601,,,60.5143,14649539748.6,0.1785,0.52,30.77,519400249.0,,,1554134400000
20190403,11063743,33.9994,34.6655,33.4626,33.4924,33.8543,34.8325,,,58.7529,14223141041.22,-1.0038,-2.91,22.18,377885493.0,,,1554220800000
20190404,18658347,33.2538,36.604,33.2538,35.4906,34.3275,34.9965,,,62.2582,15071716686.6,1.9994,5.97,38.2,649671524.0,,,1554307200000
20190408,14898163,35.0333,35.6894,32.9655,33.1743,34.1943,34.5899,29.8777,,58.1949,14088044421.06,-2.3176,-6.53,30.64,512540299.0,,,1554652800000
20190409,9829232,32.2497,32.3094,31.2158,31.6035,33.6515,34.1217,30.6686,,55.4395,13421004859.02,-1.5691,-4.73,19.99,313222965.0,,,1554739200000
20190410,7188567,31.3848,32.5877,31.3848,31.8421,33.1206,33.6057,31.3923,,55.858,13522327324.14,0.237,0.75,14.72,232548518.0,,,1554825600000
20190411,8012455,31.9714,32.0111,30.4305,30.7287,32.5678,33.2111,31.9734,,53.9048,13049489153.58,-1.1145,-3.5,16.37,248805154.0,,,1554912000000
20190412,5120740,30.8182,31.1264,29.8539,30.3907,31.5479,32.9377,32.4421,,53.3119,12905948994.66,-0.338,-1.1,10.46,157713999.0,,,1554998400000
20190415,4320365,30.6691,31.1661,30.3907,30.5,31.013,32.6036,32.8114,,53.5037,12952388457.84,0.1094,0.36,8.87,133644032.0,,,1555257600000
20190416,5566873,30.4503,30.4503,29.2276,30.2913,30.7506,32.201,33.0545,,53.1375,12863731300.86,-0.2074,-0.68,11.4,166931375.0,,,1555344000000
20190417,4152392,29.9632,30.6193,29.9334,30.1819,30.4185,31.7695,33.1648,,52.9456,12817291837.68,-0.109,-0.36,8.46,126269443.0,,,1555430400000
20190418,6120499,30.0328,31.1562,29.9632,30.4205,30.3569,31.4624,33.1474,,53.3642,12918614302.8,0.2384,0.79,12.53,188431599.0,,,1555516800000
20190419,4236303,30.172,30.4205,29.7147,30.2018,30.3191,30.9335,32.965,,52.9805,12825735376.44,-0.219,-0.72,8.59,127986533.0,,,1555603200000
20190422,6623947,30.172,30.6691,28.9691,30.2416,30.2674,30.6402,32.6151,30.1319,53.0503,12842622453.96,0.0393,0.13,13.62,198482839.0,,,1555862400000
20190423,8479462,29.993,31.1363,29.5059,31.0667,30.4225,30.5865,32.3541,30.6412,54.4977,13193029312.5,0.8256,2.73,17.16,261494825.0,,,1555948800000
20190424,6441493,30.8579,31.1164,29.4065,29.7246,30.331,30.3748,31.9902,31.0531,52.1434,12623090446.2,-1.3421,-4.32,13.14,194329014.0,,,1556035200000
20190425,5629179,29.4562,29.9831,27.4679,27.6171,29.7704,30.0636,31.6373,31.3368,48.4463,11728075337.64,-2.1075,-7.09,11.42,163437897.0,,,1556121600000
20190426,5213721,27.8358,28.3428,26.3446,26.5533,29.0407,29.6799,31.3088,31.5214,46.5803,11276346013.98,-1.0632,-3.85,10.73,141630921.0,,,1556208000000
20190429,4353760,26.941,27.0405,24.7241,25.0224,27.9968,29.1321,30.8679,31.585,43.8947,10626193529.46,-1.5322,-5.77,8.91,114094842.0,,,1556467200000
20190430,2794398,25.1516,25.4001,24.8633,25.1118,26.8058,28.6142,30.4076,31.5744,44.0516,10664189453.88,0.0901,0.36,5.72,70707741.0,,,1556553600000
20190506,4745164,24.2569,24.2569,22.5967,22.5967,25.3803,27.8557,29.8126,31.3951,39.6395,9596081800.74,-2.5163,-10.02,9.85,110790999.0,,,1557072000000
20190507,3943711,22.9247,23.6405,22.6663,23.3125,24.5193,27.1448,29.3036,31.1466,40.8951,9900049196.1,0.7163,3.17,8.07,91818724.0,,,1557158400000
20190508,6512003,22.8651,25.5493,22.1493,24.575,24.1237,26.5822,28.7578,30.8374,43.1099,10436213907.36,1.2635,5.42,13.38,158101304.0,,,1557244800000
20190509,3709178,24.0879,24.7042,23.8592,23.8592,23.891,25.9439,28.2921,30.3914,41.8543,10132246512.0,-0.7151,-2.91,7.6,90461683.0,,,1557331200000
20190510,4021804,23.9586,24.6247,23.1435,24.2271,23.7141,25.26,27.9233,29.9894,42.4995,10288451979.06,0.3674,1.54,8.2,97737876.0,,,1557417600000
20190513,5101010,24.1475,25.6188,23.8791,25.1417,24.2231,24.8017,27.5882,29.5941,44.1039,10676854762.02,0.9157,3.78,10.38,127862356.0,,,1557676800000
20190514,3237188,24.5452,25.0025,24.1674,24.2867,24.4179,24.4686,27.2661,29.2478,42.6041,10313782595.34,-0.8548,-3.4,6.6,79777045.0,,,1557763200000
20190515,2422230,24.4458,24.7142,24.3165,24.5054,24.404,24.2639,26.9719,28.9605,42.9878,10406661521.7,0.2186,0.9,4.86,59679806.0,,,1557849600000
20190516,2353891,24.6048,24.8832,24.4657,24.5352,24.5392,24.2151,26.6736,28.6503,43.0401,10419326829.84,0.0294,0.12,4.77,58326235.0,,,1557936000000
20190517,4366163,24.5352,24.5352,22.5867,22.7756,24.2489,23.9815,26.2978,28.2656,39.9534,9672073649.58,-1.7591,-7.17,9.01,102860618.0,,,1558022400000
20190520,2357838,22.7955,22.9347,21.8411,22.2587,23.6723,23.9477,25.9017,27.8576,39.0465,9452541641.82,-0.517,-2.27,4.86,52944156.0,,,1558281600000
20190521,2167887,22.368,22.6563,22.2189,22.5569,23.3264,23.8721,25.5085,27.4931,39.5697,9579194723.22,0.2983,1.34,4.42,49087259.0,,,1558368000000
20190522,2445051,22.4774,22.6166,21.8908,21.9903,22.8233,23.6137,25.0979,27.0431,38.5757,9338553868.56,-0.5662,-2.51,5.01,54511446.0,,,1558454400000
20190523,2922200,21.8312,21.9704,21.2049,21.6721,22.2507,23.395,24.6694,26.6597,38.0176,9203457248.4,-0.3189,-1.45,6.01,63327752.0,,,1558540800000
20190524,3004495,21.6025,22.3183,21.523,22.1493,22.1255,23.1872,24.2236,26.3446,38.8547,9406102178.64,0.4768,2.2,6.17,66375228.0,,,1558627200000
20190527,4237418,22.1493,23.1633,21.9207,23.0341,22.2805,22.9764,23.8891,26.051,40.4068,9781839653.46,0.8838,3.99,8.69,96772261.0,,,1558886400000
20190528,3425179,23.044,23.4616,22.6066,22.716,22.3124,22.8194,23.644,25.7839,39.8487,9646743033.3,-0.3179,-1.38,7.06,79374805.0,,,1558972800000
20190529,3240206,22.6563,23.6604,22.4575,23.1236,22.539,22.6812,23.4725,25.5416,40.5638,9819835577.88,0.4066,1.79,6.69,75860171.0,,,1559059200000
20190530,6014257,23.0639,24.4458,22.6066,24.3861,23.0818,22.6663,23.4407,25.3378,42.7785,10356000289.14,1.2625,5.46,12.26,142976901.0,,,1559145600000
20190531,12180425,24.6645,26.8218,24.3364,26.3048,23.9129,23.0192,23.5004,25.205,46.1443,11170801779.48,1.9192,7.87,25.19,317935705.0,,,1559232000000
20190603,8484517,25.7481,25.7481,23.8891,24.4557,24.1972,23.2389,23.5933,25.0141,42.9006,10385552674.8,-1.8492,-7.03,17.5,211327469.0,,,1559491200000
20190604,6684915,24.1475,25.6188,23.4119,24.8633,24.6267,23.4695,23.6708,24.8288,43.6156,10558645219.38,0.4084,1.67,13.62,164216642.0,,,1559577600000
20190605,7075257,24.6545,26.4241,24.6545,25.1516,25.0323,23.7857,23.6997,24.6605,44.1214,10681076531.4,0.2884,1.16,14.58,181818088.0,,,1559664000000
20190606,6663116,24.4557,24.6048,22.6364,22.6364,24.6824,23.8821,23.6385,24.407,39.7092,9612968878.26,-2.5152,-10.0,13.58,155112014.0,,,1559750400000
20190610,3506203,22.6364,22.9347,21.3739,22.2487,23.8711,23.892,23.5396,24.1131,39.0291,9448319872.44,-0.3871,-1.71,7.15,78008987.0,,,1560096000000
20190611,4080651,22.2487,23.392,22.2487,23.213,23.6226,23.9099,23.4432,23.896,40.7207,9857831502.3,0.9634,4.33,8.38,94228377.0,,,1560182400000
20190612,3095196,23.2528,23.6306,22.8452,22.9347,23.2369,23.9318,23.3756,23.7399,40.2324,9739621959.66,-0.2786,-1.2,6.34,72120672.0,,,1560268800000
20190613,2443788,22.9645,23.3423,22.7756,23.2627,22.8591,23.9457,23.3134,23.6302,40.8079,9878940349.2,0.328,1.43,5.02,57065967.0,,,1560355200000
20190614,5551462,23.3224,24.8534,23.1136,23.1435,22.9605,23.8214,23.2439,23.5676,40.5986,9828279116.64,-0.1186,-0.51,11.44,133928402.0,,,1560441600000
20190617,2794665,22.706,23.0043,22.0797,22.8253,23.0758,23.4735,23.2463,23.4914,40.0406,9693182496.48,-0.3171,-1.37,5.71,63850143.0,,,1560700800000
