date,volume,open,high,low,close,ma5,ma10,ma20,ma30,pe,market_capital,chg,percent,turnoverrate,amount,volume_post,amount_post,timestamp
20180115,5351277,8.3854,8.3919,8.1028,8.1356,8.1698,8.0377,7.9053,7.7472,154.6004,8345800882.12,-0.1643,-1.98,1.37,66935546.34,,,1515945600000
20180116,4285363,8.1488,8.1948,7.9582,7.9845,8.1711,8.0423,7.9181,7.7773,151.7281,8190749654.1,-0.1513,-1.86,1.1,52614401.19,,,1516032000000
20180117,3593375,7.9845,8.1422,7.9385,8.0831,8.1593,8.0601,7.9326,7.8106,153.6013,8291870020.2,0.0982,1.23,0.92,44073506.0,,,1516118400000
20180118,6693476,8.0831,8.5628,7.9713,8.2868,8.158,8.1021,7.9612,7.8452,157.4726,8500852110.14,0.2037,2.52,1.72,83973668.07,,,1516204800000
20180119,8492756,8.2342,8.5234,8.0831,8.3919,8.1764,8.158,7.9815,7.8815,159.4707,8608713833.98,0.1052,1.27,2.19,107512872.55,,,1516291200000
20180122,5107513,8.4116,8.5759,8.3919,8.4182,8.2329,8.2014,8.0081,7.9139,159.9702,8635679264.94,0.026,0.31,1.31,65934934.51,,,1516550400000
20180123,4329780,8.4182,8.5759,8.3525,8.3656,8.3091,8.2401,8.0446,7.9455,158.9711,8581748403.02,-0.0522,-0.62,1.12,55766603.37,,,1516636800000
20180124,5877785,8.3656,8.5102,8.2671,8.3065,8.3538,8.2566,8.0762,7.9742,157.8472,8521076183.36,-0.0594,-0.71,1.47,74480446.65,,,1516723200000
20180125,3288503,8.3394,8.3394,8.2079,8.2211,8.3407,8.2493,8.0985,7.9937,156.2238,8433438532.74,-0.0856,-1.03,0.84,41293144.5,,,1516809600000
20180126,3344745,8.2474,8.3788,8.1882,8.2276,8.3078,8.2421,8.1261,8.006,156.3487,8440179890.48,0.0066,0.08,0.86,42137238.2,,,1516896000000
20180129,2926700,8.2342,8.3722,8.1685,8.1948,8.2631,8.248,8.1429,8.0195,155.7243,8406473101.78,-0.0329,-0.4,0.75,36751579.87,,,1517155200000
20180130,4868819,8.1882,8.2605,7.9319,8.1094,8.2119,8.2605,8.1514,8.0322,154.1008,8318835451.16,-0.0852,-1.04,1.23,59947655.78,,,1517241600000
20180131,5451900,8.1488,8.1554,7.7939,8.0173,8.154,8.2539,8.157,8.0397,152.3525,8224456442.8,-0.0916,-1.13,1.39,66177254.98,,,1517328000000
20180201,8588669,7.9451,8.0239,7.2156,7.2879,7.9674,8.154,8.1281,8.0254,138.491,7476165733.66,-0.7296,-9.1,2.12,98512450.24,,,1517414400000
20180202,4202026,7.3799,7.4522,6.9396,7.3273,7.7873,8.0476,8.1028,8.0035,139.2402,7516613880.1,0.0394,0.54,1.06,46695652.16,,,1517500800000
20180205,2114180,7.3208,7.4785,7.163,7.4456,7.6375,7.9503,8.0758,7.9889,141.4881,7637958319.42,0.118,1.61,0.54,23746609.85,,,1517760000000
20180206,3565150,7.439,7.4916,7.0382,7.1499,7.4456,7.8287,8.0344,7.9727,135.8685,7334597221.12,-0.2956,-3.97,0.9,39373469.5,,,1517846400000
20180207,2925300,7.3799,7.3799,7.0776,7.2025,7.2826,7.7183,7.9874,7.9569,136.8675,7388528083.04,0.0529,0.74,0.75,32319519.0,,,1517932800000
20180208,3312150,7.2156,7.5771,7.163,7.5311,7.3313,7.6493,7.9493,7.9488,143.1115,7725595970.04,0.3284,4.56,0.85,37480211.0,,,1518019200000
20180209,5143900,7.4785,7.6625,7.2945,7.3273,7.3313,7.5593,7.9007,7.9372,139.2402,7516613880.1,-0.2041,-2.71,1.31,58358467.29,,,1518105600000
20180212,4037900,7.3405,7.7282,7.3405,7.6822,7.3786,7.508,7.878,7.9313,145.9837,7880647198.06,0.3547,4.84,1.02,46891752.13,,,1518364800000
20180213,7367111,7.7413,8.4248,7.7019,8.1751,7.5836,7.5146,7.8876,7.9391,155.3496,8386249028.56,0.4932,6.42,1.9,90985175.31,,,1518451200000
20180214,5893935,8.2605,8.4116,8.1094,8.3196,7.8071,7.5448,7.8994,7.9529,158.097,8534558898.84,0.1447,1.77,1.5,74483034.32,,,1518537600000
20180222,4410040,8.4642,8.5365,8.2868,8.3328,7.9674,7.6493,7.9017,7.9685,158.3467,8548041614.32,0.0133,0.16,1.13,56239495.89,,,1519228800000
20180223,5017228,8.3985,8.4445,8.1685,8.2342,8.1488,7.74,7.8938,7.9819,156.4736,8446921248.22,-0.0983,-1.18,1.28,63083776.72,,,1519315200000
20180226,14501875,8.2868,8.8717,8.2671,8.8519,8.3827,7.8807,7.9155,8.0108,168.2122,9080608875.78,0.6176,7.5,3.71,190780026.09,,,1519574400000
20180227,13145882,8.8519,9.1214,8.7074,8.9374,8.5352,8.0594,7.9441,8.0428,169.8356,9168246526.4,0.0859,0.97,3.38,179358729.82,,,1519660800000
20180228,13757611,9.0031,9.2528,8.8717,9.0359,8.6784,8.2427,7.9805,8.0725,171.7088,9269366892.5,0.0983,1.1,3.55,190192411.5,,,1519747200000
20180301,9680456,9.0359,9.1871,8.8717,9.0228,8.8164,8.3919,8.0206,8.0969,171.459,9255884177.02,-0.0136,-0.15,2.48,133040012.86,,,1519833600000
20180302,12869896,9.0557,9.3185,8.9834,9.2988,9.0294,8.5891,8.0742,8.1302,176.704,9539021202.1,0.2761,3.06,3.28,179829310.7,,,1519920000000
20180305,11549877,9.3054,9.5025,9.1017,9.2134,9.1017,8.7422,8.1251,8.1661,175.0805,9451383551.48,-0.0856,-0.92,2.97,162426091.34,,,1520179200000
20180306,9899952,9.1937,9.4565,9.0294,9.1082,9.1358,8.8355,8.1751,8.2035,173.0825,9343521827.64,-0.105,-1.14,2.55,139394702.43,,,1520265600000
20180307,6540756,9.1279,9.2528,9.0162,9.0491,9.1385,8.9084,8.2267,8.2357,171.9586,9282849607.98,-0.0592,-0.65,1.68,90684834.0,,,1520352000000
20180308,6841515,9.0688,9.1805,8.9374,9.0162,9.1371,8.9768,8.3131,8.2601,171.3342,9249142819.28,-0.0326,-0.36,1.76,94376341.51,,,1520438400000
20180309,11794942,9.0688,9.3645,8.9571,9.2922,9.1358,9.0826,8.4113,8.2901,176.5791,9532279844.36,0.2759,3.06,3.04,165158162.36,,,1520524800000
20180312,10340327,9.266,9.5025,9.22,9.358,9.1647,9.1332,8.5069,8.3214,177.8279,9599693421.76,0.066,0.71,2.67,148113705.69,,,1520784000000
20180313,7190008,9.3908,9.45,9.1279,9.2791,9.1989,9.1674,8.6134,8.3518,176.3293,9518797128.88,-0.0786,-0.84,1.86,101479314.96,,,1520870400000
20180314,8032176,9.2791,9.4631,9.1608,9.2725,9.2436,9.191,8.7169,8.384,176.2045,9512055771.14,-0.0065,-0.07,2.07,113801366.87,,,1520956800000
20180315,6198050,9.2725,9.358,9.0754,9.3514,9.3106,9.2239,8.8079,8.4217,177.703,9592952064.02,0.0788,0.85,1.5,86790663.0,,,1521043200000
20180316,12204290,9.3842,9.8245,9.3317,9.6931,9.3908,9.2633,8.9262,8.4706,184.1967,9943502666.5,0.3413,3.65,3.13,179201269.95,,,1521129600000
20180319,8106131,9.6997,9.9691,9.5551,9.6471,9.4486,9.3067,9.0244,8.519,183.3226,9896313162.32,-0.0456,-0.47,2.09,120844051.06,,,1521388800000
20180320,8038901,9.6274,9.6668,9.2462,9.5025,9.4933,9.3461,9.0908,8.5654,180.5752,9748003292.04,-0.1447,-1.5,2.07,115675152.92,,,1521475200000
20180321,6532417,9.5025,9.6602,9.2922,9.3842,9.5157,9.3796,9.144,8.611,178.3274,9626658852.72,-0.1178,-1.24,1.68,93824495.65,,,1521561600000
20180322,6052198,9.4171,9.6208,9.3645,9.4105,9.5275,9.4191,9.1979,8.6817,178.8269,9653624283.68,0.0263,0.28,1.56,87213319.38,,,1521648000000
20180323,10397608,9.2002,9.3514,8.6088,9.0557,9.4,9.3954,9.239,8.7393,172.0834,9289590965.72,-0.3548,-3.77,2.63,142795581.56,,,1521734400000
20180326,9440085,9.0359,9.2988,8.7665,9.2002,9.3106,9.3796,9.2564,8.7978,174.8308,9437900836.0,0.1449,1.6,2.43,128913259.19,,,1521993600000
20180327,9344507,9.2988,9.5945,9.22,9.4631,9.3027,9.398,9.2827,8.8749,179.826,9707555145.6,0.2631,2.86,2.4,134093390.79,,,1522080000000
20180328,7730428,9.496,9.5617,9.1214,9.312,9.2883,9.402,9.2965,8.9453,176.9537,9552503917.58,-0.1514,-1.6,1.93,109672708.93,,,1522166400000
20180329,3241600,9.312,9.4368,9.1345,9.22,9.2502,9.3888,9.3064,9.0016,175.2054,9458124909.22,-0.0922,-0.99,0.81,45625352.18,,,1522252800000
20180330,4786934,9.2988,9.45,9.1345,9.2857,9.2962,9.3481,9.3057,9.0668,176.4542,9525538486.62,0.0655,0.71,1.2,67760367.58,,,1522339200000
20180402,14187188,9.3777,9.8771,9.2528,9.6668,9.3895,9.3501,9.3284,9.133,83.4134,9916537235.54,0.3807,4.1,3.63,207613680.09,,,1522598400000
20180403,7741975,9.5025,9.8377,9.4762,9.7391,9.4447,9.3737,9.3599,9.1851,84.0371,9990692170.68,0.0725,0.75,1.98,113986865.5,,,1522684800000
20180404,9325337,9.7851,10.0414,9.6602,9.8245,9.5472,9.4178,9.3987,9.2353,84.7743,10078329821.3,0.0857,0.88,2.4,140168639.67,,,1522771200000
20180409,7095803,9.8574,9.9625,9.5288,9.9165,9.6865,9.4684,9.4437,9.2881,85.5682,10172708829.66,0.0923,0.94,1.83,105340438.21,,,1523203200000
